# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T20:28:47
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666727	0.00000000
-65.03333394	0.00000002
-65.00000061	0.00000006
-64.96666727	0.00000011
-64.93333394	0.00000023
-64.90000061	0.00000022
-64.86666727	0.00000034
-64.83333394	0.00000048
-64.80000060	0.00000040
-64.76666727	0.00000084
-64.73333394	0.00000026
-64.70000060	0.00000031
-64.66666727	0.00000018
-64.63333394	-0.00000014
-64.60000060	-0.00000018
-64.56666727	-0.00000026
-64.53333394	-0.00000172
-64.50000060	-0.00000057
-64.46666727	-0.00000265
-64.43333394	-0.00000217
-64.40000060	-0.00000410
-64.36666727	-0.00000369
-64.33333393	-0.00000529
-64.30000060	-0.00000438
-64.26666727	-0.00000662
-64.23333393	-0.00000698
-64.20000060	-0.00000890
-64.16666727	-0.00001066
-64.13333393	-0.00001027
-64.10000060	-0.00000975
-64.06666727	-0.00001204
-64.03333393	-0.00002044
-64.00000060	-0.00002076
-63.96666726	-0.00002248
-63.93333393	-0.00002441
-63.90000060	-0.00003134
-63.86666726	-0.00002890
-63.83333393	-0.00003131
-63.80000060	-0.00003245
-63.76666726	-0.00003417
-63.73333393	-0.00004174
-63.70000060	-0.00003990
-63.66666726	-0.00004687
-63.63333393	-0.00004372
-63.60000060	-0.00005121
-63.56666726	-0.00004258
-63.53333393	-0.00005633
-63.50000059	-0.00006308
-63.46666726	-0.00006906
-63.43333393	-0.00005168
-63.40000059	-0.00006882
-63.36666726	-0.00007148
-63.33333393	-0.00006779
-63.30000059	-0.00007141
-63.26666726	-0.00006563
-63.23333393	-0.00007346
-63.20000059	-0.00007597
-63.16666726	-0.00005953
-63.13333393	-0.00007629
-63.10000059	-0.00007402
-63.06666726	-0.00006432
-63.03333392	-0.00006956
-63.00000059	-0.00004828
-62.96666726	-0.00004435
-62.93333392	-0.00004715
-62.90000059	-0.00005202
-62.86666726	-0.00003440
-62.83333392	-0.00002254
-62.80000059	-0.00001890
-62.76666726	-0.00001592
-62.73333392	0.00002129
-62.70000059	0.00002331
-62.66666726	0.00005314
-62.63333392	0.00003756
-62.60000059	0.00006949
-62.56666725	0.00008849
-62.53333392	0.00009883
-62.50000059	0.00013694
-62.46666725	0.00014079
-62.43333392	0.00016088
-62.40000059	0.00017438
-62.36666725	0.00019348
-62.33333392	0.00020824
-62.30000059	0.00021749
-62.26666725	0.00026348
-62.23333392	0.00030099
-62.20000058	0.00032786
-62.16666725	0.00031813
-62.13333392	0.00036714
-62.10000058	0.00039260
-62.06666725	0.00039916
-62.03333392	0.00044809
-62.00000058	0.00046558
-61.96666725	0.00047396
-61.93333392	0.00051890
-61.90000058	0.00053175
-61.86666725	0.00058693
-61.83333392	0.00057557
-61.80000058	0.00062099
-61.76666725	0.00066905
-61.73333391	0.00067514
-61.70000058	0.00072861
-61.66666725	0.00076005
-61.63333391	0.00080589
-61.60000058	0.00080592
-61.56666725	0.00088314
-61.53333391	0.00088369
-61.50000058	0.00093035
-61.46666725	0.00094956
-61.43333391	0.00097986
-61.40000058	0.00098798
-61.36666725	0.00106493
-61.33333391	0.00109649
-61.30000058	0.00109578
-61.26666724	0.00115272
-61.23333391	0.00118507
-61.20000058	0.00118939
-61.16666724	0.00122183
-61.13333391	0.00117553
-61.10000058	0.00120639
-61.06666724	0.00128312
-61.03333391	0.00130849
-61.00000058	0.00125560
-60.96666724	0.00124240
-60.93333391	0.00129204
-60.90000057	0.00123960
-60.86666724	0.00130876
-60.83333391	0.00125124
-60.80000057	0.00128787
-60.76666724	0.00122216
-60.73333391	0.00124617
-60.70000057	0.00121463
-60.66666724	0.00117351
-60.63333391	0.00114471
-60.60000057	0.00109389
-60.56666724	0.00108180
-60.53333391	0.00097997
-60.50000057	0.00097062
-60.46666724	0.00094465
-60.43333390	0.00084707
-60.40000057	0.00082372
-60.36666724	0.00086784
-60.33333390	0.00069167
-60.30000057	0.00067830
-60.26666724	0.00055626
-60.23333390	0.00044726
-60.20000057	0.00036060
-60.16666724	0.00036630
-60.13333390	0.00028880
-60.10000057	0.00020596
-60.06666724	0.00007321
-60.03333390	0.00003553
-60.00000057	-0.00008342
-59.96666723	-0.00023347
-59.93333390	-0.00021471
-59.90000057	-0.00039442
-59.86666723	-0.00047290
-59.83333390	-0.00057463
-59.80000057	-0.00066422
-59.76666723	-0.00080332
-59.73333390	-0.00087613
-59.70000057	-0.00092397
-59.66666723	-0.00100399
-59.63333390	-0.00104406
-59.60000057	-0.00115278
-59.56666723	-0.00120478
-59.53333390	-0.00133527
-59.50000056	-0.00139466
-59.46666723	-0.00148921
-59.43333390	-0.00155634
-59.40000056	-0.00157998
-59.36666723	-0.00155194
-59.33333390	-0.00168852
-59.30000056	-0.00164353
-59.26666723	-0.00166252
-59.23333390	-0.00175090
-59.20000056	-0.00172878
-59.16666723	-0.00184787
-59.13333389	-0.00194571
-59.10000056	-0.00190955
-59.06666723	-0.00182029
-59.03333389	-0.00184401
-59.00000056	-0.00173916
-58.96666723	-0.00176178
-58.93333389	-0.00180748
-58.90000056	-0.00168939
-58.86666723	-0.00172018
-58.83333389	-0.00174532
-58.80000056	-0.00162790
-58.76666723	-0.00162554
-58.73333389	-0.00149420
-58.70000056	-0.00150772
-58.66666722	-0.00151249
-58.63333389	-0.00145089
-58.60000056	-0.00145350
-58.56666722	-0.00135228
-58.53333389	-0.00142520
-58.50000056	-0.00134273
-58.46666722	-0.00135589
-58.43333389	-0.00130574
-58.40000056	-0.00132393
-58.36666722	-0.00135177
-58.33333389	-0.00126570
-58.30000056	-0.00118440
-58.26666722	-0.00105067
-58.23333389	-0.00108181
-58.20000055	-0.00110658
-58.16666722	-0.00103896
-58.13333389	-0.00110524
-58.10000055	-0.00098847
-58.06666722	-0.00113957
-58.03333389	-0.00115918
-58.00000055	-0.00109476
-57.96666722	-0.00117880
-57.93333389	-0.00116017
-57.90000055	-0.00109737
-57.86666722	-0.00112621
-57.83333388	-0.00109117
-57.80000055	-0.00104656
-57.76666722	-0.00106098
-57.73333388	-0.00111686
-57.70000055	-0.00114502
-57.66666722	-0.00115927
-57.63333388	-0.00118161
-57.60000055	-0.00116754
