# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T20:28:47
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-40.96131033
0.00732601	-27.08948114
0.01465201	-20.29906317
0.02197802	-18.96744120
0.02930403	-24.83856736
0.03663004	-24.61901864
0.04395604	-16.54206836
0.05128205	-12.95150938
0.05860806	-14.21636774
0.06593407	-12.44754629
0.07326007	-7.46238753
0.08058608	-9.48176467
0.08791209	-16.78913025
0.09523809	-7.08200422
0.10256410	-6.95218955
0.10989011	-14.24815020
0.11721612	-9.04426849
0.12454212	-6.09710044
0.13186813	-8.71484073
0.13919414	-10.15318977
0.14652015	-6.33603041
0.15384615	-6.69766304
0.16117216	-8.16606290
0.16849817	-5.08170372
0.17582417	-4.65815650
0.18315018	-7.30198846
0.19047619	-6.15028114
0.19780220	-4.37123106
0.20512820	-5.10850855
0.21245421	-6.08247487
0.21978022	-5.06817896
0.22710623	-3.79832261
0.23443223	-4.25023985
0.24175824	-5.06883689
0.24908425	-3.39252620
0.25641025	-2.74737504
0.26373626	-3.56855756
0.27106227	-2.21527349
0.27838828	-1.03200439
0.28571428	-1.80818031
0.29304029	-1.56373074
0.30036630	-0.29939844
0.30769231	-0.67765021
0.31501831	-1.24356661
0.32234432	-0.19798972
0.32967033	0.00000000
0.33699633	-1.15747655
0.34432234	-1.65108780
0.35164835	-1.59835412
0.35897436	-2.38352309
0.36630036	-3.15030752
0.37362637	-3.39023094
0.38095238	-3.88372209
0.38827839	-4.60279716
0.39560439	-5.08766474
0.40293040	-5.59962529
0.41025641	-6.61847547
0.41758241	-7.28714678
0.42490842	-7.41987172
0.43223443	-8.30766941
0.43956044	-9.27660035
0.44688644	-9.18868702
0.45421245	-9.50106046
0.46153846	-10.43362610
0.46886447	-10.63737205
0.47619047	-10.98135408
0.48351648	-11.45442535
0.49084249	-11.19915282
0.49816849	-11.75082042
0.50549450	-11.90320027
0.51282051	-11.44978444
0.52014652	-12.10726822
0.52747252	-12.19894027
0.53479853	-11.91757077
0.54212454	-12.00248722
0.54945055	-13.25634796
0.55677655	-17.15370897
0.56410256	-14.38542042
0.57142857	-11.48458639
0.57875457	-11.65203795
0.58608058	-11.99005047
0.59340659	-11.63731728
0.60073260	-11.83238806
0.60805860	-12.26475715
0.61538461	-12.47678998
0.62271062	-12.88123554
0.63003663	-13.47083753
0.63736263	-13.75531559
0.64468864	-14.13938681
0.65201465	-14.74431056
0.65934065	-15.46211939
0.66666666	-16.23303867
0.67399267	-16.88768670
0.68131868	-17.85958691
0.68864468	-18.56752964
0.69597069	-19.02700358
0.70329670	-20.14018734
0.71062271	-21.19492400
0.71794871	-21.92431349
0.72527472	-22.78871313
0.73260073	-23.36865367
0.73992673	-24.03007045
0.74725274	-26.49712268
0.75457875	-29.35548369
0.76190476	-27.68897688
0.76923076	-27.28452269
0.77655677	-27.84052166
0.78388278	-28.12794113
0.79120879	-29.04851123
0.79853479	-29.63723298
0.80586080	-30.14966193
0.81318681	-30.64475793
0.82051281	-30.94422351
