# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T17:17:27
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666733	0.00000000
-65.03333399	0.00000002
-65.00000066	0.00000007
-64.96666733	0.00000014
-64.93333399	0.00000025
-64.90000066	0.00000034
-64.86666732	0.00000056
-64.83333399	0.00000048
-64.80000066	0.00000077
-64.76666732	0.00000092
-64.73333399	0.00000060
-64.70000066	0.00000119
-64.66666732	0.00000099
-64.63333399	0.00000065
-64.60000066	-0.00000034
-64.56666732	-0.00000090
-64.53333399	-0.00000065
-64.50000065	-0.00000207
-64.46666732	-0.00000239
-64.43333399	-0.00000420
-64.40000065	-0.00000267
-64.36666732	-0.00000447
-64.33333399	-0.00000593
-64.30000065	-0.00000730
-64.26666732	-0.00000779
-64.23333399	-0.00000925
-64.20000065	-0.00001326
-64.16666732	-0.00001759
-64.13333399	-0.00001809
-64.10000065	-0.00001971
-64.06666732	-0.00001997
-64.03333398	-0.00002194
-64.00000065	-0.00003102
-63.96666732	-0.00002907
-63.93333398	-0.00003146
-63.90000065	-0.00003500
-63.86666732	-0.00003606
-63.83333398	-0.00003948
-63.80000065	-0.00004062
-63.76666732	-0.00004943
-63.73333398	-0.00005435
-63.70000065	-0.00005182
-63.66666731	-0.00006003
-63.63333398	-0.00005991
-63.60000065	-0.00006754
-63.56666731	-0.00006515
-63.53333398	-0.00007040
-63.50000065	-0.00007284
-63.46666731	-0.00008301
-63.43333398	-0.00008231
-63.40000065	-0.00010415
-63.36666731	-0.00009885
-63.33333398	-0.00009591
-63.30000064	-0.00010188
-63.26666731	-0.00010973
-63.23333398	-0.00010559
-63.20000064	-0.00012328
-63.16666731	-0.00013225
-63.13333398	-0.00013164
-63.10000064	-0.00013298
-63.06666731	-0.00012808
-63.03333398	-0.00013321
-63.00000064	-0.00011756
-62.96666731	-0.00012014
-62.93333398	-0.00011000
-62.90000064	-0.00010786
-62.86666731	-0.00011021
-62.83333397	-0.00010021
-62.80000064	-0.00009503
-62.76666731	-0.00008244
-62.73333397	-0.00006779
-62.70000064	-0.00004614
-62.66666731	-0.00004620
-62.63333397	-0.00002512
-62.60000064	-0.00002237
-62.56666731	0.00001018
-62.53333397	-0.00000141
-62.50000064	0.00004922
-62.46666730	0.00004211
-62.43333397	0.00007500
-62.40000064	0.00008534
-62.36666730	0.00010554
-62.33333397	0.00015217
-62.30000064	0.00019739
-62.26666730	0.00022139
-62.23333397	0.00022128
-62.20000064	0.00026178
-62.16666730	0.00023702
-62.13333397	0.00029710
-62.10000064	0.00035030
-62.06666730	0.00038305
-62.03333397	0.00039704
-62.00000063	0.00043015
-61.96666730	0.00044484
-61.93333397	0.00049261
-61.90000063	0.00054970
-61.86666730	0.00058853
-61.83333397	0.00062533
-61.80000063	0.00062562
-61.76666730	0.00066945
-61.73333397	0.00071151
-61.70000063	0.00074545
-61.66666730	0.00080261
-61.63333396	0.00082286
-61.60000063	0.00086987
-61.56666730	0.00088094
-61.53333396	0.00096662
-61.50000063	0.00104472
-61.46666730	0.00102527
-61.43333396	0.00106460
-61.40000063	0.00112336
-61.36666730	0.00114681
-61.33333396	0.00117919
-61.30000063	0.00124945
-61.26666729	0.00131066
-61.23333396	0.00130493
-61.20000063	0.00134776
-61.16666729	0.00144672
-61.13333396	0.00140932
-61.10000063	0.00147780
-61.06666729	0.00152698
-61.03333396	0.00154779
-61.00000063	0.00157399
-60.96666729	0.00157587
-60.93333396	0.00160697
-60.90000063	0.00163209
-60.86666729	0.00170198
-60.83333396	0.00163725
-60.80000062	0.00170568
-60.76666729	0.00172019
-60.73333396	0.00167788
-60.70000062	0.00168500
-60.66666729	0.00170064
-60.63333396	0.00177031
-60.60000062	0.00163736
-60.56666729	0.00164817
-60.53333396	0.00158583
-60.50000062	0.00157951
-60.46666729	0.00154335
-60.43333395	0.00145441
-60.40000062	0.00141615
