# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T17:22:04
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-24.17182896
0.00732601	-24.39844105
0.01465201	-16.87468086
0.02197802	-15.85540687
0.02930403	-22.98681749
0.03663004	-22.21793807
0.04395604	-15.56120647
0.05128205	-12.14655588
0.05860806	-13.76618728
0.06593407	-12.20482094
0.07326007	-7.31048578
0.08058608	-9.12115453
0.08791209	-16.86327410
0.09523809	-7.46442264
0.10256410	-6.89327827
0.10989011	-12.38819839
0.11721612	-8.42988172
0.12454212	-5.56184532
0.13186813	-6.88754725
0.13919414	-8.02945192
0.14652015	-6.78087526
0.15384615	-6.92206324
0.16117216	-8.39447234
0.16849817	-7.07404054
0.17582417	-5.92760262
0.18315018	-8.24481748
0.19047619	-8.86341193
0.19780220	-5.79971351
0.20512820	-6.43372611
0.21245421	-10.12649615
0.21978022	-6.62442004
0.22710623	-4.52939388
0.23443223	-6.24721957
0.24175824	-5.31524507
0.24908425	-2.99889480
0.25641025	-3.22824531
0.26373626	-3.55578456
0.27106227	-2.22436380
0.27838828	-1.09636788
0.28571428	-1.47032587
0.29304029	-1.53744379
0.30036630	0.00000000
0.30769231	-0.24320269
0.31501831	-1.45514976
0.32234432	-0.27052575
0.32967033	-0.08225679
0.33699633	-1.65793055
0.34432234	-2.21056138
0.35164835	-2.56172285
0.35897436	-4.10462091
0.36630036	-5.28994838
0.37362637	-5.98519142
0.38095238	-7.19098355
0.38827839	-8.44917048
0.39560439	-9.29232228
0.40293040	-10.26399434
0.41025641	-11.10442446
0.41758241	-10.91712021
0.42490842	-10.40219663
0.43223443	-10.18254484
0.43956044	-10.13796420
0.44688644	-9.53848855
0.45421245	-9.07082931
0.46153846	-9.43518509
0.46886447	-9.67885874
0.47619047	-9.96612474
0.48351648	-10.59504910
0.49084249	-10.89370792
0.49816849	-11.61150297
0.50549450	-12.21506998
0.51282051	-12.44608467
0.52014652	-12.70131627
0.52747252	-12.23545931
0.53479853	-11.97040326
0.54212454	-11.24537663
0.54945055	-12.01944917
0.55677655	-15.92164952
0.56410256	-12.52341289
0.57142857	-9.67253656
0.57875457	-9.87241354
0.58608058	-10.32436804
0.59340659	-10.45057233
0.60073260	-11.09243641
0.60805860	-11.54026668
0.61538461	-12.24350207
0.62271062	-13.44267847
0.63003663	-13.83627683
0.63736263	-13.95500846
0.64468864	-14.51160913
0.65201465	-14.84408283
0.65934065	-15.56384699
0.66666666	-16.76852980
0.67399267	-17.23900819
0.68131868	-17.53694572
0.68864468	-18.06116451
0.69597069	-18.70827725
0.70329670	-19.52383930
0.71062271	-20.46474423
0.71794871	-21.59008525
