# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:31:13
# Time [ps]	THz Signal [a.u.]
-65.06666585	0.00000000
-65.03333251	0.00000002
-64.99999918	0.00000005
-64.96666585	0.00000014
-64.93333252	0.00000026
-64.89999918	0.00000031
-64.86666585	0.00000041
-64.83333252	0.00000054
-64.79999918	0.00000078
-64.76666585	0.00000038
-64.73333252	0.00000047
-64.69999918	0.00000092
-64.66666585	0.00000084
-64.63333252	0.00000076
-64.59999919	-0.00000013
-64.56666585	0.00000002
-64.53333252	-0.00000189
-64.49999919	-0.00000110
-64.46666585	-0.00000146
-64.43333252	-0.00000257
-64.39999919	-0.00000482
-64.36666585	-0.00000354
-64.33333252	-0.00000564
-64.29999919	-0.00000590
-64.26666586	-0.00000583
-64.23333252	-0.00000746
-64.19999919	-0.00001081
-64.16666586	-0.00000880
-64.13333252	-0.00001224
-64.09999919	-0.00001612
-64.06666586	-0.00001435
-64.03333252	-0.00001630
-63.99999919	-0.00001923
-63.96666586	-0.00001604
-63.93333253	-0.00001837
-63.89999919	-0.00001453
-63.86666586	-0.00002284
-63.83333253	-0.00001946
-63.79999919	-0.00002428
-63.76666586	-0.00001909
-63.73333253	-0.00002535
-63.69999919	-0.00003069
-63.66666586	-0.00002467
-63.63333253	-0.00002361
-63.59999920	-0.00002286
-63.56666586	-0.00001752
-63.53333253	-0.00001978
-63.49999920	-0.00002317
-63.46666586	-0.00001050
-63.43333253	-0.00002046
-63.39999920	-0.00000953
-63.36666586	-0.00001316
-63.33333253	0.00000031
-63.29999920	0.00000255
-63.26666587	-0.00000203
-63.23333253	0.00000869
-63.19999920	0.00001228
-63.16666587	0.00000499
-63.13333253	0.00000853
-63.09999920	0.00000548
-63.06666587	0.00002300
-63.03333253	0.00003602
-62.99999920	0.00004597
-62.96666587	0.00005405
-62.93333254	0.00006980
-62.89999920	0.00007628
-62.86666587	0.00008549
-62.83333254	0.00009878
-62.79999920	0.00010889
-62.76666587	0.00012282
-62.73333254	0.00014593
-62.69999921	0.00015054
-62.66666587	0.00017205
-62.63333254	0.00018443
-62.59999921	0.00019465
-62.56666587	0.00019755
-62.53333254	0.00021465
-62.49999921	0.00020337
-62.46666587	0.00025275
-62.43333254	0.00024202
-62.39999921	0.00023763
-62.36666588	0.00027591
-62.33333254	0.00030180
-62.29999921	0.00031519
-62.26666588	0.00032895
-62.23333254	0.00035730
-62.19999921	0.00036998
-62.16666588	0.00037187
-62.13333254	0.00040581
-62.09999921	0.00041659
-62.06666588	0.00038911
-62.03333255	0.00042157
-61.99999921	0.00046537
-61.96666588	0.00048387
-61.93333255	0.00049694
-61.89999921	0.00049713
-61.86666588	0.00052670
-61.83333255	0.00056892
-61.79999921	0.00058949
-61.76666588	0.00058964
-61.73333255	0.00064416
-61.69999922	0.00068707
-61.66666588	0.00069362
-61.63333255	0.00073649
-61.59999922	0.00075402
-61.56666588	0.00079384
-61.53333255	0.00081808
-61.49999922	0.00086133
-61.46666588	0.00084414
-61.43333255	0.00086255
-61.39999922	0.00087167
-61.36666589	0.00090527
-61.33333255	0.00096558
-61.29999922	0.00099402
-61.26666589	0.00101828
-61.23333255	0.00102708
-61.19999922	0.00100409
-61.16666589	0.00104407
-61.13333255	0.00109864
-61.09999922	0.00110124
-61.06666589	0.00107702
-61.03333256	0.00113254
-60.99999922	0.00114447
-60.96666589	0.00116460
-60.93333256	0.00118032
-60.89999922	0.00124143
-60.86666589	0.00118428
-60.83333256	0.00110517
-60.79999922	0.00116718
-60.76666589	0.00117549
-60.73333256	0.00115214
-60.69999923	0.00120176
-60.66666589	0.00117527
-60.63333256	0.00115029
-60.59999923	0.00106020
-60.56666589	0.00104618
-60.53333256	0.00101110
-60.49999923	0.00103621
-60.46666589	0.00098875
-60.43333256	0.00096398
-60.39999923	0.00096017
-60.36666590	0.00090616
-60.33333256	0.00081845
-60.29999923	0.00079040
-60.26666590	0.00079637
-60.23333256	0.00074414
-60.19999923	0.00055131
-60.16666590	0.00057831
-60.13333256	0.00050521
-60.09999923	0.00053815
-60.06666590	0.00040250
-60.03333257	0.00031633
-59.99999923	0.00027060
-59.96666590	0.00014970
-59.93333257	0.00006210
-59.89999923	0.00010618
-59.86666590	-0.00006342
-59.83333257	-0.00012984
-59.79999923	-0.00011022
-59.76666590	-0.00023122
-59.73333257	-0.00037916
-59.69999924	-0.00046792
-59.66666590	-0.00054519
-59.63333257	-0.00061288
-59.59999924	-0.00077887
-59.56666590	-0.00092161
-59.53333257	-0.00088984
-59.49999924	-0.00102541
-59.46666591	-0.00105720
-59.43333257	-0.00112379
-59.39999924	-0.00117324
-59.36666591	-0.00131317
-59.33333257	-0.00124627
-59.29999924	-0.00139826
-59.26666591	-0.00146931
-59.23333257	-0.00148741
-59.19999924	-0.00149939
-59.16666591	-0.00148728
-59.13333258	-0.00160347
-59.09999924	-0.00167853
-59.06666591	-0.00158511
-59.03333258	-0.00170496
-58.99999924	-0.00160112
-58.96666591	-0.00168723
-58.93333258	-0.00163868
-58.89999924	-0.00160159
-58.86666591	-0.00161915
-58.83333258	-0.00164404
-58.79999925	-0.00160923
-58.76666591	-0.00166465
-58.73333258	-0.00159130
-58.69999925	-0.00152858
-58.66666591	-0.00146639
-58.63333258	-0.00144719
-58.59999925	-0.00150417
-58.56666591	-0.00142455
-58.53333258	-0.00135326
-58.49999925	-0.00136723
-58.46666592	-0.00127200
-58.43333258	-0.00127682
-58.39999925	-0.00124425
-58.36666592	-0.00112629
-58.33333258	-0.00111144
-58.29999925	-0.00114959
-58.26666592	-0.00103691
-58.23333258	-0.00110296
-58.19999925	-0.00096896
-58.16666592	-0.00093991
-58.13333259	-0.00088897
-58.09999925	-0.00095285
-58.06666592	-0.00093167
-58.03333259	-0.00092774
-57.99999925	-0.00086916
-57.96666592	-0.00080981
-57.93333259	-0.00089932
-57.89999925	-0.00088719
-57.86666592	-0.00080115
-57.83333259	-0.00075505
-57.79999926	-0.00079948
-57.76666592	-0.00077618
-57.73333259	-0.00086429
-57.69999926	-0.00070099
-57.66666592	-0.00078530
-57.63333259	-0.00067034
-57.59999926	-0.00066282
-57.56666592	-0.00067874
-57.53333259	-0.00068674
-57.49999926	-0.00057985
-57.46666593	-0.00071929
-57.43333259	-0.00072833
-57.39999926	-0.00059061
-57.36666593	-0.00066518
-57.33333259	-0.00067840
-57.29999926	-0.00059564
-57.26666593	-0.00060664
-57.23333259	-0.00060299
