# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:31:13
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-44.31549635
0.00732601	-31.44351723
0.01465201	-24.70070078
0.02197802	-23.89954018
0.02930403	-31.05864242
0.03663004	-29.77061278
0.04395604	-23.10152538
0.05128205	-19.36409410
0.05860806	-21.04711247
0.06593407	-19.08113386
0.07326007	-13.64790531
0.08058608	-15.65490966
0.08791209	-19.17335130
0.09523810	-10.45409177
0.10256410	-10.07843516
0.10989011	-15.07772407
0.11721612	-9.82276304
0.12454213	-7.80118750
0.13186813	-10.86717313
0.13919414	-12.00817967
0.14652015	-10.01991116
0.15384616	-11.41303081
0.16117216	-12.72613964
0.16849817	-10.41335638
0.17582418	-9.91923479
0.18315019	-12.65188537
0.19047619	-11.46211378
0.19780220	-8.78607371
0.20512821	-9.78097136
0.21245421	-10.50135412
0.21978022	-7.37862798
0.22710623	-6.29650372
0.23443224	-6.77755148
0.24175824	-5.52291137
0.24908425	-3.86145671
0.25641026	-3.55382541
0.26373627	-3.16905709
0.27106227	-1.56156507
0.27838828	-0.74910934
0.28571429	-1.19771323
0.29304030	-0.87773995
0.30036630	0.00000000
0.30769231	-0.48801625
0.31501832	-1.12822594
0.32234433	-0.21197118
0.32967033	-0.13612623
0.33699634	-1.25747025
0.34432235	-1.42363947
0.35164836	-1.44073069
0.35897436	-2.31960632
0.36630037	-2.90045036
0.37362638	-3.57961296
0.38095238	-4.58877886
0.38827839	-5.13971650
0.39560440	-5.99445379
0.40293041	-7.08825744
0.41025641	-7.70438753
0.41758242	-8.17151022
0.42490843	-8.75740107
0.43223444	-9.25819924
0.43956044	-9.56856482
0.44688645	-9.86369769
0.45421246	-9.66441111
0.46153847	-9.55926451
0.46886447	-9.42628495
0.47619048	-9.01935997
0.48351649	-8.52266509
0.49084250	-7.95712778
0.49816850	-7.81102792
0.50549451	-6.86472825
0.51282052	-6.10202297
0.52014653	-5.96770927
0.52747253	-5.41782819
0.53479854	-5.13962338
0.54212455	-4.64633910
0.54945056	-5.66994381
0.55677656	-9.88064871
0.56410257	-6.51432519
0.57142858	-3.88000914
0.57875458	-4.25669147
0.58608059	-4.21222296
0.59340660	-3.90118559
0.60073261	-4.36207085
0.60805861	-4.45380463
0.61538462	-4.65467478
0.62271063	-5.36636393
0.63003664	-5.58061690
0.63736264	-5.85226648
0.64468865	-6.71126170
0.65201466	-7.12716983
0.65934067	-7.60936845
0.66666667	-8.29427519
0.67399268	-8.60430612
0.68131869	-9.13452472
0.68864470	-9.39730997
0.69597070	-9.71007306
0.70329671	-10.21719993
0.71062272	-10.35832303
0.71794873	-10.51829408
0.72527473	-10.86952589
0.73260074	-11.05696246
0.73992675	-11.14024163
0.74725275	-13.25551134
0.75457876	-15.23555640
0.76190477	-12.46618138
0.76923078	-11.90146821
0.77655678	-12.33326021
0.78388279	-12.27987249
0.79120880	-12.68068285
0.79853481	-12.78945271
0.80586081	-13.07569061
0.81318682	-13.36693146
0.82051283	-13.43744736
0.82783884	-13.77410765
0.83516484	-13.82638463
0.84249085	-14.05718514
0.84981686	-14.29896188
0.85714287	-14.42098311
0.86446887	-14.78292949
0.87179488	-14.83901595
0.87912089	-15.00564142
0.88644690	-15.36236817
0.89377290	-15.55257122
0.90109891	-15.93027515
0.90842492	-16.28375066
0.91575093	-16.60671706
0.92307693	-17.03720328
0.93040294	-17.16897479
0.93772895	-17.46112792
0.94505495	-18.12367751
0.95238096	-18.33826169
0.95970697	-18.81882355
0.96703298	-19.65903413
0.97435898	-19.82062568
