# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:37:16
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-37.26309269
0.00732601	-34.62065377
0.01465201	-25.80390477
0.02197802	-25.82468135
0.02930403	-36.64020305
0.03663004	-29.50591143
0.04395604	-26.18899798
0.05128205	-23.34211893
0.05860806	-25.40075477
0.06593407	-22.12103075
0.07326007	-17.71504256
0.08058608	-18.95010293
0.08791209	-21.40715252
0.09523810	-14.72689373
0.10256410	-13.21431499
0.10989011	-17.00443687
0.11721612	-13.74525345
0.12454213	-10.79689843
0.13186813	-13.30294869
0.13919414	-14.85639452
0.14652015	-11.49154840
0.15384616	-12.38099978
0.16117216	-14.39949458
0.16849817	-11.20641777
0.17582418	-10.50290188
0.18315018	-13.48776133
0.19047619	-11.97110643
0.19780220	-9.06010386
0.20512821	-10.16849094
0.21245421	-11.70346200
0.21978022	-7.83268237
0.22710623	-6.46336162
0.23443224	-7.82037299
0.24175824	-6.33316545
0.24908425	-3.96208926
0.25641026	-4.29477240
0.26373627	-4.22929274
0.27106227	-1.71195141
0.27838828	-1.07695723
0.28571429	-2.08174181
0.29304030	-1.11873447
0.30036630	0.00000000
0.30769231	-0.87649523
0.31501832	-1.35490573
0.32234433	-0.14372810
0.32967033	-0.29945103
0.33699634	-1.42665703
0.34432235	-1.15763360
0.35164836	-1.06889412
0.35897436	-1.89452391
0.36630037	-2.15548958
0.37362638	-2.53302748
0.38095238	-3.47259237
0.38827839	-3.88590904
0.39560440	-4.47180951
0.40293041	-5.58016308
0.41025641	-6.27864980
0.41758242	-6.84324939
0.42490843	-7.47594763
0.43223444	-8.02193967
0.43956044	-8.77657781
0.44688645	-9.10567699
0.45421246	-8.98691255
0.46153847	-9.44544373
0.46886447	-9.51749941
0.47619048	-9.20543729
0.48351649	-9.14346148
0.49084250	-8.78633785
0.49816850	-8.77343842
0.50549451	-8.11772830
0.51282052	-7.39317314
0.52014653	-7.21488479
0.52747253	-6.66838312
0.53479854	-6.37072747
0.54212455	-5.69998913
0.54945055	-6.47719727
0.55677656	-10.22818541
0.56410257	-6.97006520
0.57142858	-4.38268957
0.57875458	-4.69434745
0.58608059	-4.56269465
0.59340660	-4.22815256
0.60073261	-4.69344344
0.60805861	-4.74343082
0.61538462	-4.94301618
0.62271063	-5.66184719
0.63003664	-5.90113714
0.63736264	-6.25266897
0.64468865	-7.14932885
0.65201466	-7.69564884
0.65934067	-8.34129005
0.66666667	-9.20218007
0.67399268	-9.75643390
0.68131869	-10.47163435
0.68864470	-10.90924888
0.69597070	-11.41721181
0.70329671	-12.09008356
0.71062272	-12.35428619
0.71794872	-12.61865939
0.72527473	-12.96974779
0.73260074	-13.15047330
0.73992675	-13.18221124
0.74725275	-15.06077323
