# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T19:09:01
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-48.99956538
0.00732601	-28.33465798
0.01465201	-19.97979983
0.02197802	-17.81192499
0.02930403	-22.59583921
0.03663004	-24.12570237
0.04395604	-15.89184174
0.05128205	-12.67295760
0.05860806	-14.33406981
0.06593407	-12.40710466
0.07326007	-7.74581073
0.08058608	-10.25144171
0.08791209	-17.82003791
0.09523809	-7.66188171
0.10256410	-7.94378099
0.10989011	-16.00054580
0.11721612	-9.89082216
0.12454212	-7.20102423
0.13186813	-10.53155877
0.13919414	-11.87573025
0.14652015	-7.01256972
0.15384615	-8.24696724
0.16117216	-11.73974921
0.16849817	-6.02058113
0.17582417	-5.97279011
0.18315018	-13.12937174
0.19047619	-7.62045704
0.19780220	-5.43768334
0.20512820	-9.42093538
0.21245421	-7.96641670
0.21978022	-5.13305136
0.22710623	-6.12320906
0.23443223	-6.96548531
0.24175824	-5.41705725
0.24908425	-4.30284806
0.25641025	-4.75302153
0.26373626	-4.37145232
0.27106227	-2.25012319
0.27838828	-1.90893059
0.28571428	-2.59177778
0.29304029	-1.41025174
0.30036630	-0.52318431
0.30769231	-1.11567999
0.31501831	-1.06279710
0.32234432	0.00000000
0.32967033	-0.06724725
0.33699633	-0.86976463
0.34432234	-0.86072330
0.35164835	-0.97812407
0.35897436	-1.58777651
0.36630036	-1.87644903
0.37362637	-2.41012994
0.38095238	-3.01324358
0.38827839	-3.21739351
0.39560439	-3.86347689
0.40293040	-4.69092624
0.41025641	-5.26864764
0.41758241	-5.94424289
0.42490842	-6.51042496
0.43223443	-7.14148081
0.43956044	-7.91735723
0.44688644	-8.33401985
0.45421245	-8.73916500
0.46153846	-9.55190609
0.46886447	-10.15167234
0.47619047	-10.47341818
0.48351648	-10.98066684
0.49084249	-11.30073631
0.49816849	-11.58643062
0.50549450	-11.53035453
0.51282051	-11.32291744
0.52014652	-11.42130081
0.52747252	-11.22419364
0.53479853	-11.14693624
0.54212454	-10.97369141
0.54945054	-12.04949234
0.55677655	-15.67033723
0.56410256	-12.84911650
0.57142857	-10.17299596
0.57875457	-10.33103467
0.58608058	-10.26152518
0.59340659	-9.73440126
0.60073260	-9.90814862
0.60805860	-9.79312047
0.61538461	-9.66226479
0.62271062	-9.98784755
0.63003662	-9.85974607
0.63736263	-9.89712499
0.64468864	-10.52511320
0.65201465	-10.73172411
0.65934065	-11.14584884
0.66666666	-11.87522123
0.67399267	-12.22925085
0.68131868	-12.97144862
0.68864468	-13.65914825
0.69597069	-14.15944710
0.70329670	-15.07665896
0.71062270	-15.69984681
0.71794871	-16.16739406
0.72527472	-17.01988081
0.73260073	-17.67040473
0.73992673	-18.09615308
0.74725274	-20.33780121
0.75457875	-22.49619664
0.76190476	-20.25453468
0.76923076	-20.01052809
0.77655677	-20.66152487
0.78388278	-20.70229124
0.79120878	-21.24508130
0.79853479	-21.44616348
0.80586080	-21.94566794
0.81318681	-22.36518778
0.82051281	-22.38426600
0.82783882	-22.79564598
0.83516483	-22.87655118
0.84249084	-23.14782902
0.84981684	-23.46182532
0.85714285	-23.60069515
0.86446886	-23.88879698
0.87179486	-23.79453835
0.87912087	-23.91913868
0.88644688	-24.21396880
0.89377289	-24.26297822
0.90109889	-24.57452147
0.90842490	-24.87705090
0.91575091	-25.09991219
0.92307692	-25.55645273
0.93040292	-25.75631264
0.93772893	-26.05658141
0.94505494	-26.83839298
0.95238094	-27.17600102
0.95970695	-27.75511225
0.96703296	-28.66887609
0.97435897	-28.71450134
0.98168497	-30.15450295
0.98901098	-32.48252158
0.99633699	-31.30706917
1.00366300	-30.86105652
1.01098900	-31.42411748
1.01831501	-31.78739843
1.02564102	-32.32777634
1.03296702	-32.80062642
1.04029303	-33.56719265
1.04761904	-34.29627267
1.05494505	-34.90232990
1.06227105	-35.51416439
1.06959706	-36.29145697
1.07692307	-37.43766280
1.08424908	-38.11189026
1.09157508	-42.15781245
1.09890109	-64.59674876
1.10622710	-44.66559985
1.11355310	-45.53672629
1.12087911	-42.85342672
1.12820512	-40.67703202
1.13553113	-41.47690058
1.14285713	-42.09182605
1.15018314	-44.33748612
1.15750915	-50.26205574
1.16483516	-75.94371031
1.17216116	-48.11764990
1.17948717	-44.50904230
1.18681318	-45.43856690
1.19413918	-45.07501571
1.20146519	-46.41701604
1.20879120	-54.64569005
1.21611721	-48.14139466
1.22344321	-48.07227328
1.23076922	-51.70776166
1.23809523	-48.01477940
1.24542124	-47.59862980
1.25274724	-47.71549357
1.26007325	-47.71046383
1.26739926	-48.70645245
1.27472526	-48.93850043
1.28205127	-49.71670268
1.28937728	-49.66541748
1.29670329	-50.09289836
1.30402929	-51.99201382
1.31135530	-51.88721833
1.31868131	-52.53630017
1.32600732	-53.99227090
1.33333332	-54.34984652
1.34065933	-54.10830931
1.34798534	-54.18306095
1.35531134	-56.51198417
1.36263735	-57.15296134
1.36996336	-56.21596647
1.37728937	-57.30145996
1.38461537	-58.56139656
1.39194138	-59.49854931
1.39926739	-59.56772037
1.40659340	-61.91876810
1.41391940	-75.62435929
1.42124541	-63.61426175
1.42857142	-61.19029240
1.43589742	-62.32314816
1.44322343	-61.49048147
1.45054944	-62.27959027
1.45787545	-65.67181807
1.46520145	-65.59023658
1.47252746	-64.92038756
1.47985347	-64.40579076
1.48717947	-63.71291533
1.49450548	-66.28111673
1.50183149	-68.84234393
1.50915750	-62.85924824
1.51648350	-62.86711534
1.52380951	-66.07663767
1.53113552	-64.83419472
1.53846153	-68.20270890
1.54578753	-77.12520054
1.55311354	-67.98545400
1.56043955	-69.88758561
1.56776555	-77.47170191
1.57509156	-66.69881987
1.58241757	-68.88754104
1.58974358	-73.69907154
1.59706958	-73.10700040
1.60439559	-81.96109463
1.61172160	-72.10685062
1.61904761	-71.77667195
1.62637361	-80.30768489
1.63369962	-72.46886542
1.64102563	-70.10769670
1.64835163	-77.78931898
1.65567764	-79.46158301
1.66300365	-84.36658720
1.67032966	-87.59133312
1.67765566	-77.04638693
1.68498167	-74.59779445
1.69230768	-75.53936599
1.69963369	-75.78662157
1.70695969	-78.11681484
1.71428570	-78.33012917
1.72161171	-74.94321924
1.72893771	-74.50732926
1.73626372	-73.14424618
1.74358973	-75.41228929
1.75091574	-77.29551964
1.75824174	-72.14149602
1.76556775	-74.79109266
1.77289376	-90.67805659
1.78021977	-81.58189359
1.78754577	-82.48895192
1.79487178	-80.50002013
1.80219779	-78.35077976
1.80952379	-81.60157018
1.81684980	-83.98455047
1.82417581	-92.00523565
1.83150182	-79.53786184
1.83882782	-82.28571993
1.84615383	-83.79833702
1.85347984	-84.03558238
1.86080585	-74.38556903
1.86813185	-81.33926724
