# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T19:13:08
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666735	0.00000000
-65.03333402	0.00000001
-65.00000068	0.00000002
-64.96666735	0.00000009
-64.93333402	0.00000012
-64.90000068	0.00000033
-64.86666735	0.00000047
-64.83333402	0.00000037
-64.80000068	0.00000054
-64.76666735	0.00000024
-64.73333402	0.00000074
-64.70000068	0.00000070
-64.66666735	0.00000056
-64.63333401	-0.00000020
-64.60000068	0.00000025
-64.56666735	-0.00000035
-64.53333401	-0.00000009
-64.50000068	-0.00000160
-64.46666735	-0.00000095
-64.43333401	-0.00000212
-64.40000068	-0.00000234
-64.36666735	-0.00000482
-64.33333401	-0.00000335
-64.30000068	-0.00000273
-64.26666734	-0.00000495
-64.23333401	-0.00000685
-64.20000068	-0.00000882
-64.16666734	-0.00000993
-64.13333401	-0.00001130
-64.10000068	-0.00001185
-64.06666734	-0.00001576
-64.03333401	-0.00001262
-64.00000068	-0.00001456
-63.96666734	-0.00001636
-63.93333401	-0.00002081
-63.90000067	-0.00002372
-63.86666734	-0.00002436
-63.83333401	-0.00002824
-63.80000067	-0.00003092
-63.76666734	-0.00003623
-63.73333401	-0.00003431
-63.70000067	-0.00004013
-63.66666734	-0.00004560
-63.63333401	-0.00004408
-63.60000067	-0.00004912
-63.56666734	-0.00005677
-63.53333400	-0.00006491
-63.50000067	-0.00006220
-63.46666734	-0.00006914
-63.43333400	-0.00007491
-63.40000067	-0.00007501
-63.36666734	-0.00009045
-63.33333400	-0.00007710
-63.30000067	-0.00008881
-63.26666734	-0.00009636
-63.23333400	-0.00009849
-63.20000067	-0.00010818
-63.16666733	-0.00009382
-63.13333400	-0.00008596
-63.10000067	-0.00011104
-63.06666733	-0.00009658
-63.03333400	-0.00008529
-63.00000067	-0.00009409
-62.96666733	-0.00009949
-62.93333400	-0.00008633
-62.90000067	-0.00008094
-62.86666733	-0.00009106
-62.83333400	-0.00008402
-62.80000067	-0.00006775
-62.76666733	-0.00007006
-62.73333400	-0.00006006
-62.70000066	-0.00007692
-62.66666733	-0.00003365
-62.63333400	-0.00003837
-62.60000066	-0.00000994
-62.56666733	-0.00000985
-62.53333400	0.00000207
-62.50000066	0.00003106
-62.46666733	0.00003212
-62.43333400	0.00005897
-62.40000066	0.00010418
-62.36666733	0.00009349
-62.33333399	0.00010514
-62.30000066	0.00013400
-62.26666733	0.00013745
-62.23333399	0.00016511
-62.20000066	0.00017597
-62.16666733	0.00023138
-62.13333399	0.00023121
-62.10000066	0.00029613
-62.06666733	0.00031303
-62.03333399	0.00031911
-62.00000066	0.00035376
-61.96666732	0.00037559
-61.93333399	0.00039388
-61.90000066	0.00044304
-61.86666732	0.00047485
-61.83333399	0.00054645
-61.80000066	0.00053542
-61.76666732	0.00057594
-61.73333399	0.00059196
-61.70000066	0.00064190
-61.66666732	0.00069351
-61.63333399	0.00075993
-61.60000065	0.00073920
-61.56666732	0.00082102
-61.53333399	0.00077610
-61.50000065	0.00083872
-61.46666732	0.00085856
-61.43333399	0.00090602
-61.40000065	0.00092670
-61.36666732	0.00090446
-61.33333399	0.00091749
-61.30000065	0.00098987
-61.26666732	0.00102038
-61.23333398	0.00097707
-61.20000065	0.00105035
-61.16666732	0.00100054
-61.13333398	0.00108336
-61.10000065	0.00104932
-61.06666732	0.00110757
-61.03333398	0.00117285
-61.00000065	0.00112255
-60.96666732	0.00116931
-60.93333398	0.00114300
-60.90000065	0.00113319
-60.86666732	0.00111563
-60.83333398	0.00112158
-60.80000065	0.00111794
-60.76666731	0.00113735
-60.73333398	0.00112711
-60.70000065	0.00106500
-60.66666731	0.00106372
-60.63333398	0.00096758
-60.60000065	0.00096666
-60.56666731	0.00090320
-60.53333398	0.00088771
-60.50000065	0.00092297
-60.46666731	0.00086387
-60.43333398	0.00076229
-60.40000064	0.00078219
-60.36666731	0.00067847
-60.33333398	0.00062068
-60.30000064	0.00055194
-60.26666731	0.00051169
-60.23333398	0.00044115
-60.20000064	0.00039104
-60.16666731	0.00032832
-60.13333398	0.00025410
-60.10000064	0.00016994
-60.06666731	0.00004982
-60.03333397	0.00001184
-60.00000064	-0.00004530
-59.96666731	-0.00019416
-59.93333397	-0.00025105
-59.90000064	-0.00034382
-59.86666731	-0.00038237
-59.83333397	-0.00046579
-59.80000064	-0.00059493
-59.76666731	-0.00075338
-59.73333397	-0.00077692
-59.70000064	-0.00086916
-59.66666730	-0.00089962
-59.63333397	-0.00100205
-59.60000064	-0.00116589
-59.56666730	-0.00120414
-59.53333397	-0.00129659
-59.50000064	-0.00134653
-59.46666730	-0.00141737
-59.43333397	-0.00145691
-59.40000064	-0.00146994
-59.36666730	-0.00157694
-59.33333397	-0.00153886
-59.30000064	-0.00165719
-59.26666730	-0.00182678
-59.23333397	-0.00179002
-59.20000063	-0.00180960
-59.16666730	-0.00188256
-59.13333397	-0.00192624
-59.10000063	-0.00187165
-59.06666730	-0.00182837
-59.03333397	-0.00179833
-59.00000063	-0.00180693
-58.96666730	-0.00183696
-58.93333397	-0.00190306
-58.90000063	-0.00193526
-58.86666730	-0.00183716
-58.83333396	-0.00182338
-58.80000063	-0.00192373
-58.76666730	-0.00183007
-58.73333396	-0.00178211
-58.70000063	-0.00169033
-58.66666730	-0.00173841
-58.63333396	-0.00169337
-58.60000063	-0.00172494
-58.56666730	-0.00167928
-58.53333396	-0.00158545
-58.50000063	-0.00162261
-58.46666729	-0.00154937
-58.43333396	-0.00156117
-58.40000063	-0.00145675
-58.36666729	-0.00136879
-58.33333396	-0.00149765
-58.30000063	-0.00153712
-58.26666729	-0.00139789
-58.23333396	-0.00140018
-58.20000063	-0.00141934
-58.16666729	-0.00134938
-58.13333396	-0.00141020
-58.10000062	-0.00144808
-58.06666729	-0.00141185
-58.03333396	-0.00135813
-58.00000062	-0.00150556
-57.96666729	-0.00137943
-57.93333396	-0.00137055
-57.90000062	-0.00138113
-57.86666729	-0.00137444
-57.83333396	-0.00137608
-57.80000062	-0.00146541
-57.76666729	-0.00134087
-57.73333395	-0.00132612
-57.70000062	-0.00134239
-57.66666729	-0.00125161
-57.63333395	-0.00133700
-57.60000062	-0.00131899
-57.56666729	-0.00138324
-57.53333395	-0.00131409
-57.50000062	-0.00131267
-57.46666729	-0.00119201
-57.43333395	-0.00122685
-57.40000062	-0.00128449
-57.36666729	-0.00115998
-57.33333395	-0.00121457
-57.30000062	-0.00106053
-57.26666728	-0.00110247
-57.23333395	-0.00094615
-57.20000062	-0.00100180
-57.16666728	-0.00098496
-57.13333395	-0.00101494
-57.10000062	-0.00094042
-57.06666728	-0.00089027
-57.03333395	-0.00079846
-57.00000062	-0.00061061
-56.96666728	-0.00065039
-56.93333395	-0.00060387
-56.90000061	-0.00067617
-56.86666728	-0.00070043
-56.83333395	-0.00063288
-56.80000061	-0.00060521
-56.76666728	-0.00059079
-56.73333395	-0.00062637
-56.70000061	-0.00049563
-56.66666728	-0.00050115
-56.63333395	-0.00044202
-56.60000061	-0.00047256
-56.56666728	-0.00046080
-56.53333394	-0.00043570
-56.50000061	-0.00053369
-56.46666728	-0.00038401
-56.43333394	-0.00034789
-56.40000061	-0.00044508
-56.36666728	-0.00047047
-56.33333394	-0.00038642
-56.30000061	-0.00049659
-56.26666728	-0.00041689
-56.23333394	-0.00035661
-56.20000061	-0.00039257
