# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T19:48:20
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666730	0.00000000
-65.03333396	0.00000002
-65.00000063	0.00000008
-64.96666730	0.00000020
-64.93333396	0.00000031
-64.90000063	0.00000032
-64.86666730	0.00000051
-64.83333396	0.00000058
-64.80000063	0.00000068
-64.76666730	0.00000067
-64.73333396	0.00000062
-64.70000063	0.00000071
-64.66666729	0.00000020
-64.63333396	-0.00000021
-64.60000063	-0.00000005
-64.56666729	-0.00000087
-64.53333396	-0.00000168
-64.50000063	-0.00000046
-64.46666729	-0.00000258
-64.43333396	-0.00000324
-64.40000063	-0.00000338
-64.36666729	-0.00000403
-64.33333396	-0.00000583
-64.30000063	-0.00000723
-64.26666729	-0.00000962
-64.23333396	-0.00001161
-64.20000062	-0.00001513
-64.16666729	-0.00001485
-64.13333396	-0.00001697
-64.10000062	-0.00001641
-64.06666729	-0.00001723
-64.03333396	-0.00002064
-64.00000062	-0.00002592
-63.96666729	-0.00002728
-63.93333396	-0.00002651
-63.90000062	-0.00002901
-63.86666729	-0.00003211
-63.83333395	-0.00003561
-63.80000062	-0.00003400
-63.76666729	-0.00003305
-63.73333395	-0.00003764
-63.70000062	-0.00003266
-63.66666729	-0.00003535
-63.63333395	-0.00004365
-63.60000062	-0.00003684
-63.56666729	-0.00004145
-63.53333395	-0.00004415
-63.50000062	-0.00003777
-63.46666729	-0.00003867
-63.43333395	-0.00004201
-63.40000062	-0.00003081
-63.36666728	-0.00005160
-63.33333395	-0.00004017
-63.30000062	-0.00003793
-63.26666728	-0.00004325
-63.23333395	-0.00003608
-63.20000062	-0.00003723
-63.16666728	-0.00002208
-63.13333395	-0.00003489
-63.10000062	-0.00002768
-63.06666728	-0.00002361
-63.03333395	-0.00002339
-63.00000061	-0.00001642
-62.96666728	-0.00001133
-62.93333395	0.00000079
-62.90000061	0.00002496
-62.86666728	0.00003697
-62.83333395	0.00002385
-62.80000061	0.00006125
-62.76666728	0.00006501
-62.73333395	0.00009919
-62.70000061	0.00010020
-62.66666728	0.00012516
-62.63333395	0.00013006
-62.60000061	0.00014865
-62.56666728	0.00017951
-62.53333394	0.00015949
-62.50000061	0.00017408
-62.46666728	0.00022887
-62.43333394	0.00022398
-62.40000061	0.00025244
-62.36666728	0.00027474
-62.33333394	0.00030277
-62.30000061	0.00031741
-62.26666728	0.00033198
-62.23333394	0.00036932
-62.20000061	0.00039374
-62.16666728	0.00040832
-62.13333394	0.00046753
-62.10000061	0.00051201
-62.06666727	0.00050430
-62.03333394	0.00055386
-62.00000061	0.00056738
-61.96666727	0.00062119
-61.93333394	0.00064904
-61.90000061	0.00067158
-61.86666727	0.00069464
-61.83333394	0.00069111
-61.80000061	0.00075940
-61.76666727	0.00077180
-61.73333394	0.00080623
-61.70000060	0.00079418
-61.66666727	0.00083970
-61.63333394	0.00087469
-61.60000060	0.00091575
-61.56666727	0.00093902
-61.53333394	0.00099163
-61.50000060	0.00102471
-61.46666727	0.00104546
-61.43333394	0.00106312
-61.40000060	0.00105902
-61.36666727	0.00110148
-61.33333394	0.00113688
-61.30000060	0.00117952
-61.26666727	0.00118271
-61.23333393	0.00126114
-61.20000060	0.00128466
-61.16666727	0.00123919
-61.13333393	0.00125759
-61.10000060	0.00126808
-61.06666727	0.00125281
-61.03333393	0.00128723
-61.00000060	0.00126615
-60.96666727	0.00131626
-60.93333393	0.00128864
-60.90000060	0.00133709
-60.86666726	0.00127099
-60.83333393	0.00125163
-60.80000060	0.00133842
-60.76666726	0.00131121
-60.73333393	0.00130094
-60.70000060	0.00133227
-60.66666726	0.00125539
-60.63333393	0.00122254
-60.60000060	0.00114906
-60.56666726	0.00109291
-60.53333393	0.00114434
-60.50000060	0.00111237
-60.46666726	0.00108777
-60.43333393	0.00100556
-60.40000059	0.00095723
-60.36666726	0.00088599
-60.33333393	0.00080667
-60.30000059	0.00080661
-60.26666726	0.00069221
-60.23333393	0.00061968
-60.20000059	0.00057135
-60.16666726	0.00046461
-60.13333393	0.00040324
-60.10000059	0.00028976
-60.06666726	0.00036723
-60.03333392	0.00024100
-60.00000059	0.00015293
-59.96666726	0.00007067
-59.93333392	-0.00001984
-59.90000059	-0.00011181
-59.86666726	-0.00016725
-59.83333392	-0.00024495
-59.80000059	-0.00042190
-59.76666726	-0.00039518
-59.73333392	-0.00054274
-59.70000059	-0.00061296
-59.66666726	-0.00076182
-59.63333392	-0.00068761
-59.60000059	-0.00078883
-59.56666725	-0.00083198
-59.53333392	-0.00094072
-59.50000059	-0.00107013
-59.46666725	-0.00110818
-59.43333392	-0.00117073
-59.40000059	-0.00119221
-59.36666725	-0.00123247
-59.33333392	-0.00135705
-59.30000059	-0.00140484
-59.26666725	-0.00141909
-59.23333392	-0.00147795
-59.20000058	-0.00148150
-59.16666725	-0.00144898
-59.13333392	-0.00152279
-59.10000058	-0.00148504
-59.06666725	-0.00152390
-59.03333392	-0.00150916
-59.00000058	-0.00145135
-58.96666725	-0.00149949
-58.93333392	-0.00147002
-58.90000058	-0.00145540
-58.86666725	-0.00147904
-58.83333392	-0.00149633
-58.80000058	-0.00153695
-58.76666725	-0.00155406
-58.73333391	-0.00140759
-58.70000058	-0.00140735
-58.66666725	-0.00136562
-58.63333391	-0.00131716
-58.60000058	-0.00130540
-58.56666725	-0.00124811
-58.53333391	-0.00121522
-58.50000058	-0.00119171
-58.46666725	-0.00110926
-58.43333391	-0.00104030
-58.40000058	-0.00096330
-58.36666725	-0.00097702
-58.33333391	-0.00090814
-58.30000058	-0.00078163
-58.26666724	-0.00080171
-58.23333391	-0.00069299
-58.20000058	-0.00068718
-58.16666724	-0.00065001
-58.13333391	-0.00051177
-58.10000058	-0.00060741
-58.06666724	-0.00061111
-58.03333391	-0.00055451
-58.00000058	-0.00039345
-57.96666724	-0.00046000
-57.93333391	-0.00047606
-57.90000057	-0.00050551
-57.86666724	-0.00039278
-57.83333391	-0.00039262
-57.80000057	-0.00043847
-57.76666724	-0.00039880
-57.73333391	-0.00035749
-57.70000057	-0.00034148
-57.66666724	-0.00023415
-57.63333391	-0.00030594
-57.60000057	-0.00024306
-57.56666724	-0.00013772
-57.53333391	-0.00022148
-57.50000057	-0.00006160
-57.46666724	-0.00015913
-57.43333390	-0.00012529
-57.40000057	-0.00006153
-57.36666724	-0.00007648
-57.33333390	0.00002834
-57.30000057	0.00003210
-57.26666724	0.00000208
-57.23333390	-0.00007072
-57.20000057	-0.00007911
-57.16666724	-0.00003381
-57.13333390	-0.00003532
-57.10000057	0.00001926
-57.06666723	0.00001920
-57.03333390	0.00001531
-57.00000057	0.00003976
-56.96666723	0.00004173
-56.93333390	-0.00016175
-56.90000057	-0.00001087
-56.86666723	-0.00002721
-56.83333390	0.00005192
-56.80000057	0.00007521
-56.76666723	-0.00005623
-56.73333390	0.00005795
-56.70000057	-0.00007307
-56.66666723	-0.00000579
-56.63333390	-0.00001430
-56.60000056	-0.00003470
-56.56666723	0.00007029
-56.53333390	-0.00000269
-56.50000056	-0.00004517
-56.46666723	-0.00000461
-56.43333390	0.00007234
-56.40000056	0.00004790
-56.36666723	-0.00001022
-56.33333390	-0.00002040
-56.30000056	-0.00005049
