# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T19:48:20
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-39.30672424
0.00732601	-31.47626886
0.01465201	-23.17845928
0.02197802	-21.15771601
0.02930403	-26.37627509
0.03663004	-26.97761770
0.04395604	-19.35514870
0.05128205	-15.77084827
0.05860806	-17.52521789
0.06593407	-15.33023399
0.07326007	-10.40489759
0.08058608	-12.97518243
0.08791209	-17.96445372
0.09523809	-9.06636452
0.10256410	-9.48680220
0.10989011	-16.12549927
0.11721612	-11.18047871
0.12454212	-9.63735323
0.13186813	-13.20490213
0.13919414	-13.87728845
0.14652015	-11.07450577
0.15384615	-11.78328296
0.16117216	-11.64295822
0.16849817	-8.57469604
0.17582417	-8.05519377
0.18315018	-9.22495468
0.19047619	-7.57936778
0.19780220	-4.98328284
0.20512820	-4.81888272
0.21245421	-6.11307703
0.21978022	-3.38196300
0.22710623	-1.96827028
0.23443223	-3.92729461
0.24175824	-3.52370149
0.24908425	-1.79738080
0.25641025	-2.94383066
0.26373626	-3.05568486
0.27106227	-1.33757673
0.27838828	-1.17908273
0.28571428	-1.68182659
0.29304029	-1.02765150
0.30036630	-0.16190103
0.30769231	-0.63190500
0.31501831	-1.10771559
0.32234432	-0.08307098
0.32967033	0.00000000
0.33699633	-1.08120303
0.34432234	-1.15299346
0.35164835	-0.93306599
0.35897436	-1.52023574
0.36630036	-1.84104951
0.37362637	-1.95211281
0.38095238	-2.52707422
0.38827839	-3.05780355
0.39560439	-3.58280213
0.40293040	-4.51192173
0.41025641	-5.46919998
0.41758241	-6.14598453
0.42490842	-6.71307507
0.43223443	-7.50200353
0.43956044	-8.42830034
0.44688644	-8.69687530
0.45421245	-8.75885540
0.46153846	-9.42388298
0.46886447	-9.56264996
0.47619047	-9.40326410
0.48351648	-9.55523028
0.49084249	-9.20421145
0.49816849	-9.15911484
0.50549450	-8.74744421
0.51282051	-8.07486278
0.52014652	-7.99577664
0.52747252	-7.75188114
0.53479853	-7.62240942
0.54212454	-7.49238440
0.54945055	-8.73335747
0.55677655	-12.64096515
0.56410256	-10.13692362
0.57142857	-7.65764865
0.57875457	-7.89564690
0.58608058	-7.96981597
0.59340659	-7.67429151
0.60073260	-7.69647388
0.60805860	-7.63070095
0.61538461	-7.77738867
0.62271062	-8.11001086
0.63003663	-8.17215227
0.63736263	-8.38502831
0.64468864	-8.92617387
0.65201465	-9.12858233
0.65934065	-9.59911734
0.66666666	-10.37893426
0.67399267	-10.74016057
0.68131868	-11.45278001
0.68864468	-12.20774772
0.69597069	-12.77162786
0.70329670	-13.78769456
0.71062271	-14.66606519
0.71794871	-15.38725599
0.72527472	-16.31505776
0.73260073	-17.08994867
0.73992673	-17.85451087
0.74725274	-20.26925161
0.75457875	-22.82677696
0.76190476	-20.87956930
0.76923076	-20.64081061
0.77655677	-21.32684298
0.78388278	-21.49365365
0.79120878	-22.10340364
0.79853479	-22.17806634
0.80586080	-22.39177077
0.81318681	-22.49612472
0.82051281	-22.48022652
0.82783882	-22.82792321
0.83516483	-23.01999754
0.84249084	-23.51685952
0.84981684	-23.83515349
0.85714285	-24.07182608
0.86446886	-24.73096732
0.87179486	-25.07003470
0.87912087	-25.60177162
0.88644688	-26.19652778
0.89377289	-26.30898247
0.90109889	-26.78268962
0.90842490	-27.17450202
0.91575091	-27.44667832
0.92307692	-28.06401618
0.93040292	-27.89975520
0.93772893	-27.88312013
0.94505494	-28.78366061
0.95238094	-29.21584286
0.95970695	-29.82202574
0.96703296	-30.91310376
0.97435897	-31.39793696
0.98168497	-33.14042551
0.98901098	-35.62562190
0.99633699	-35.42609302
1.00366300	-35.72832409
1.01098900	-36.44566850
1.01831501	-37.15061342
1.02564102	-38.10245048
1.03296702	-38.75276030
1.04029303	-39.65824885
1.04761904	-39.69642515
1.05494505	-40.22267299
1.06227105	-40.79471680
1.06959706	-41.15540264
1.07692307	-43.08442906
1.08424908	-44.25994398
1.09157508	-47.91510362
1.09890109	-70.42984630
1.10622710	-50.69464361
1.11355310	-52.92602467
1.12087911	-51.58385326
1.12820512	-49.12645556
1.13553113	-50.31844362
1.14285713	-49.52371342
1.15018314	-51.14539886
1.15750915	-56.24301608
1.16483516	-66.63697636
1.17216116	-54.21125941
1.17948717	-50.01816189
1.18681318	-50.64395977
1.19413918	-51.04214064
1.20146519	-52.43970347
1.20879120	-58.83254529
1.21611721	-54.18050132
1.22344321	-53.83646779
1.23076922	-58.04564728
1.23809523	-56.55403580
1.24542124	-56.83096915
1.25274724	-57.05626965
1.26007325	-56.89270303
1.26739926	-57.23038377
1.27472526	-57.42931053
1.28205127	-58.31018084
1.28937728	-56.93616898
1.29670329	-56.13745015
1.30402929	-55.87191946
1.31135530	-56.11067838
1.31868131	-58.33191418
1.32600732	-58.84616526
1.33333332	-57.52376409
1.34065933	-57.30057167
1.34798534	-57.23350085
1.35531134	-58.06231986
1.36263735	-59.94879160
1.36996336	-62.00396158
1.37728937	-62.77279892
1.38461537	-61.50879351
1.39194138	-61.63058719
1.39926739	-63.31729247
1.40659340	-67.12382844
1.41391940	-71.33949964
1.42124541	-63.69134749
1.42857142	-61.72100867
1.43589742	-61.54183707
1.44322343	-61.51210235
1.45054944	-62.91782070
1.45787545	-63.03898624
1.46520145	-61.74379126
1.47252746	-61.96049024
1.47985347	-62.99248851
1.48717948	-64.95358183
1.49450548	-66.52462468
1.50183149	-65.44058164
1.50915750	-65.78746264
1.51648350	-67.90674737
1.52380951	-69.06077140
1.53113552	-68.57557209
1.53846153	-70.17128082
1.54578753	-73.29407338
1.55311354	-70.15978537
1.56043955	-68.78671732
1.56776556	-67.37079913
1.57509156	-66.65441276
1.58241757	-70.34768557
1.58974358	-73.70457652
1.59706958	-79.65633603
1.60439559	-74.47803001
1.61172160	-68.98721915
1.61904761	-68.42361940
1.62637361	-68.99522617
1.63369962	-71.33536678
1.64102563	-85.65736600
1.64835164	-76.84094061
1.65567764	-75.61361255
1.66300365	-82.55743435
1.67032966	-94.06739455
1.67765566	-85.08103771
1.68498167	-77.69904739
1.69230768	-75.80986463
1.69963369	-78.09965627
1.70695969	-79.43559989
1.71428570	-83.62943984
1.72161171	-78.68859344
1.72893772	-81.89516978
1.73626372	-80.07648378
1.74358973	-75.07020077
1.75091574	-75.36547966
1.75824174	-84.15802093
1.76556775	-81.01038095
1.77289376	-76.40871242
1.78021977	-82.86122854
1.78754577	-88.08844898
1.79487178	-85.73758899
1.80219779	-82.32648525
1.80952380	-78.31373389
1.81684980	-75.76564686
1.82417581	-78.11629093
1.83150182	-81.67468991
1.83882782	-75.22572470
1.84615383	-80.78912184
1.85347984	-80.70471150
1.86080585	-76.97661927
1.86813185	-86.87803175
1.87545786	-78.87372565
1.88278387	-79.51081845
1.89010988	-94.32475791
1.89743588	-80.10091393
1.90476189	-80.31995196
1.91208790	-90.17135310
1.91941390	-88.54610944
1.92673991	-82.10573713
1.93406592	-76.35027821
1.94139193	-79.28901790
1.94871793	-86.38467775
1.95604394	-81.14186928
1.96336995	-74.65180177
1.97069596	-79.91061657
1.97802196	-81.90856596
1.98534797	-80.35423545
1.99267398	-78.80131284
1.99999998	-80.42952523
2.00732599	-84.58072139
2.01465200	-79.30699034
2.02197801	-93.96298202
2.02930401	-79.60013658
2.03663002	-75.91564574
2.04395603	-76.23870408
2.05128204	-81.56320389
2.05860804	-84.74194880
2.06593405	-77.36885617
2.07326006	-82.77541869
2.08058606	-77.84540305
2.08791207	-72.71933216
2.09523808	-76.96953897
2.10256409	-81.34518572
2.10989009	-80.00235598
2.11721610	-81.95781112
2.12454211	-103.30091206
2.13186812	-85.60057957
2.13919412	-101.19699363
2.14652013	-82.93985057
2.15384614	-81.75760738
2.16117214	-87.38759500
2.16849815	-85.11170321
2.17582416	-79.65388532
2.18315017	-82.87644406
2.19047617	-78.28273179
2.19780218	-75.62079184
2.20512819	-88.58909718
2.21245420	-76.66501935
2.21978020	-83.94728201
2.22710621	-78.29181039
2.23443222	-91.49949484
2.24175822	-75.82406524
2.24908423	-76.10122886
2.25641024	-88.42243188
2.26373625	-84.94980370
2.27106225	-87.50535475
2.27838826	-81.56006989
2.28571427	-90.93476236
2.29304027	-82.21554446
2.30036628	-82.49355933
2.30769229	-82.38320643
2.31501830	-83.00381075
2.32234430	-87.91695582
2.32967031	-77.85478642
2.33699632	-81.61748566
2.34432233	-93.86338897
2.35164833	-83.67521164
2.35897434	-80.90223941
2.36630035	-85.48812740
2.37362635	-93.29211608
2.38095236	-87.51799287
2.38827837	-78.34431348
2.39560438	-79.56386147
2.40293038	-83.77459120
2.41025639	-79.65068543
2.41758240	-84.06601574
2.42490841	-82.44251192
2.43223441	-75.97027637
2.43956042	-73.54617951
2.44688643	-78.61871876
