# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T15:44:52
# Time [ps]	THz Signal [a.u.]
-65.06666592	0.00000000
-65.03333258	0.00000001
-64.99999925	0.00000004
-64.96666592	0.00000013
-64.93333258	0.00000015
-64.89999925	0.00000036
-64.86666592	0.00000039
-64.83333259	0.00000023
-64.79999925	0.00000041
-64.76666592	0.00000082
-64.73333259	0.00000062
-64.69999925	0.00000092
-64.66666592	0.00000100
-64.63333259	0.00000021
-64.59999925	-0.00000026
-64.56666592	-0.00000043
-64.53333259	-0.00000081
-64.49999925	0.00000005
-64.46666592	0.00000006
-64.43333259	-0.00000115
-64.39999926	-0.00000102
-64.36666592	-0.00000058
-64.33333259	-0.00000475
-64.29999926	-0.00000628
-64.26666592	-0.00000656
-64.23333259	-0.00001027
-64.19999926	-0.00000863
-64.16666592	-0.00001372
-64.13333259	-0.00001475
-64.09999926	-0.00001349
-64.06666593	-0.00001700
-64.03333259	-0.00002020
-63.99999926	-0.00001744
-63.96666593	-0.00002261
-63.93333259	-0.00002090
-63.89999926	-0.00003030
-63.86666593	-0.00002294
-63.83333259	-0.00002395
-63.79999926	-0.00003363
-63.76666593	-0.00002954
-63.73333260	-0.00002284
-63.69999926	-0.00003141
-63.66666593	-0.00003519
-63.63333260	-0.00003697
-63.59999926	-0.00004101
-63.56666593	-0.00003638
-63.53333260	-0.00004802
-63.49999926	-0.00005654
-63.46666593	-0.00004872
-63.43333260	-0.00005267
-63.39999927	-0.00004897
-63.36666593	-0.00004664
-63.33333260	-0.00006022
-63.29999927	-0.00006020
-63.26666593	-0.00006475
-63.23333260	-0.00005751
-63.19999927	-0.00006011
-63.16666593	-0.00004466
-63.13333260	-0.00003984
-63.09999927	-0.00004962
-63.06666593	-0.00003916
-63.03333260	-0.00004365
-62.99999927	-0.00004217
-62.96666594	-0.00003077
-62.93333260	-0.00002771
-62.89999927	-0.00003739
-62.86666594	-0.00001951
-62.83333260	-0.00002620
-62.79999927	-0.00000497
-62.76666594	-0.00001492
-62.73333260	-0.00000266
-62.69999927	0.00001854
-62.66666594	0.00002874
-62.63333261	0.00006383
-62.59999927	0.00006421
-62.56666594	0.00007987
-62.53333261	0.00011452
-62.49999927	0.00012131
-62.46666594	0.00014283
-62.43333261	0.00015791
-62.39999927	0.00018642
-62.36666594	0.00018827
-62.33333261	0.00017540
-62.29999928	0.00021380
-62.26666594	0.00022026
-62.23333261	0.00025741
-62.19999928	0.00027630
-62.16666594	0.00031907
-62.13333261	0.00031219
-62.09999928	0.00035184
-62.06666594	0.00034854
-62.03333261	0.00039120
-61.99999928	0.00041525
-61.96666595	0.00043305
-61.93333261	0.00048270
-61.89999928	0.00049580
-61.86666595	0.00054132
-61.83333261	0.00054302
-61.79999928	0.00057509
-61.76666595	0.00059313
-61.73333261	0.00063151
-61.69999928	0.00065562
-61.66666595	0.00071386
-61.63333262	0.00070361
-61.59999928	0.00074261
-61.56666595	0.00077042
-61.53333262	0.00077215
-61.49999928	0.00079878
-61.46666595	0.00085684
-61.43333262	0.00082779
-61.39999928	0.00091059
-61.36666595	0.00092182
-61.33333262	0.00093144
-61.29999928	0.00099641
-61.26666595	0.00090964
-61.23333262	0.00102899
-61.19999929	0.00103647
-61.16666595	0.00104253
-61.13333262	0.00102471
-61.09999929	0.00103103
-61.06666595	0.00111760
-61.03333262	0.00111826
-60.99999929	0.00106504
-60.96666595	0.00109558
-60.93333262	0.00110000
-60.89999929	0.00108077
-60.86666596	0.00114032
-60.83333262	0.00109333
-60.79999929	0.00111116
-60.76666596	0.00111725
-60.73333262	0.00113451
-60.69999929	0.00105681
-60.66666596	0.00111373
-60.63333262	0.00108107
-60.59999929	0.00106023
-60.56666596	0.00095924
-60.53333263	0.00090952
-60.49999929	0.00094935
-60.46666596	0.00084667
-60.43333263	0.00085767
