# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T15:44:52
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-46.38685079
0.00732601	-30.65538585
0.01465201	-23.00941758
0.02197802	-21.54580347
0.02930403	-28.25708339
0.03663004	-25.72349978
0.04395604	-17.97417336
0.05128205	-14.39477223
0.05860806	-15.76000630
0.06593407	-15.63954756
0.07326007	-10.73430413
0.08058608	-12.51202235
0.08791209	-27.58130335
0.09523810	-12.27922345
0.10256410	-11.56499836
0.10989011	-21.11357715
0.11721612	-12.27821770
0.12454213	-8.67033839
0.13186813	-10.86303528
0.13919414	-11.51149530
0.14652015	-9.11485662
0.15384616	-11.66381119
0.16117216	-14.88752748
0.16849817	-9.96292087
0.17582418	-10.31096442
0.18315018	-16.31049149
0.19047619	-10.59639509
0.19780220	-8.47401738
0.20512821	-12.59237373
0.21245421	-9.56298365
0.21978022	-5.90377380
0.22710623	-6.62109084
0.23443224	-5.74243687
0.24175824	-3.14417201
0.24908425	-2.76255432
0.25641026	-3.04647706
0.26373627	-1.88600213
0.27106227	-0.72703712
0.27838828	-0.87046461
0.28571429	-1.40140358
0.29304030	-0.46915198
0.30036630	0.00000000
0.30769231	-0.98183804
0.31501832	-1.08098555
0.32234433	-0.43005841
0.32967033	-1.06274518
0.33699634	-1.75580888
0.34432235	-1.62082984
0.35164835	-2.14253186
0.35897436	-2.79871297
0.36630037	-3.11018893
0.37362638	-4.15854090
0.38095238	-5.20925605
0.38827839	-5.68534523
0.39560440	-6.74214162
0.40293041	-7.78118106
0.41025641	-8.27556602
0.41758242	-8.57908816
0.42490843	-8.35243408
0.43223444	-8.25498890
0.43956044	-8.56061157
0.44688645	-8.66492555
0.45421246	-9.11809206
0.46153847	-10.62475392
0.46886447	-11.70691887
0.47619048	-11.76773838
0.48351649	-12.20247250
0.49084250	-12.34932843
0.49816850	-12.09461382
0.50549451	-11.78917100
0.51282052	-11.74985044
0.52014653	-11.68648164
0.52747253	-11.63724040
0.53479854	-11.85810678
0.54212455	-11.05222705
0.54945055	-11.98926204
0.55677656	-16.30005995
0.56410257	-12.74602569
0.57142858	-10.40424807
0.57875458	-10.87227127
0.58608059	-10.58305657
0.59340660	-10.50061593
0.60073261	-11.08736725
0.60805861	-10.90563457
0.61538462	-11.34623924
0.62271063	-12.13525763
0.63003664	-12.12423341
0.63736264	-12.58753890
0.64468865	-13.42633113
0.65201466	-13.80315435
0.65934067	-14.40359940
0.66666667	-15.24377434
0.67399268	-15.81461432
0.68131869	-16.58507644
0.68864470	-17.51920335
0.69597070	-18.38561598
0.70329671	-19.48327958
0.71062272	-20.28581458
0.71794872	-20.77349814
0.72527473	-21.54228428
0.73260074	-21.81945081
0.73992675	-22.03994553
0.74725275	-24.10380252
0.75457876	-25.46448404
0.76190477	-23.37144462
0.76923078	-22.98701302
0.77655678	-23.43308226
0.78388279	-23.55559238
0.79120880	-24.03524575
0.79853481	-23.98141682
0.80586081	-24.18771695
0.81318682	-24.55281311
0.82051283	-24.36220569
0.82783884	-24.54859771
0.83516484	-24.45614883
0.84249085	-24.35891997
0.84981686	-24.59215239
0.85714287	-24.55854896
0.86446887	-24.69547629
0.87179488	-24.73412263
0.87912089	-24.61891419
0.88644689	-24.76103007
0.89377290	-24.80816424
0.90109891	-24.91928488
0.90842492	-25.19335781
0.91575092	-25.34849870
0.92307693	-25.50737540
0.93040294	-25.61420512
0.93772895	-25.90333650
0.94505495	-26.48809179
0.95238096	-26.70997245
0.95970697	-27.17982457
0.96703298	-27.94435035
0.97435898	-28.11344698
0.98168499	-29.50130292
0.98901100	-31.48827987
0.99633701	-30.31580040
1.00366301	-29.66889806
1.01098902	-30.08837550
1.01831503	-30.53349872
1.02564104	-30.88422366
1.03296704	-31.29307235
1.04029305	-31.87044881
1.04761906	-31.91177218
1.05494506	-32.39034039
1.06227107	-32.85473901
1.06959708	-33.04770880
1.07692309	-33.93128705
1.08424909	-34.50461412
1.09157510	-38.41039234
1.09890111	-58.60397159
1.10622712	-40.31391356
1.11355312	-40.90128238
1.12087913	-38.01132066
1.12820514	-35.66071951
1.13553115	-36.15863747
1.14285715	-36.65336866
1.15018316	-38.88054339
1.15750917	-44.65214977
1.16483518	-69.09754592
1.17216118	-41.34245691
1.17948719	-37.38059998
1.18681320	-37.97110930
1.19413921	-37.80819293
1.20146521	-39.13099462
1.20879122	-45.76702947
1.21611723	-40.11384017
1.22344323	-40.28218366
1.23076924	-45.12548799
1.23809525	-40.35025586
1.24542126	-39.62278097
1.25274726	-40.10886178
1.26007327	-39.92234962
1.26739928	-40.80038644
1.27472529	-40.94401791
1.28205129	-41.28547366
1.28937730	-41.66542315
1.29670331	-41.92591537
1.30402932	-42.74207788
1.31135532	-42.94377362
1.31868133	-43.73155748
1.32600734	-44.35635250
1.33333335	-44.21577500
1.34065935	-44.76987385
1.34798536	-45.13209179
1.35531137	-45.47041690
1.36263738	-46.05214019
1.36996338	-46.50075669
1.37728939	-47.09312882
1.38461540	-48.00753765
1.39194140	-48.65110721
1.39926741	-49.61951948
1.40659342	-54.85059664
1.41391943	-65.87518347
1.42124543	-52.98258412
1.42857144	-51.38972027
1.43589745	-51.59782472
1.44322346	-51.53021476
1.45054946	-52.35422392
1.45787547	-53.00886162
1.46520148	-53.16206003
1.47252749	-54.16357230
1.47985349	-54.62036608
1.48717950	-54.50386326
1.49450551	-54.92515434
1.50183152	-55.41370477
1.50915752	-55.76692178
1.51648353	-56.49707649
1.52380954	-57.09847299
1.53113555	-56.65045585
1.53846155	-57.26588639
1.54578756	-57.90596472
1.55311357	-57.63196206
1.56043958	-59.18054962
1.56776558	-59.70204786
1.57509159	-59.61189050
1.58241760	-60.58017713
1.58974360	-60.95305350
1.59706961	-64.41229055
1.60439562	-67.33442028
1.61172163	-63.57770635
1.61904763	-63.51189558
1.62637364	-62.89134294
1.63369965	-62.96049205
1.64102566	-64.48559157
1.64835166	-67.20285473
1.65567767	-73.98952235
1.66300368	-84.16786505
1.67032969	-76.52966834
1.67765569	-82.46881550
1.68498170	-81.93109720
1.69230771	-74.80183390
1.69963372	-74.67226398
1.70695972	-87.44244842
1.71428573	-78.60991671
1.72161174	-74.30713061
1.72893775	-71.41879260
1.73626375	-71.67546180
1.74358976	-75.35049894
1.75091577	-76.26822927
1.75824177	-74.04816274
1.76556778	-75.48258303
1.77289379	-75.34241385
1.78021980	-73.77459720
1.78754580	-75.58970133
1.79487181	-87.42582882
1.80219782	-73.56103056
1.80952383	-71.65734723
1.81684983	-75.67622311
1.82417584	-82.46355504
1.83150185	-85.36706106
1.83882786	-77.20214720
1.84615386	-73.98187890
1.85347987	-76.29620748
1.86080588	-81.84029726
1.86813189	-79.96718829
1.87545789	-82.62954750
1.88278390	-85.82915706
1.89010991	-84.79185919
1.89743592	-78.65084048
1.90476192	-71.86948408
1.91208793	-71.63571963
1.91941394	-79.98459650
1.92673994	-74.22154676
1.93406595	-72.38239357
1.94139196	-76.48276765
1.94871797	-86.85208498
1.95604397	-81.02893929
1.96336998	-76.69961275
1.97069599	-79.00168251
1.97802200	-82.84312524
1.98534800	-81.20502122
1.99267401	-76.79918466
2.00000002	-77.26081522
2.00732603	-80.58868820
2.01465203	-78.50298264
2.02197804	-78.78322173
2.02930405	-77.79978797
2.03663006	-78.57647928
2.04395606	-88.41816006
2.05128207	-83.46189085
2.05860808	-80.11587919
2.06593409	-77.72424425
2.07326009	-76.88711594
2.08058610	-80.18768148
2.08791211	-81.99585898
2.09523811	-81.51966949
2.10256412	-75.91742681
2.10989013	-79.79017580
2.11721614	-83.61898451
