# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T15:27:56
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666733	0.00000000
-65.03333400	-0.00000001
-65.00000067	-0.00000001
-64.96666733	-0.00000005
-64.93333400	-0.00000010
-64.90000067	-0.00000013
-64.86666733	-0.00000028
-64.83333400	-0.00000046
-64.80000066	-0.00000001
-64.76666733	0.00000006
-64.73333400	-0.00000029
-64.70000066	-0.00000032
-64.66666733	-0.00000005
-64.63333400	-0.00000012
-64.60000066	0.00000074
-64.56666733	-0.00000013
-64.53333400	-0.00000005
-64.50000066	0.00000205
-64.46666733	0.00000070
-64.43333399	0.00000210
-64.40000066	0.00000033
-64.36666733	0.00000252
-64.33333399	0.00000316
-64.30000066	0.00000239
-64.26666733	0.00000152
-64.23333399	0.00000107
-64.20000066	0.00000350
-64.16666733	0.00000504
-64.13333399	0.00000254
-64.10000066	0.00000755
-64.06666733	0.00000082
-64.03333399	0.00000024
-64.00000066	0.00000392
-63.96666732	0.00000462
-63.93333399	0.00000056
-63.90000066	-0.00000068
-63.86666732	0.00000053
-63.83333399	0.00000196
-63.80000066	0.00000234
-63.76666732	0.00001191
-63.73333399	0.00000269
-63.70000066	-0.00000173
-63.66666732	0.00001569
-63.63333399	0.00001548
-63.60000065	0.00001412
-63.56666732	0.00001770
-63.53333399	0.00001951
-63.50000065	0.00002940
-63.46666732	0.00002327
-63.43333399	0.00002467
-63.40000065	0.00003101
-63.36666732	0.00003165
-63.33333399	0.00003101
-63.30000065	0.00003864
-63.26666732	0.00004206
-63.23333398	0.00004139
-63.20000065	0.00005925
-63.16666732	0.00005601
-63.13333398	0.00006518
-63.10000065	0.00006189
-63.06666732	0.00005927
-63.03333398	0.00008376
-63.00000065	0.00009826
-62.96666732	0.00009871
-62.93333398	0.00010294
-62.90000065	0.00011876
-62.86666732	0.00012733
-62.83333398	0.00012228
-62.80000065	0.00011861
-62.76666731	0.00013074
-62.73333398	0.00015580
-62.70000065	0.00016598
-62.66666731	0.00018184
-62.63333398	0.00018452
-62.60000065	0.00020985
-62.56666731	0.00024202
-62.53333398	0.00025014
-62.50000065	0.00026276
-62.46666731	0.00028072
-62.43333398	0.00028349
-62.40000064	0.00029385
-62.36666731	0.00028370
-62.33333398	0.00031507
-62.30000064	0.00030387
-62.26666731	0.00035529
-62.23333398	0.00035584
-62.20000064	0.00035998
-62.16666731	0.00038454
-62.13333398	0.00040185
-62.10000064	0.00041517
-62.06666731	0.00043483
-62.03333397	0.00041758
-62.00000064	0.00043839
-61.96666731	0.00045069
-61.93333397	0.00046240
-61.90000064	0.00041922
-61.86666731	0.00047843
-61.83333397	0.00046648
-61.80000064	0.00055694
-61.76666731	0.00055884
-61.73333397	0.00055602
-61.70000064	0.00061323
-61.66666731	0.00060576
-61.63333397	0.00063396
-61.60000064	0.00063282
-61.56666730	0.00063726
-61.53333397	0.00066177
-61.50000064	0.00067974
-61.46666730	0.00066419
-61.43333397	0.00071696
-61.40000064	0.00072819
-61.36666730	0.00072183
-61.33333397	0.00076322
-61.30000064	0.00080220
-61.26666730	0.00079621
-61.23333397	0.00084728
-61.20000063	0.00082748
-61.16666730	0.00083280
-61.13333397	0.00088025
-61.10000063	0.00087888
-61.06666730	0.00093017
-61.03333397	0.00095180
-61.00000063	0.00090165
-60.96666730	0.00089419
-60.93333397	0.00089749
-60.90000063	0.00093437
-60.86666730	0.00093435
-60.83333396	0.00095589
-60.80000063	0.00092290
-60.76666730	0.00090412
-60.73333396	0.00091035
-60.70000063	0.00085813
-60.66666730	0.00088983
-60.63333396	0.00092626
-60.60000063	0.00081954
-60.56666730	0.00077653
-60.53333396	0.00076264
-60.50000063	0.00074948
-60.46666730	0.00063024
-60.43333396	0.00062682
-60.40000063	0.00062770
-60.36666729	0.00056549
-60.33333396	0.00046824
-60.30000063	0.00046202
-60.26666729	0.00036981
-60.23333396	0.00026109
-60.20000063	0.00030067
-60.16666729	0.00013966
-60.13333396	0.00010199
-60.10000063	-0.00003649
-60.06666729	-0.00006725
-60.03333396	-0.00020266
-60.00000062	-0.00019011
-59.96666729	-0.00029874
-59.93333396	-0.00035138
-59.90000062	-0.00045974
-59.86666729	-0.00054920
-59.83333396	-0.00069911
-59.80000062	-0.00077447
-59.76666729	-0.00079296
-59.73333396	-0.00090278
-59.70000062	-0.00094795
-59.66666729	-0.00106778
-59.63333396	-0.00119611
-59.60000062	-0.00118642
