# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T15:37:24
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-19.81758668
0.00732601	-26.18048505
0.01465201	-16.72031140
0.02197802	-13.86692793
0.02930403	-20.15770038
0.03663004	-19.19670094
0.04395604	-10.56941935
0.05128205	-6.73736318
0.05860806	-8.47414416
0.06593407	-7.20879573
0.07326007	-3.33274289
0.08058608	-6.35493606
0.08791209	-13.32738616
0.09523809	-3.23092174
0.10256410	-3.59018761
0.10989011	-10.97041866
0.11721612	-5.23563895
0.12454212	-3.01691649
0.13186813	-6.15318887
0.13919414	-8.22227156
0.14652015	-4.91347949
0.15384615	-5.54782211
0.16117216	-8.16980208
0.16849817	-4.24262230
0.17582417	-2.85966322
0.18315018	-6.75642623
0.19047619	-5.74643869
0.19780220	-1.54259640
0.20512820	-3.08695130
0.21245421	-6.79432785
0.21978022	-1.60597757
0.22710622	-0.64745309
0.23443223	-3.53725260
0.24175824	-2.24585047
0.24908425	-0.42385397
0.25641025	-1.66016480
0.26373626	-1.75296964
0.27106227	-0.58116393
0.27838828	-0.51468766
0.28571428	-0.75729000
0.29304029	-0.96175043
0.30036630	-0.33389346
0.30769230	-0.34471780
0.31501831	-1.59610220
0.32234432	-0.77579900
0.32967033	0.00000000
0.33699633	-1.00704075
0.34432234	-1.02882651
0.35164835	-0.71153985
0.35897436	-1.65043074
0.36630036	-2.03271981
0.37362637	-2.03552827
0.38095238	-2.68566514
0.38827838	-3.21078115
0.39560439	-3.70072401
0.40293040	-4.55525149
0.41025641	-5.59348974
0.41758241	-6.23383903
0.42490842	-6.36538530
0.43223443	-6.91757277
0.43956044	-7.59416368
0.44688644	-7.40124616
0.45421245	-7.47884043
0.46153846	-8.35061374
0.46886446	-8.83518711
0.47619047	-9.30964267
0.48351648	-9.72827111
0.49084249	-9.48887817
0.49816849	-10.00605325
0.50549450	-10.45442497
0.51282051	-10.59748792
0.52014652	-11.39258298
0.52747252	-11.21811287
0.53479853	-10.84091111
0.54212454	-10.88858054
0.54945054	-12.17633904
0.55677655	-15.61115437
0.56410256	-13.08248713
0.57142857	-10.52360046
0.57875457	-10.70493596
0.58608058	-11.19731999
0.59340659	-11.04118916
0.60073260	-11.14811665
0.60805860	-11.23621842
0.61538461	-11.27215560
0.62271062	-11.88989022
0.63003662	-11.82191070
0.63736263	-11.34693867
0.64468864	-11.80714216
0.65201465	-11.67877812
0.65934065	-11.70128456
0.66666666	-12.75359418
0.67399267	-12.95726769
0.68131867	-12.88116978
0.68864468	-13.20103849
0.69597069	-13.58132120
0.70329670	-14.20976910
0.71062270	-14.72233696
0.71794871	-15.08911461
0.72527472	-15.61981493
0.73260073	-16.10970933
0.73992673	-16.56356577
0.74725274	-18.82510538
0.75457875	-20.83750740
0.76190475	-18.02674633
0.76923076	-17.43837798
0.77655677	-18.02844604
0.78388278	-17.94116273
0.79120878	-18.35361450
0.79853479	-18.67416971
0.80586080	-18.95903049
0.81318681	-19.42083921
0.82051281	-19.76268207
0.82783882	-20.13150210
0.83516483	-20.03090755
0.84249083	-20.00731558
0.84981684	-20.17162921
0.85714285	-20.42687386
0.86446886	-20.74302844
0.87179486	-20.50214028
0.87912087	-20.34454730
0.88644688	-20.52189131
0.89377289	-20.65604148
0.90109889	-21.01599894
0.90842490	-21.35805256
0.91575091	-21.29112800
0.92307691	-21.34714015
0.93040292	-21.54377450
0.93772893	-21.76504808
0.94505494	-22.22900203
0.95238094	-22.38030909
0.95970695	-22.69794075
0.96703296	-23.31836874
