# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T18:24:27
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666713	0.00000000
-65.03333379	0.00000001
-65.00000046	0.00000004
-64.96666712	0.00000009
-64.93333379	0.00000012
-64.90000046	0.00000037
-64.86666712	0.00000055
-64.83333379	0.00000051
-64.80000046	0.00000070
-64.76666712	0.00000093
-64.73333379	0.00000072
-64.70000046	0.00000068
-64.66666712	0.00000077
-64.63333379	0.00000042
-64.60000046	-0.00000001
-64.56666712	-0.00000025
-64.53333379	-0.00000146
-64.50000046	-0.00000150
-64.46666712	-0.00000178
-64.43333379	-0.00000223
-64.40000045	-0.00000301
-64.36666712	-0.00000405
-64.33333379	-0.00000510
-64.30000045	-0.00000599
-64.26666712	-0.00000799
-64.23333379	-0.00000827
-64.20000045	-0.00001002
-64.16666712	-0.00000967
-64.13333379	-0.00001456
-64.10000045	-0.00001422
-64.06666712	-0.00001948
-64.03333379	-0.00001929
-64.00000045	-0.00002172
-63.96666712	-0.00002446
-63.93333379	-0.00002707
-63.90000045	-0.00003085
-63.86666712	-0.00003536
-63.83333378	-0.00003845
-63.80000045	-0.00003378
-63.76666712	-0.00004426
-63.73333378	-0.00005075
-63.70000045	-0.00005419
-63.66666712	-0.00005010
-63.63333378	-0.00005793
-63.60000045	-0.00006398
-63.56666712	-0.00006221
-63.53333378	-0.00006774
-63.50000045	-0.00007047
-63.46666712	-0.00007129
-63.43333378	-0.00007843
-63.40000045	-0.00006944
-63.36666712	-0.00008510
-63.33333378	-0.00009928
-63.30000045	-0.00009888
-63.26666712	-0.00010095
-63.23333378	-0.00010766
-63.20000045	-0.00009495
-63.16666711	-0.00009669
-63.13333378	-0.00010244
-63.10000045	-0.00010240
-63.06666711	-0.00010533
-63.03333378	-0.00009273
-63.00000045	-0.00009325
-62.96666711	-0.00010869
-62.93333378	-0.00010013
-62.90000045	-0.00008721
-62.86666711	-0.00007648
-62.83333378	-0.00007195
-62.80000045	-0.00005200
-62.76666711	-0.00003015
-62.73333378	-0.00003945
-62.70000045	-0.00001834
-62.66666711	0.00002031
-62.63333378	0.00003340
-62.60000044	0.00005499
-62.56666711	0.00006405
-62.53333378	0.00008357
-62.50000044	0.00008267
-62.46666711	0.00009893
-62.43333378	0.00009655
-62.40000044	0.00010120
-62.36666711	0.00014917
-62.33333378	0.00017612
-62.30000044	0.00018566
-62.26666711	0.00024761
-62.23333378	0.00024845
-62.20000044	0.00026164
-62.16666711	0.00034241
-62.13333378	0.00034879
-62.10000044	0.00036487
-62.06666711	0.00043310
-62.03333377	0.00043379
-62.00000044	0.00048927
-61.96666711	0.00049048
-61.93333377	0.00051795
-61.90000044	0.00052827
-61.86666711	0.00057504
-61.83333377	0.00058210
-61.80000044	0.00065116
-61.76666711	0.00067733
-61.73333377	0.00068969
-61.70000044	0.00070520
-61.66666711	0.00076111
-61.63333377	0.00081597
-61.60000044	0.00082204
-61.56666711	0.00083064
-61.53333377	0.00088532
-61.50000044	0.00091752
-61.46666710	0.00094412
-61.43333377	0.00094873
-61.40000044	0.00103891
-61.36666710	0.00105186
-61.33333377	0.00104156
-61.30000044	0.00106311
-61.26666710	0.00112270
-61.23333377	0.00113055
-61.20000044	0.00110552
-61.16666710	0.00118392
-61.13333377	0.00117151
-61.10000044	0.00120814
-61.06666710	0.00124375
-61.03333377	0.00127638
-61.00000044	0.00120262
-60.96666710	0.00123884
-60.93333377	0.00125198
-60.90000043	0.00127201
-60.86666710	0.00129995
-60.83333377	0.00126417
-60.80000043	0.00126167
-60.76666710	0.00126949
-60.73333377	0.00125427
-60.70000043	0.00130456
-60.66666710	0.00126571
-60.63333377	0.00121959
-60.60000043	0.00118261
-60.56666710	0.00110920
-60.53333377	0.00117392
-60.50000043	0.00114787
-60.46666710	0.00108246
-60.43333377	0.00108804
-60.40000043	0.00104135
-60.36666710	0.00095959
-60.33333376	0.00088585
-60.30000043	0.00084361
-60.26666710	0.00086751
-60.23333376	0.00082025
-60.20000043	0.00079683
-60.16666710	0.00067078
-60.13333376	0.00068599
-60.10000043	0.00062362
-60.06666710	0.00053037
-60.03333376	0.00051205
-60.00000043	0.00036496
-59.96666710	0.00028609
-59.93333376	0.00026902
-59.90000043	0.00012500
-59.86666710	0.00009224
-59.83333376	0.00000613
-59.80000043	-0.00007307
-59.76666709	-0.00015147
-59.73333376	-0.00022286
-59.70000043	-0.00041287
-59.66666709	-0.00046358
-59.63333376	-0.00062910
-59.60000043	-0.00065974
-59.56666709	-0.00070514
-59.53333376	-0.00079719
-59.50000043	-0.00087096
-59.46666709	-0.00094102
-59.43333376	-0.00109041
-59.40000043	-0.00124854
-59.36666709	-0.00120087
-59.33333376	-0.00125588
-59.30000043	-0.00136156
-59.26666709	-0.00132914
-59.23333376	-0.00133646
-59.20000042	-0.00139490
-59.16666709	-0.00149516
-59.13333376	-0.00152000
-59.10000042	-0.00146771
-59.06666709	-0.00154444
-59.03333376	-0.00151794
-59.00000042	-0.00158794
-58.96666709	-0.00162569
-58.93333376	-0.00161117
-58.90000042	-0.00158652
-58.86666709	-0.00166753
-58.83333376	-0.00159445
-58.80000042	-0.00154541
-58.76666709	-0.00165638
-58.73333376	-0.00161396
-58.70000042	-0.00168212
-58.66666709	-0.00168451
-58.63333376	-0.00166515
-58.60000042	-0.00164199
-58.56666709	-0.00159448
-58.53333375	-0.00160478
-58.50000042	-0.00150803
-58.46666709	-0.00155572
-58.43333375	-0.00144356
-58.40000042	-0.00147980
-58.36666709	-0.00151291
-58.33333375	-0.00139519
-58.30000042	-0.00131526
-58.26666709	-0.00121027
-58.23333375	-0.00130026
-58.20000042	-0.00125208
-58.16666709	-0.00123025
-58.13333375	-0.00124685
-58.10000042	-0.00123899
-58.06666709	-0.00126674
-58.03333375	-0.00125638
-58.00000042	-0.00125012
-57.96666708	-0.00115945
-57.93333375	-0.00121157
-57.90000042	-0.00116406
-57.86666708	-0.00102841
-57.83333375	-0.00109460
-57.80000042	-0.00108277
-57.76666708	-0.00111215
-57.73333375	-0.00106672
-57.70000042	-0.00107649
-57.66666708	-0.00115161
-57.63333375	-0.00094551
-57.60000042	-0.00096886
-57.56666708	-0.00090944
-57.53333375	-0.00088955
-57.50000042	-0.00095225
-57.46666708	-0.00079958
-57.43333375	-0.00076645
-57.40000041	-0.00089815
-57.36666708	-0.00082193
-57.33333375	-0.00076715
-57.30000041	-0.00070043
-57.26666708	-0.00065705
-57.23333375	-0.00054643
-57.20000041	-0.00059884
-57.16666708	-0.00056505
-57.13333375	-0.00055984
-57.10000041	-0.00048426
-57.06666708	-0.00044953
-57.03333375	-0.00040424
-57.00000041	-0.00035000
-56.96666708	-0.00029476
-56.93333375	-0.00024323
-56.90000041	-0.00028403
-56.86666708	-0.00025152
-56.83333374	-0.00023055
-56.80000041	-0.00019775
-56.76666708	-0.00001820
-56.73333374	-0.00006147
-56.70000041	-0.00005615
-56.66666708	0.00012117
-56.63333374	0.00006813
-56.60000041	0.00008335
-56.56666708	0.00007606
-56.53333374	0.00010084
-56.50000041	0.00019832
-56.46666708	0.00020009
-56.43333374	0.00022334
-56.40000041	0.00020411
-56.36666708	0.00024653
-56.33333374	0.00017728
-56.30000041	0.00010313
-56.26666707	0.00018948
-56.23333374	0.00013592
-56.20000041	0.00017672
-56.16666707	0.00011590
-56.13333374	0.00011282
-56.10000041	0.00015738
-56.06666707	0.00018352
-56.03333374	0.00013091
-56.00000041	0.00010838
-55.96666707	0.00003236
-55.93333374	0.00019995
-55.90000041	0.00009992
-55.86666707	0.00013717
-55.83333374	0.00016005
-55.80000041	0.00011545
-55.76666707	0.00027665
-55.73333374	0.00007483
-55.70000040	0.00011804
-55.66666707	0.00013239
-55.63333374	0.00012366
-55.60000040	0.00010500
-55.56666707	0.00012025
-55.53333374	0.00011558
-55.50000040	0.00013073
-55.46666707	0.00012976
-55.43333374	0.00009067
-55.40000040	0.00010994
-55.36666707	0.00014308
-55.33333374	0.00007732
-55.30000040	0.00009095
-55.26666707	0.00020590
-55.23333374	-0.00001091
-55.20000040	-0.00003566
-55.16666707	-0.00006380
-55.13333373	-0.00010449
-55.10000040	-0.00001596
-55.06666707	-0.00002785
-55.03333373	-0.00003835
-55.00000040	0.00004688
-54.96666707	-0.00005907
-54.93333373	0.00001457
-54.90000040	0.00003409
-54.86666707	0.00008434
-54.83333373	0.00009024
-54.80000040	0.00009809
-54.76666707	0.00017931
-54.73333373	0.00028783
-54.70000040	0.00021173
-54.66666707	0.00008059
-54.63333373	0.00014282
-54.60000040	0.00020822
-54.56666706	0.00019991
-54.53333373	0.00032348
-54.50000040	0.00027275
-54.46666706	0.00023134
-54.43333373	0.00020228
-54.40000040	0.00020045
-54.36666706	0.00021086
-54.33333373	0.00036215
-54.30000040	0.00039185
-54.26666706	0.00031251
-54.23333373	0.00035188
-54.20000040	0.00030789
-54.16666706	0.00053305
-54.13333373	0.00055195
-54.10000040	0.00063219
-54.06666706	0.00057994
-54.03333373	0.00068434
-54.00000040	0.00071647
-53.96666706	0.00080846
-53.93333373	0.00072412
-53.90000039	0.00083006
-53.86666706	0.00083357
-53.83333373	0.00096007
-53.80000039	0.00097705
-53.76666706	0.00092212
-53.73333373	0.00111282
-53.70000039	0.00104802
-53.66666706	0.00109852
-53.63333373	0.00109110
-53.60000039	0.00122211
-53.56666706	0.00122326
-53.53333373	0.00121103
-53.50000039	0.00125496
-53.46666706	0.00120886
-53.43333373	0.00134426
-53.40000039	0.00136116
-53.36666706	0.00151132
-53.33333372	0.00148839
-53.30000039	0.00149586
-53.26666706	0.00154410
-53.23333372	0.00165917
-53.20000039	0.00157135
-53.16666706	0.00161734
-53.13333372	0.00174872
-53.10000039	0.00187840
-53.06666706	0.00186620
-53.03333372	0.00203511
-53.00000039	0.00205762
-52.96666706	0.00199448
-52.93333372	0.00210143
-52.90000039	0.00201584
-52.86666706	0.00215238
-52.83333372	0.00213477
-52.80000039	0.00217947
-52.76666705	0.00217071
-52.73333372	0.00207595
-52.70000039	0.00199038
-52.66666705	0.00205687
-52.63333372	0.00187795
-52.60000039	0.00180682
-52.56666705	0.00169365
-52.53333372	0.00162320
-52.50000039	0.00134596
-52.46666705	0.00122933
-52.43333372	0.00107563
-52.40000039	0.00088131
-52.36666705	0.00068738
-52.33333372	0.00048188
-52.30000039	0.00014411
-52.26666705	-0.00013008
-52.23333372	-0.00047961
-52.20000038	-0.00067174
-52.16666705	-0.00087265
-52.13333372	-0.00124892
-52.10000038	-0.00153556
-52.06666705	-0.00180364
-52.03333372	-0.00204829
-52.00000038	-0.00230789
-51.96666705	-0.00258813
-51.93333372	-0.00292302
-51.90000038	-0.00336434
-51.86666705	-0.00346894
-51.83333372	-0.00377855
-51.80000038	-0.00397253
-51.76666705	-0.00407903
-51.73333372	-0.00431062
-51.70000038	-0.00436196
-51.66666705	-0.00437994
-51.63333371	-0.00449989
-51.60000038	-0.00450505
-51.56666705	-0.00438982
-51.53333371	-0.00444537
-51.50000038	-0.00447399
-51.46666705	-0.00421555
-51.43333371	-0.00397222
-51.40000038	-0.00377016
-51.36666705	-0.00350591
-51.33333371	-0.00328363
-51.30000038	-0.00304751
-51.26666705	-0.00275327
-51.23333371	-0.00245282
-51.20000038	-0.00207493
-51.16666705	-0.00180182
-51.13333371	-0.00155329
-51.10000038	-0.00110256
-51.06666704	-0.00087220
-51.03333371	-0.00043184
-51.00000038	-0.00015585
-50.96666704	0.00001229
-50.93333371	0.00030573
-50.90000038	0.00054551
-50.86666704	0.00069081
-50.83333371	0.00100802
-50.80000038	0.00120714
-50.76666704	0.00148413
-50.73333371	0.00157574
