# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T18:34:41
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-28.83352872
0.00732601	-24.53262361
0.01465201	-16.97261454
0.02197802	-15.69455733
0.02930403	-22.06600707
0.03663004	-21.02638117
0.04395604	-13.75051926
0.05128205	-10.39995189
0.05860806	-12.10479289
0.06593407	-11.11663929
0.07326007	-5.82563267
0.08058608	-7.20309869
0.08791209	-19.34136627
0.09523809	-7.06838253
0.10256410	-6.07425600
0.10989011	-15.77225509
0.11721612	-7.74205120
0.12454212	-4.50060002
0.13186813	-8.38437176
0.13919414	-9.06519096
0.14652015	-6.08878010
0.15384615	-9.20603476
0.16117216	-11.51215055
0.16849817	-6.95065913
0.17582417	-7.03287774
0.18315018	-12.62621875
0.19047619	-6.76272465
0.19780220	-4.10459184
0.20512820	-7.77986833
0.21245421	-6.09658232
0.21978022	-1.85929240
0.22710623	-2.69636745
0.23443223	-4.73606761
0.24175824	-1.66382806
0.24908425	-1.00629664
0.25641025	-3.44852093
0.26373626	-2.08284525
0.27106227	-0.06042927
0.27838828	-1.08025972
0.28571428	-1.96045847
0.29304029	-0.23955597
0.30036630	0.00000000
0.30769231	-1.65303044
0.31501831	-1.32734063
0.32234432	-0.21563749
0.32967033	-1.28612559
0.33699633	-2.33086000
0.34432234	-2.31965381
0.35164835	-3.67738983
0.35897436	-4.70723336
0.36630036	-4.80767557
0.37362637	-5.61192922
0.38095238	-6.38479689
0.38827839	-7.04463410
0.39560439	-7.62874839
0.40293040	-8.61584647
0.41025641	-10.02259364
0.41758241	-10.51348878
0.42490842	-10.51417312
0.43223443	-11.45316870
0.43956044	-13.44036017
0.44688644	-13.11953569
0.45421245	-13.17943961
0.46153846	-16.18050979
0.46886447	-16.41055583
0.47619047	-16.32372890
0.48351648	-18.95842191
0.49084249	-19.20066727
0.49816849	-21.48533342
0.50549450	-25.88400458
0.51282051	-23.55310721
0.52014652	-23.83045745
0.52747252	-21.70133859
0.53479853	-20.42852237
0.54212454	-21.29575680
0.54945055	-23.02977517
0.55677655	-25.65775719
0.56410256	-26.65109689
0.57142857	-25.70845519
0.57875457	-27.86385078
0.58608058	-30.40695931
0.59340659	-22.20056486
0.60073260	-21.27600647
0.60805860	-20.53224192
0.61538461	-17.39554468
0.62271062	-17.15474728
0.63003663	-16.29426096
0.63736263	-15.03425614
0.64468864	-16.02329047
0.65201465	-16.61960133
0.65934065	-16.25842560
0.66666666	-16.46424030
0.67399267	-16.65747863
0.68131868	-16.96696287
0.68864468	-17.28116837
0.69597069	-17.93399386
0.70329670	-18.01098379
0.71062271	-17.84799042
0.71794871	-18.19709801
0.72527472	-18.43513489
0.73260073	-18.67635120
0.73992673	-18.81955262
0.74725274	-20.51886809
0.75457875	-21.65412021
0.76190476	-19.22540146
0.76923076	-18.80459055
0.77655677	-19.26544683
