# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:07:42
# Time [ps]	THz Signal [a.u.]
-65.06666582	0.00000000
-65.03333248	0.00000002
-64.99999915	0.00000007
-64.96666582	0.00000015
-64.93333248	0.00000028
-64.89999915	0.00000044
-64.86666582	0.00000034
-64.83333248	0.00000065
-64.79999915	0.00000092
-64.76666582	0.00000100
-64.73333249	0.00000083
-64.69999915	0.00000101
-64.66666582	0.00000105
-64.63333249	0.00000035
-64.59999915	0.00000018
-64.56666582	-0.00000014
-64.53333249	-0.00000009
-64.49999915	-0.00000149
-64.46666582	-0.00000276
-64.43333249	-0.00000213
-64.39999916	-0.00000444
-64.36666582	-0.00000668
-64.33333249	-0.00000735
-64.29999916	-0.00000807
-64.26666582	-0.00000864
-64.23333249	-0.00001144
-64.19999916	-0.00001491
-64.16666582	-0.00001016
-64.13333249	-0.00001360
-64.09999916	-0.00001443
-64.06666583	-0.00001403
-64.03333249	-0.00001768
-63.99999916	-0.00001814
-63.96666583	-0.00002337
-63.93333249	-0.00002177
-63.89999916	-0.00002441
-63.86666583	-0.00002645
-63.83333249	-0.00002515
-63.79999916	-0.00002589
-63.76666583	-0.00003448
-63.73333250	-0.00003252
-63.69999916	-0.00003477
-63.66666583	-0.00003921
-63.63333250	-0.00004515
-63.59999916	-0.00004239
-63.56666583	-0.00004195
-63.53333250	-0.00004636
-63.49999917	-0.00005057
-63.46666583	-0.00004870
-63.43333250	-0.00005948
-63.39999917	-0.00005338
-63.36666583	-0.00006129
-63.33333250	-0.00004096
-63.29999917	-0.00005475
-63.26666583	-0.00004855
-63.23333250	-0.00003968
-63.19999917	-0.00004933
-63.16666584	-0.00005586
-63.13333250	-0.00005974
-63.09999917	-0.00004424
-63.06666584	-0.00006048
-63.03333250	-0.00004890
-62.99999917	-0.00004700
-62.96666584	-0.00004897
-62.93333250	-0.00004064
-62.89999917	-0.00002382
-62.86666584	-0.00002689
-62.83333251	-0.00001323
-62.79999917	-0.00001779
-62.76666584	0.00000011
-62.73333251	0.00002215
-62.69999917	-0.00000569
-62.66666584	0.00002730
-62.63333251	0.00004837
-62.59999917	0.00005986
-62.56666584	0.00005393
-62.53333251	0.00009168
-62.49999918	0.00009763
-62.46666584	0.00014527
-62.43333251	0.00016010
-62.39999918	0.00015301
-62.36666584	0.00016204
-62.33333251	0.00020370
-62.29999918	0.00019717
-62.26666584	0.00024073
-62.23333251	0.00026815
-62.19999918	0.00030945
-62.16666585	0.00032743
-62.13333251	0.00035426
-62.09999918	0.00036798
-62.06666585	0.00041986
-62.03333251	0.00043129
-61.99999918	0.00044145
-61.96666585	0.00048590
-61.93333252	0.00054876
-61.89999918	0.00056861
-61.86666585	0.00061726
-61.83333252	0.00061763
-61.79999918	0.00066906
-61.76666585	0.00071093
-61.73333252	0.00075469
-61.69999918	0.00074603
-61.66666585	0.00080771
-61.63333252	0.00082354
-61.59999919	0.00090340
-61.56666585	0.00090995
-61.53333252	0.00096650
-61.49999919	0.00103044
-61.46666585	0.00101608
-61.43333252	0.00104885
-61.39999919	0.00112333
-61.36666585	0.00111362
-61.33333252	0.00114336
-61.29999919	0.00117705
-61.26666586	0.00120540
-61.23333252	0.00126231
-61.19999919	0.00123045
-61.16666586	0.00124906
-61.13333252	0.00126828
-61.09999919	0.00128408
-61.06666586	0.00128212
-61.03333252	0.00137120
-60.99999919	0.00134425
-60.96666586	0.00127124
-60.93333253	0.00131872
-60.89999919	0.00123812
-60.86666586	0.00129142
-60.83333253	0.00134164
-60.79999919	0.00136117
-60.76666586	0.00127710
-60.73333253	0.00121939
-60.69999919	0.00123907
-60.66666586	0.00119817
-60.63333253	0.00120789
-60.59999920	0.00122331
-60.56666586	0.00112545
-60.53333253	0.00113267
-60.49999920	0.00104745
-60.46666586	0.00100376
-60.43333253	0.00092952
-60.39999920	0.00087835
-60.36666587	0.00081619
-60.33333253	0.00071653
-60.29999920	0.00066335
-60.26666587	0.00065609
-60.23333253	0.00060232
-60.19999920	0.00050330
-60.16666587	0.00041434
-60.13333253	0.00032199
-60.09999920	0.00024407
-60.06666587	0.00013427
-60.03333254	0.00006164
-59.99999920	0.00004532
-59.96666587	-0.00010442
-59.93333254	-0.00007303
-59.89999920	-0.00025503
-59.86666587	-0.00034968
-59.83333254	-0.00042414
-59.79999920	-0.00051562
-59.76666587	-0.00059429
-59.73333254	-0.00064512
-59.69999921	-0.00069460
-59.66666587	-0.00085451
-59.63333254	-0.00094386
-59.59999921	-0.00103497
-59.56666587	-0.00111445
-59.53333254	-0.00119483
-59.49999921	-0.00135052
-59.46666587	-0.00141648
-59.43333254	-0.00145327
-59.39999921	-0.00149604
-59.36666588	-0.00156988
-59.33333254	-0.00163897
-59.29999921	-0.00164482
-59.26666588	-0.00170726
-59.23333254	-0.00171347
-59.19999921	-0.00171756
-59.16666588	-0.00168860
-59.13333254	-0.00181060
-59.09999921	-0.00180474
-59.06666588	-0.00168615
-59.03333255	-0.00169909
-58.99999921	-0.00176698
-58.96666588	-0.00175534
-58.93333255	-0.00176786
-58.89999921	-0.00181334
-58.86666588	-0.00175027
-58.83333255	-0.00174280
-58.79999922	-0.00169723
-58.76666588	-0.00166020
-58.73333255	-0.00165593
-58.69999922	-0.00167906
-58.66666588	-0.00171442
-58.63333255	-0.00154006
-58.59999922	-0.00150469
-58.56666588	-0.00148221
-58.53333255	-0.00153929
-58.49999922	-0.00136889
-58.46666589	-0.00133753
-58.43333255	-0.00132414
-58.39999922	-0.00132742
-58.36666589	-0.00116005
-58.33333255	-0.00118787
-58.29999922	-0.00123939
-58.26666589	-0.00122275
-58.23333255	-0.00111159
-58.19999922	-0.00121223
-58.16666589	-0.00105655
-58.13333256	-0.00116582
-58.09999922	-0.00111115
-58.06666589	-0.00112389
-58.03333256	-0.00106031
-57.99999922	-0.00102431
-57.96666589	-0.00097077
-57.93333256	-0.00107770
-57.89999922	-0.00098608
-57.86666589	-0.00100906
-57.83333256	-0.00100154
-57.79999923	-0.00096767
-57.76666589	-0.00104448
-57.73333256	-0.00110779
-57.69999923	-0.00108644
-57.66666589	-0.00096279
-57.63333256	-0.00100439
-57.59999923	-0.00099930
-57.56666589	-0.00097733
-57.53333256	-0.00109108
-57.49999923	-0.00102262
-57.46666590	-0.00108676
-57.43333256	-0.00103697
-57.39999923	-0.00107124
-57.36666590	-0.00101274
-57.33333256	-0.00096581
