# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:10:12
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-46.13635280
0.00732601	-24.28747687
0.01465201	-17.01313536
0.02197802	-15.47234415
0.02930403	-21.36579115
0.03663004	-19.88889169
0.04395604	-11.53384555
0.05128205	-7.77937664
0.05860806	-9.07277668
0.06593407	-8.32980921
0.07326007	-3.14988074
0.08058608	-4.78962669
0.08791209	-17.04040310
0.09523810	-3.89998928
0.10256410	-3.32803486
0.10989011	-12.25073365
0.11721612	-5.75611947
0.12454213	-2.42162813
0.13186813	-4.79494684
0.13919414	-5.91702026
0.14652015	-3.53138110
0.15384616	-5.37432751
0.16117216	-9.10930549
0.16849817	-4.81679931
0.17582418	-4.90251022
0.18315018	-11.10367329
0.19047619	-6.24985939
0.19780220	-3.71203109
0.20512821	-6.73395397
0.21245421	-6.42727044
0.21978022	-2.49458052
0.22710623	-3.29465009
0.23443224	-4.97612423
0.24175824	-1.69433046
0.24908425	-1.60602755
0.25641026	-2.95274047
0.26373627	-0.50942192
0.27106227	0.00000000
0.27838828	-1.57554569
0.28571429	-1.23916239
0.29304030	-0.81230114
0.30036630	-2.04794785
0.30769231	-2.53874969
0.31501832	-2.32318645
0.32234433	-3.22740839
0.32967033	-3.56796055
0.33699634	-4.19987321
0.34432235	-6.90190770
0.35164835	-8.23166019
0.35897436	-9.43293467
0.36630037	-11.45192947
0.37362638	-9.97590531
0.38095238	-10.11685529
0.38827839	-10.42229565
0.39560440	-11.03132510
0.40293041	-14.29174665
0.41025641	-18.21832793
0.41758242	-19.99938429
0.42490843	-19.42496000
0.43223444	-16.44965703
0.43956044	-13.38777369
0.44688645	-12.62687049
0.45421246	-11.83559433
0.46153847	-10.44109382
0.46886447	-10.01107786
0.47619048	-9.55883341
0.48351649	-8.32873039
0.49084250	-7.45505018
0.49816850	-7.14048607
0.50549451	-5.81000158
0.51282052	-4.86053546
0.52014652	-4.59700466
0.52747253	-3.97141719
0.53479854	-3.73364161
0.54212455	-3.38110877
0.54945055	-4.33086462
0.55677656	-8.24330771
0.56410257	-5.29726762
0.57142858	-2.57947002
0.57875458	-2.93776657
0.58608059	-2.88870765
0.59340660	-2.22409676
0.60073261	-2.49195000
0.60805861	-2.49436925
0.61538462	-2.30018128
0.62271063	-2.69663784
0.63003664	-2.67804833
0.63736264	-2.63002832
0.64468865	-3.19974431
0.65201466	-3.39595007
