f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	29.9119	
0.109863	31.2682	
0.117188	32.6645	
0.124512	34.1088	
0.131836	35.5936	
0.13916	37.0808	
0.146485	38.5025	
0.153809	39.7756	
0.161133	40.8225	
0.168457	41.5929	
0.175781	42.0774	
0.183106	42.3083	
0.19043	42.3479	
0.197754	42.2703	
0.205078	42.144	
0.212403	42.0216	
0.219727	41.9371	
0.227051	41.9091	
0.234375	41.9489	
0.241699	42.0672	
0.249024	42.2782	
0.256348	42.5972	
0.263672	43.0338	
0.270996	43.5841	
0.278321	44.2256	
0.285645	44.9167	
0.292969	45.6024	
0.300293	46.2224	
0.307617	46.7202	
0.314942	47.0519	
0.322266	47.1926	
0.32959	47.1408	
0.336914	46.9178	
0.344239	46.5648	
0.351563	46.1365	
0.358887	45.6955	
0.366211	45.3059	
0.373536	45.0275	
0.38086	44.9099	
0.388184	44.9868	
0.395508	45.2735	
0.402832	45.7648	
0.410157	46.4372	
0.417481	47.2514	
0.424805	48.1577	
0.432129	49.1021	
0.439454	50.034	
0.446778	50.9127	
0.454102	51.7107	
0.461426	52.4118	
0.46875	53.0073	
0.476075	53.4914	
0.483399	53.8617	
0.490723	54.1207	
0.498047	54.2791	
0.505372	54.3574	
0.512696	54.3824	
0.52002	54.381	
0.527344	54.3706	
0.534669	54.3483	
0.541993	54.2822	
0.549317	54.1159	
0.556641	53.8035	
0.563965	53.365	
0.57129	52.8941	
0.578614	52.4963	
0.585938	52.2303	
0.593262	52.1043	
0.600587	52.0997	
0.607911	52.1905	
0.615235	52.3523	
0.622559	52.5661	
0.629883	52.8185	
0.637208	53.1019	
0.644532	53.4137	
0.651856	53.7547	
0.65918	54.1278	
0.666505	54.5359	
0.673829	54.9811	
0.681153	55.4641	
0.688477	55.9851	
0.695801	56.5454	
0.703126	57.1493	
0.71045	57.8062	
0.717774	58.531	
0.725098	59.3427	
0.732423	60.2591	
0.739747	61.2858	
0.747071	62.4025	
0.754395	63.5545	
0.76172	64.6625	
0.769044	65.6571	
0.776368	66.5103	
0.783692	67.2405	
0.791016	67.8888	
0.798341	68.4941	
0.805665	69.0799	
0.812989	69.653	
0.820313	70.2089	
0.827638	70.7391	
0.834962	71.2402	
0.842286	71.7181	
0.84961	72.1877	
0.856934	72.6667	
0.864259	73.1676	
0.871583	73.6911	
0.878907	74.2229	
0.886231	74.734	
0.893556	75.1869	
0.90088	75.5459	
0.908204	75.7922	
0.915528	75.9345	
0.922852	76.0107	
0.930177	76.0768	
0.937501	76.1913	
0.944825	76.4029	
0.952149	76.7454	
0.959474	77.2382	
0.966798	77.887	
0.974122	78.6822	
0.981446	79.5945	
0.988771	80.5725	
0.996095	81.5487	
1.00342	82.4566	
1.01074	83.2508	
1.01807	83.9176	
1.02539	84.4729	
1.03272	84.9541	
1.04004	85.4127	
1.04736	85.91	
1.05469	86.5145	
1.06201	87.3021	
1.06934	88.3615	
1.07666	89.8109	
1.08399	91.834	
1.09131	94.7329	
1.09863	98.8957	
