f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	30.1305	
0.109863	32.4437	
0.117188	34.9044	
0.124512	37.503	
0.131836	40.1764	
0.13916	42.7963	
0.146485	45.1744	
0.153809	47.0965	
0.161133	48.3894	
0.168457	48.9968	
0.175781	49.0072	
0.183106	48.6053	
0.19043	47.9925	
0.197754	47.331	
0.205078	46.7271	
0.212403	46.2367	
0.219727	45.8788	
0.227051	45.6493	
0.234375	45.5324	
0.241699	45.51	
0.249024	45.5694	
0.256348	45.7076	
0.263672	45.9311	
0.270996	46.251	
0.278321	46.6751	
0.285645	47.2026	
0.292969	47.8215	
0.300293	48.5116	
0.307617	49.2482	
0.314942	50.007	
0.322266	50.7673	
0.32959	51.5157	
0.336914	52.2482	
0.344239	52.9721	
0.351563	53.7048	
0.358887	54.4716	
0.366211	55.3007	
0.373536	56.2179	
0.38086	57.2424	
0.388184	58.3839	
0.395508	59.6423	
0.402832	61.0089	
0.410157	62.4689	
0.417481	64.0032	
0.424805	65.5904	
0.432129	67.2089	
0.439454	68.8393	
0.446778	70.4669	
0.454102	72.0814	
0.461426	73.6742	
0.46875	75.2308	
0.476075	76.7225	
0.483399	78.1008	
0.490723	79.301	
0.498047	80.2594	
0.505372	80.9382	
0.512696	81.3439	
0.52002	81.5257	
0.527344	81.555	
0.534669	81.4961	
0.541993	81.3771	
0.549317	81.1711	
0.556641	80.8116	
0.563965	80.2567	
0.57129	79.5483	
0.578614	78.7845	
0.585938	78.049	
0.593262	77.384	
0.600587	76.8058	
0.607911	76.3248	
0.615235	75.9546	
0.622559	75.7112	
0.629883	75.6092	
0.637208	75.6581	
0.644532	75.8621	
0.651856	76.2226	
0.65918	76.7402	
0.666505	77.4164	
0.673829	78.2515	
0.681153	79.2413	
0.688477	80.3747	
0.695801	81.633	
0.703126	82.9934	
0.71045	84.4343	
0.717774	85.9405	
0.725098	87.5057	
0.732423	89.1299	
0.739747	90.8074	
0.747071	92.5107	
0.754395	94.1805	
0.76172	95.7424	
0.769044	97.1507	
0.776368	98.4223	
0.783692	99.6231	
0.791016	100.824	
0.798341	102.061	
0.805665	103.331	
0.812989	104.592	
0.820313	105.794	
0.827638	106.91	
0.834962	107.957	
0.842286	109	
0.84961	110.117	
0.856934	111.345	
0.864259	112.618	
0.871583	113.712	
0.878907	114.276	
0.886231	114.021	
0.893556	112.968	
0.90088	111.447	
0.908204	109.859	
0.915528	108.5	
0.922852	107.537	
0.930177	107.055	
0.937501	107.094	
0.944825	107.674	
0.952149	108.81	
0.959474	110.508	
0.966798	112.73	
0.974122	115.341	
0.981446	118.022	
0.988771	120.307	
0.996095	121.896	
1.00342	122.956	
1.01074	123.927	
1.01807	125.063	
1.02539	126.189	
1.03272	126.731	
1.04004	126.111	
1.04736	124.344	
1.05469	122.013	
1.06201	119.726	
1.06934	117.883	
1.07666	116.775	
1.08399	116.771	
1.09131	118.555	
1.09863	123.472	
