f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	18.4865	
0.109863	20.9163	
0.117188	23.4921	
0.124512	26.1722	
0.131836	28.8924	
0.13916	31.5546	
0.146485	34.0189	
0.153809	36.1112	
0.161133	37.6608	
0.168457	38.5656	
0.175781	38.8446	
0.183106	38.629	
0.19043	38.0977	
0.197754	37.4134	
0.205078	36.6908	
0.212403	35.993	
0.219727	35.3425	
0.227051	34.7368	
0.234375	34.1646	
0.241699	33.6191	
0.249024	33.1069	
0.256348	32.6479	
0.263672	32.2708	
0.270996	32.0032	
0.278321	31.8642	
0.285645	31.8605	
0.292969	31.9878	
0.300293	32.2332	
0.307617	32.5801	
0.314942	33.0104	
0.322266	33.5072	
0.32959	34.0564	
0.336914	34.6479	
0.344239	35.2771	
0.351563	35.9441	
0.358887	36.6538	
0.366211	37.4139	
0.373536	38.2325	
0.38086	39.1165	
0.388184	40.0703	
0.395508	41.095	
0.402832	42.1877	
0.410157	43.3403	
0.417481	44.5388	
0.424805	45.7611	
0.432129	46.9779	
0.439454	48.1547	
0.446778	49.2559	
0.454102	50.2496	
0.461426	51.1099	
0.46875	51.8185	
0.476075	52.3658	
0.483399	52.7512	
0.490723	52.9842	
0.498047	53.0824	
0.505372	53.0682	
0.512696	52.9625	
0.52002	52.779	
0.527344	52.521	
0.534669	52.1818	
0.541993	51.7526	
0.549317	51.2414	
0.556641	50.6925	
0.563965	50.1836	
0.57129	49.7866	
0.578614	49.5321	
0.585938	49.4129	
0.593262	49.41	
0.600587	49.5105	
0.607911	49.7108	
0.615235	50.0115	
0.622559	50.4117	
0.629883	50.904	
0.637208	51.4741	
0.644532	52.1036	
0.651856	52.774	
0.65918	53.4708	
0.666505	54.1854	
0.673829	54.9143	
0.681153	55.6571	
0.688477	56.4152	
0.695801	57.1909	
0.703126	57.9885	
0.71045	58.8161	
0.717774	59.6868	
0.725098	60.6185	
0.732423	61.6303	
0.739747	62.7339	
0.747071	63.9196	
0.754395	65.144	
0.76172	66.3342	
0.769044	67.4153	
0.776368	68.3445	
0.783692	69.121	
0.791016	69.768	
0.798341	70.3076	
0.805665	70.7485	
0.812989	71.0885	
0.820313	71.3242	
0.827638	71.4628	
0.834962	71.5271	
0.842286	71.5506	
0.84961	71.5656	
0.856934	71.5921	
0.864259	71.6326	
0.871583	71.6777	
0.878907	71.7158	
0.886231	71.7446	
0.893556	71.7777	
0.90088	71.8429	
0.908204	71.9738	
0.915528	72.1996	
0.922852	72.537	
0.930177	72.9877	
0.937501	73.5412	
0.944825	74.1819	
0.952149	74.8949	
0.959474	75.6711	
0.966798	76.5048	
0.974122	77.3883	
0.981446	78.3016	
0.988771	79.204	
0.996095	80.0337	
1.00342	80.7206	
1.01074	81.2085	
1.01807	81.4747	
1.02539	81.5359	
1.03272	81.4391	
1.04004	81.2469	
1.04736	81.0248	
1.05469	80.8352	
1.06201	80.738	
1.06934	80.7981	
1.07666	81.1038	
1.08399	81.8001	
1.09131	83.1345	
1.09863	85.4283	
