f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0.102539	16.5434	
0.109863	20.1477	
0.117188	23.6674	
0.124512	26.9348	
0.131836	29.8098	
0.13916	32.2112	
0.146485	34.1271	
0.153809	35.5992	
0.161133	36.6913	
0.168457	37.4597	
0.175781	37.9373	
0.183106	38.1312	
0.19043	38.0306	
0.197754	37.6196	
0.205078	36.8905	
0.212403	35.8544	
0.219727	34.5449	
0.227051	33.0162	
0.234375	31.3382	
0.241699	29.593	
0.249024	27.872	
0.256348	26.2701	
0.263672	24.8761	
0.270996	23.7592	
0.278321	22.959	
0.285645	22.4826	
0.292969	22.3104	
0.300293	22.4066	
0.307617	22.7299	
0.314942	23.2419	
0.322266	23.9103	
0.32959	24.7095	
0.336914	25.6186	
0.344239	26.6191	
0.351563	27.6931	
0.358887	28.8221	
0.366211	29.9874	
0.373536	31.172	
0.38086	32.3644	
0.388184	33.5636	
0.395508	34.7838	
0.402832	36.0532	
0.410157	37.408	
0.417481	38.8799	
0.424805	40.4834	
0.432129	42.2062	
0.439454	44.0072	
0.446778	45.82	
0.454102	47.5602	
0.461426	49.1316	
0.46875	50.4337	
0.476075	51.3702	
0.483399	51.8639	
0.490723	51.8737	
0.498047	51.4049	
0.505372	50.5045	
0.512696	49.2401	
0.52002	47.6759	
0.527344	45.857	
0.534669	43.8163	
0.541993	41.6088	
0.549317	39.3634	
0.556641	37.3033	
0.563965	35.6756	
0.57129	34.6206	
0.578614	34.1142	
0.585938	34.0326	
0.593262	34.2469	
0.600587	34.669	
0.607911	35.2516	
0.615235	35.9709	
0.622559	36.8099	
0.629883	37.7488	
0.637208	38.7636	
0.644532	39.8302	
0.651856	40.9308	
0.65918	42.0572	
0.666505	43.21	
0.673829	44.3935	
0.681153	45.6113	
0.688477	46.8623	
0.695801	48.1419	
0.703126	49.4449	
0.71045	50.77	
0.717774	52.122	
0.725098	53.5074	
0.732423	54.9257	
0.739747	56.3535	
0.747071	57.7319	
0.754395	58.9713	
0.76172	59.9845	
0.769044	60.7318	
0.776368	61.2375	
0.783692	61.5671	
0.791016	61.7884	
0.798341	61.9492	
0.805665	62.0734	
0.812989	62.1678	
0.820313	62.2314	
0.827638	62.2619	
0.834962	62.2599	
0.842286	62.2285	
0.84961	62.1718	
0.856934	62.0935	
0.864259	61.9971	
0.871583	61.8894	
0.878907	61.7839	
0.886231	61.7031	
0.893556	61.6782	
0.90088	61.7451	
0.908204	61.9378	
0.915528	62.2816	
0.922852	62.7879	
0.930177	63.4531	
0.937501	64.2623	
0.944825	65.1955	
0.952149	66.2346	
0.959474	67.3659	
0.966798	68.5781	
0.974122	69.8564	
0.981446	71.1741	
0.988771	72.4916	
0.996095	73.7647	
1.00342	74.9606	
1.01074	76.0697	
1.01807	77.1038	
1.02539	78.085	
1.03272	79.0336	
1.04004	79.9634	
1.04736	80.8832	
1.05469	81.8042	
1.06201	82.7492	
1.06934	83.7634	
1.07666	84.9289	
1.08399	86.3766	
1.09131	88.2579	
1.09863	90.5372	
