# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-02T15:03:56
# Time [ps]	THz Signal [a.u.]
-65.06666596	0.00000000
-65.03333262	0.00000002
-64.99999929	0.00000005
-64.96666596	0.00000015
-64.93333262	0.00000019
-64.89999929	0.00000035
-64.86666596	0.00000062
-64.83333262	0.00000061
-64.79999929	0.00000082
-64.76666596	0.00000087
-64.73333263	0.00000093
-64.69999929	0.00000061
-64.66666596	0.00000020
-64.63333263	0.00000076
-64.59999929	0.00000022
-64.56666596	0.00000038
-64.53333263	-0.00000011
-64.49999929	-0.00000012
-64.46666596	-0.00000148
-64.43333263	-0.00000261
-64.39999929	-0.00000342
-64.36666596	-0.00000326
-64.33333263	-0.00000649
-64.29999930	-0.00000770
-64.26666596	-0.00000834
-64.23333263	-0.00001175
-64.19999930	-0.00001327
-64.16666596	-0.00001197
-64.13333263	-0.00001401
-64.09999930	-0.00001643
-64.06666596	-0.00002214
-64.03333263	-0.00002058
-63.99999930	-0.00002259
-63.96666597	-0.00002369
-63.93333263	-0.00002736
-63.89999930	-0.00003243
-63.86666597	-0.00002944
-63.83333263	-0.00002980
-63.79999930	-0.00003348
-63.76666597	-0.00002976
-63.73333263	-0.00004221
-63.69999930	-0.00003932
-63.66666597	-0.00004107
-63.63333263	-0.00003974
-63.59999930	-0.00003303
-63.56666597	-0.00004194
-63.53333264	-0.00005326
-63.49999930	-0.00004831
-63.46666597	-0.00004903
-63.43333264	-0.00004671
-63.39999930	-0.00005306
-63.36666597	-0.00004137
-63.33333264	-0.00004127
-63.29999930	-0.00003634
-63.26666597	-0.00003017
-63.23333264	-0.00003610
-63.19999931	-0.00003798
-63.16666597	-0.00004779
-63.13333264	-0.00004493
-63.09999931	-0.00003516
-63.06666597	-0.00002615
-63.03333264	-0.00002602
-62.99999931	-0.00002588
-62.96666597	-0.00002835
-62.93333264	-0.00001177
-62.89999931	-0.00002371
-62.86666598	-0.00003046
-62.83333264	-0.00002329
-62.79999931	-0.00001214
-62.76666598	-0.00003118
-62.73333264	-0.00000029
-62.69999931	0.00000099
-62.66666598	0.00000145
-62.63333264	0.00002496
-62.59999931	0.00003539
-62.56666598	0.00003819
-62.53333264	0.00003918
-62.49999931	0.00002855
-62.46666598	0.00003815
-62.43333265	0.00002635
-62.39999931	0.00007050
-62.36666598	0.00007331
-62.33333265	0.00005990
-62.29999931	0.00010949
-62.26666598	0.00009187
-62.23333265	0.00008128
-62.19999931	0.00010464
-62.16666598	0.00008573
-62.13333265	0.00013966
-62.09999932	0.00015344
-62.06666598	0.00017540
-62.03333265	0.00012792
-61.99999932	0.00016025
-61.96666598	0.00016401
-61.93333265	0.00018885
-61.89999932	0.00021239
-61.86666598	0.00024437
-61.83333265	0.00029976
-61.79999932	0.00029669
-61.76666598	0.00027452
-61.73333265	0.00031045
-61.69999932	0.00031051
-61.66666599	0.00037839
-61.63333265	0.00039994
-61.59999932	0.00041831
-61.56666599	0.00047226
-61.53333265	0.00048740
-61.49999932	0.00052239
-61.46666599	0.00053666
-61.43333265	0.00056074
-61.39999932	0.00065330
-61.36666599	0.00069665
-61.33333266	0.00072443
-61.29999932	0.00070556
-61.26666599	0.00073815
-61.23333266	0.00084793
-61.19999932	0.00080910
-61.16666599	0.00092383
-61.13333266	0.00094501
-61.09999932	0.00097807
-61.06666599	0.00099143
-61.03333266	0.00106055
-60.99999933	0.00107760
-60.96666599	0.00110556
-60.93333266	0.00113282
-60.89999933	0.00112568
-60.86666599	0.00115055
-60.83333266	0.00126008
-60.79999933	0.00119064
-60.76666599	0.00118413
-60.73333266	0.00117769
-60.69999933	0.00121874
-60.66666599	0.00120963
-60.63333266	0.00122066
-60.59999933	0.00127829
-60.56666600	0.00120655
-60.53333266	0.00116767
-60.49999933	0.00115037
-60.46666600	0.00113931
-60.43333266	0.00107885
-60.39999933	0.00097960
-60.36666600	0.00094682
-60.33333266	0.00089924
-60.29999933	0.00082840
-60.26666600	0.00079086
-60.23333267	0.00066912
-60.19999933	0.00058265
-60.16666600	0.00043802
-60.13333267	0.00041467
-60.09999933	0.00028803
-60.06666600	0.00026997
-60.03333267	0.00010615
-59.99999933	-0.00000297
-59.96666600	-0.00007172
-59.93333267	-0.00025756
-59.89999933	-0.00029197
-59.86666600	-0.00038013
-59.83333267	-0.00049786
-59.79999934	-0.00059503
-59.76666600	-0.00070187
-59.73333267	-0.00090446
-59.69999934	-0.00102498
-59.66666600	-0.00103661
-59.63333267	-0.00118655
-59.59999934	-0.00121896
-59.56666600	-0.00151288
-59.53333267	-0.00155664
-59.49999934	-0.00156168
-59.46666601	-0.00165716
-59.43333267	-0.00171760
-59.39999934	-0.00175743
-59.36666601	-0.00181443
-59.33333267	-0.00193013
-59.29999934	-0.00187578
-59.26666601	-0.00193577
-59.23333267	-0.00196557
-59.19999934	-0.00202981
-59.16666601	-0.00196110
-59.13333267	-0.00192541
-59.09999934	-0.00192144
-59.06666601	-0.00194298
-59.03333268	-0.00203375
-58.99999934	-0.00192836
-58.96666601	-0.00190018
-58.93333268	-0.00198951
-58.89999934	-0.00187941
-58.86666601	-0.00174084
-58.83333268	-0.00176882
-58.79999934	-0.00176309
-58.76666601	-0.00171871
-58.73333268	-0.00161517
-58.69999935	-0.00163490
-58.66666601	-0.00154324
-58.63333268	-0.00148670
-58.59999935	-0.00149537
-58.56666601	-0.00148024
-58.53333268	-0.00131468
-58.49999935	-0.00121010
-58.46666601	-0.00122855
-58.43333268	-0.00117471
-58.39999935	-0.00105513
-58.36666602	-0.00111828
-58.33333268	-0.00102759
-58.29999935	-0.00095792
-58.26666602	-0.00089435
-58.23333268	-0.00091361
-58.19999935	-0.00088294
-58.16666602	-0.00078107
-58.13333268	-0.00075456
-58.09999935	-0.00069538
-58.06666602	-0.00083642
-58.03333268	-0.00079738
-57.99999935	-0.00083597
-57.96666602	-0.00075685
-57.93333269	-0.00065935
-57.89999935	-0.00068241
-57.86666602	-0.00067418
-57.83333269	-0.00071215
