# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-02T15:03:56
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-24.69297446
0.00732601	-26.84168527
0.01465201	-26.31653253
0.02197802	-25.70606107
0.02930403	-35.39169582
0.03663004	-28.65607081
0.04395604	-22.61231299
0.05128205	-17.54629624
0.05860806	-18.38269273
0.06593407	-18.72569074
0.07326007	-13.00414773
0.08058608	-14.33363996
0.08791209	-26.56093477
0.09523810	-11.49817998
0.10256410	-9.99721618
0.10989011	-17.37520454
0.11721612	-10.04512339
0.12454213	-6.29618821
0.13186813	-9.09141237
0.13919414	-9.08593210
0.14652015	-4.88021243
0.15384616	-5.81516009
0.16117216	-6.05999547
0.16849817	-2.77515880
0.17582418	-3.16707703
0.18315018	-6.03553323
0.19047619	-4.19580715
0.19780220	-3.03625017
0.20512821	-4.68268394
0.21245421	-5.26951605
0.21978022	-3.79793023
0.22710623	-3.66635997
0.23443224	-4.46052049
0.24175824	-4.39057011
0.24908425	-3.78599529
0.25641026	-3.89651130
0.26373627	-4.11089165
0.27106227	-3.18962048
0.27838828	-2.55693469
0.28571429	-2.84382313
0.29304030	-2.44187976
0.30036630	-1.37794464
0.30769231	-1.30914143
0.31501832	-1.56400577
0.32234433	-0.51087737
0.32967033	0.00000000
0.33699634	-0.79392776
0.34432235	-0.89955819
0.35164835	-0.52621820
0.35897436	-0.97089567
0.36630037	-1.27590708
0.37362638	-1.45171358
0.38095238	-1.84795715
0.38827839	-1.85465228
0.39560440	-2.04853228
0.40293041	-2.49285351
0.41025641	-2.46920279
0.41758242	-2.42405069
0.42490843	-2.54534125
0.43223444	-2.49538379
0.43956044	-2.56558099
0.44688645	-2.55286109
0.45421246	-2.21140664
0.46153847	-2.15812615
0.46886447	-2.20113196
0.47619048	-2.13833656
0.48351649	-2.15752855
0.49084250	-2.32793667
0.49816850	-2.86923827
0.50549451	-2.98100101
0.51282052	-3.07884117
0.52014652	-3.87271655
0.52747253	-4.33065997
0.53479854	-4.79107430
0.54212455	-5.15628256
0.54945055	-6.89574182
0.55677656	-12.69367449
0.56410257	-8.61906848
0.57142858	-5.88517570
0.57875458	-6.30620430
0.58608059	-6.11778298
0.59340660	-5.71193854
0.60073261	-5.88358476
0.60805861	-5.69636945
0.61538462	-5.47864634
0.62271063	-5.69576751
0.63003664	-5.40009682
0.63736264	-5.09418385
0.64468865	-5.41182782
0.65201466	-5.30527549
0.65934067	-5.36198757
0.66666667	-5.66597846
0.67399268	-5.71767679
0.68131869	-6.06233370
0.68864469	-6.25401640
0.69597070	-6.52828100
0.70329671	-7.06360541
0.71062272	-7.34515188
0.71794872	-7.58277803
0.72527473	-8.07865552
0.73260074	-8.42815635
0.73992675	-8.63994517
0.74725275	-11.15385850
0.75457876	-13.69920015
0.76190477	-10.37584479
0.76923078	-9.76081725
0.77655678	-10.28454986
0.78388279	-10.25555006
0.79120880	-10.75726890
0.79853481	-10.97718435
0.80586081	-11.39095745
0.81318682	-11.84990196
0.82051283	-12.05438407
0.82783884	-12.59736845
0.83516484	-12.82075885
0.84249085	-13.22650728
0.84981686	-13.66578821
0.85714286	-13.93528095
0.86446887	-14.45447061
0.87179488	-14.61947000
0.87912089	-14.91017394
0.88644689	-15.32547684
0.89377290	-15.50490707
0.90109891	-15.86427373
0.90842492	-16.17563111
0.91575092	-16.43823815
0.92307693	-16.72401350
0.93040294	-16.70721979
0.93772895	-16.80482325
0.94505495	-17.23771592
0.95238096	-17.21128061
0.95970697	-17.50350271
0.96703298	-18.18798474
0.97435898	-18.04285035
0.98168499	-19.46751907
0.98901100	-21.88383132
0.99633701	-19.99988774
1.00366301	-19.16094936
1.01098902	-19.53225794
1.01831503	-19.76034877
1.02564103	-20.13764417
1.03296704	-20.37195092
1.04029305	-20.90469798
1.04761906	-21.31629898
1.05494506	-21.73790123
1.06227107	-22.29562104
1.06959708	-22.66049471
1.07692309	-23.54579066
1.08424909	-24.73682983
1.09157510	-29.14380420
1.09890111	-45.38928364
1.10622712	-31.66273412
1.11355312	-32.85467522
1.12087913	-28.81052368
1.12820514	-26.36771448
1.13553115	-27.00778242
1.14285715	-27.62675516
1.15018316	-30.43871995
1.15750917	-37.87055452
1.16483518	-71.99386235
1.17216118	-34.41506139
1.17948719	-29.52572875
1.18681320	-29.71877121
1.19413920	-29.69469118
1.20146521	-30.97186423
1.20879122	-39.10534108
1.21611723	-32.59506374
1.22344323	-32.52984982
1.23076924	-38.43649989
1.23809525	-32.56258738
1.24542126	-31.53924387
1.25274726	-31.91738856
1.26007327	-31.74129719
1.26739928	-32.43020689
1.27472529	-32.46667576
1.28205129	-32.98104573
1.28937730	-33.33407663
1.29670331	-33.63131193
1.30402932	-34.26393707
1.31135532	-34.15685376
1.31868133	-35.23797584
1.32600734	-35.82880051
1.33333335	-35.39307344
1.34065935	-35.96538263
1.34798536	-36.13511486
1.35531137	-36.51646511
1.36263737	-37.04256843
1.36996338	-37.29864115
1.37728939	-37.98509658
1.38461540	-38.44983638
1.39194140	-39.08366886
1.39926741	-40.62360566
1.40659342	-45.40846709
1.41391943	-63.61925598
1.42124543	-44.97663883
1.42857144	-42.58362580
1.43589745	-42.38208481
1.44322346	-42.36494963
1.45054946	-42.76322872
1.45787547	-43.07585860
1.46520148	-43.49138613
1.47252749	-43.84750315
1.47985349	-44.22115098
1.48717950	-44.65801007
1.49450551	-44.79953008
1.50183152	-45.20667931
1.50915752	-45.47557547
1.51648353	-45.75890859
1.52380954	-46.40328934
1.53113554	-46.76379277
1.53846155	-47.39274532
1.54578756	-47.80236123
1.55311357	-47.82645160
1.56043957	-48.58510502
1.56776558	-49.03339680
1.57509159	-49.24227570
1.58241760	-49.84209414
1.58974360	-50.29513130
1.59706961	-52.99184416
1.60439562	-58.37365671
1.61172163	-53.76878370
1.61904763	-51.81480371
1.62637364	-52.50000222
1.63369965	-52.92590709
1.64102566	-53.35986218
1.64835166	-56.35290416
1.65567767	-64.97718739
1.66300368	-71.72272212
1.67032969	-68.09854495
1.67765569	-71.35389147
1.68498170	-73.19162358
1.69230771	-63.36312741
1.69963371	-60.35676870
1.70695972	-63.19571933
1.71428573	-73.73092516
1.72161174	-70.37208060
1.72893774	-68.28780082
1.73626375	-65.75813830
1.74358976	-65.45385440
1.75091577	-65.72845992
1.75824177	-67.12519694
1.76556778	-70.88241244
1.77289379	-68.96010050
1.78021980	-66.80955537
1.78754580	-67.22627874
1.79487181	-70.43126519
1.80219782	-87.39825175
1.80952383	-72.54132122
1.81684983	-71.27178024
1.82417584	-73.30135322
1.83150185	-70.40188610
1.83882786	-70.30688724
1.84615386	-69.53161819
1.85347987	-67.86190341
1.86080588	-68.71096169
1.86813188	-71.22503838
1.87545789	-74.32422037
1.88278390	-72.14726153
1.89010991	-72.87751862
1.89743591	-77.42391433
1.90476192	-73.50300634
1.91208793	-73.98797186
1.91941394	-79.94077887
1.92673994	-82.21155307
1.93406595	-75.89834742
1.94139196	-73.05741651
1.94871797	-74.35603590
1.95604397	-75.18571134
1.96336998	-74.94185551
1.97069599	-77.96359658
1.97802200	-80.16168755
1.98534800	-84.32863985
1.99267401	-83.45003462
2.00000002	-81.77785165
2.00732603	-83.07899808
2.01465203	-77.13098067
2.02197804	-79.50066594
2.02930405	-81.58423172
2.03663005	-81.66857501
2.04395606	-81.61412563
2.05128207	-87.13795305
2.05860808	-88.50093230
2.06593408	-81.43563282
2.07326009	-76.47984174
2.08058610	-76.81974093
2.08791211	-82.48872500
2.09523811	-90.71982114
2.10256412	-95.09396085
2.10989013	-83.38476559
2.11721614	-81.78837979
2.12454214	-81.47378601
2.13186815	-81.15853390
2.13919416	-82.79451605
2.14652017	-79.84660661
2.15384617	-78.90277377
2.16117218	-83.33006046
2.16849819	-90.89488302
2.17582420	-83.13758425
2.18315020	-78.41068797
2.19047621	-80.99931107
2.19780222	-81.07597861
2.20512822	-82.79028096
2.21245423	-85.55007197
2.21978024	-79.78323204
2.22710625	-87.43048617
2.23443225	-83.24547101
2.24175826	-87.93494526
2.24908427	-82.97588212
2.25641028	-86.29509037
2.26373628	-114.74179615
2.27106229	-89.07678678
2.27838830	-87.25263716
2.28571431	-86.69804860
2.29304031	-83.15667502
2.30036632	-86.23725820
2.30769233	-86.08417798
2.31501834	-81.97661048
2.32234434	-83.16518375
2.32967035	-91.02635985
2.33699636	-90.51414756
2.34432237	-88.37765033
2.35164837	-88.45676381
2.35897438	-88.10967339
2.36630039	-84.89506871
2.37362639	-97.08641507
2.38095240	-81.29007037
2.38827841	-79.19690885
2.39560442	-84.11111342
2.40293042	-90.87901626
2.41025643	-85.31854282
2.41758244	-87.69215878
2.42490845	-85.34875142
2.43223445	-83.07581052
2.43956046	-78.96109557
2.44688647	-79.93558708
2.45421248	-82.92949284
2.46153848	-83.82260258
2.46886449	-85.07197096
2.47619050	-82.08357540
2.48351651	-77.94670093
2.49084251	-78.91680624
