# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T11:34:53
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-11.55209434
0.00732601	-11.78928846
0.01465201	-3.98754933
0.02197802	-3.83252253
0.02930403	-13.62206532
0.03663004	-13.28128741
0.04395604	-9.37526541
0.05128205	-6.07707002
0.05860806	-6.12359363
0.06593407	-4.54917391
0.07326007	-1.31759738
0.08058608	-2.88879175
0.08791209	-11.28425198
0.09523810	-5.07164848
0.10256410	-2.30556899
0.10989011	-5.50956086
0.11721612	-7.22236381
0.12454213	-1.47593036
0.13186813	-2.15526054
0.13919414	-6.06800291
0.14652015	-3.43535329
0.15384616	-3.21353214
0.16117216	-5.58798415
0.16849817	-6.49272238
0.17582418	-2.95699366
0.18315019	-2.75579872
0.19047619	-7.78853729
0.19780220	-1.74140415
0.20512821	0.00000000
0.21245421	-5.37993491
0.21978022	-5.03018122
0.22710623	-0.67909289
0.23443224	-2.55605140
0.24175824	-6.75837880
0.24908425	-1.74480282
0.25641026	-1.07215504
0.26373627	-4.02244741
0.27106227	-3.43519752
0.27838828	-1.91611215
0.28571429	-2.78580211
0.29304030	-4.20413289
0.30036630	-2.49944126
0.30769231	-1.61637605
0.31501832	-3.95566297
0.32234433	-3.56473494
0.32967033	-1.99257930
0.33699634	-3.88901542
0.34432235	-2.99737968
0.35164836	-1.27369017
0.35897436	-2.62929285
0.36630037	-2.55609384
0.37362638	-1.42556768
0.38095238	-2.52586655
0.38827839	-2.87216054
0.39560440	-2.69159619
0.40293041	-4.12769107
0.41025641	-4.66588831
0.41758242	-4.73168527
0.42490843	-5.94145703
0.43223444	-5.81396793
0.43956044	-6.13753998
0.44688645	-7.33717139
0.45421246	-6.69296089
0.46153847	-7.13453532
0.46886447	-8.38700932
0.47619048	-8.16004684
0.48351649	-8.14199884
0.49084250	-8.67260092
0.49816850	-9.17845419
0.50549451	-9.08911496
0.51282052	-9.42210599
0.52014653	-10.20877546
0.52747253	-10.11263037
0.53479854	-10.77483017
0.54212455	-11.55146057
0.54945056	-13.16619291
0.55677656	-19.74348708
0.56410257	-14.30356279
0.57142858	-11.05937710
0.57875458	-11.48879026
0.58608059	-11.09533455
0.59340660	-10.85236744
0.60073261	-11.54315615
0.60805861	-11.07435533
0.61538462	-11.12490902
0.62271063	-11.76357888
0.63003664	-11.17901302
0.63736264	-11.17118225
0.64468865	-11.97571998
0.65201466	-11.87798795
0.65934067	-11.93319409
0.66666667	-12.82958029
0.67399268	-13.45415953
0.68131869	-13.61653028
0.68864470	-14.06501736
0.69597070	-14.82412114
0.70329671	-15.58227074
0.71062272	-16.42360453
0.71794873	-17.11125630
0.72527473	-17.66586231
0.73260074	-18.24893056
0.73992675	-19.14517988
0.74725276	-22.55641793
0.75457876	-25.91004531
0.76190477	-22.47305443
0.76923078	-22.41022094
0.77655678	-23.62711368
0.78388279	-23.89538098
0.79120880	-24.81606320
0.79853481	-25.19622522
0.80586081	-25.78836576
0.81318682	-26.87458486
0.82051283	-27.42587864
0.82783884	-28.27982885
0.83516484	-28.72585233
0.84249085	-29.09878301
0.84981686	-29.81698986
0.85714287	-30.30441100
0.86446887	-31.27855844
0.87179488	-32.28033047
0.87912089	-32.99615845
0.88644690	-34.29967645
0.89377290	-34.29813451
0.90109891	-34.08541893
0.90842492	-35.01380228
0.91575093	-34.75475259
0.92307693	-34.70189027
0.93040294	-35.43029771
0.93772895	-34.91308895
0.94505495	-34.71494380
0.95238096	-35.25294682
0.95970697	-35.18484743
0.96703298	-35.60998202
0.97435898	-37.38228981
0.98168499	-40.17118171
0.98901100	-43.26536559
0.99633701	-42.91670986
1.00366301	-40.53088434
1.01098902	-40.38776674
1.01831503	-42.88768342
1.02564104	-42.43504559
1.03296704	-40.90061224
1.04029305	-43.62286110
1.04761906	-45.26621456
1.05494507	-43.45508819
1.06227107	-47.44296907
1.06959708	-48.03279166
1.07692309	-43.51763360
1.08424910	-45.89200163
1.09157510	-55.24997221
1.09890111	-53.69150384
1.10622712	-60.81386775
1.11355313	-52.34192506
1.12087913	-52.74444644
1.12820514	-55.13555447
1.13553115	-54.23900322
1.14285715	-54.23479870
1.15018316	-60.90943440
1.15750917	-61.25698990
1.16483518	-61.07501222
1.17216118	-60.48639683
1.17948719	-56.37996565
1.18681320	-57.95460219
1.19413921	-57.13747626
1.20146521	-54.65198454
1.20879122	-65.21420442
1.21611723	-57.45630484
1.22344324	-57.12189869
1.23076924	-61.22160323
1.23809525	-57.99783953
1.24542126	-66.71000090
1.25274727	-62.59625322
1.26007327	-58.01685412
1.26739928	-66.75159849
1.27472529	-58.99478602
1.28205130	-60.05368516
1.28937730	-61.19734541
1.29670331	-53.34799033
1.30402932	-53.84284220
1.31135533	-57.83436924
1.31868133	-58.15393184
1.32600734	-65.85937135
1.33333335	-57.92709574
1.34065935	-63.39790333
1.34798536	-61.35168218
1.35531137	-62.70710855
1.36263738	-59.74734358
1.36996338	-60.45641127
1.37728939	-54.99072671
1.38461540	-64.57249954
1.39194141	-57.39404481
1.39926741	-62.16458727
1.40659342	-60.87087345
1.41391943	-55.87775073
1.42124544	-58.84884482
1.42857144	-62.89519342
1.43589745	-65.88090778
1.44322346	-60.71641463
1.45054947	-59.97308860
1.45787547	-63.73523756
1.46520148	-63.90246197
1.47252749	-58.32522090
1.47985350	-60.98919972
1.48717950	-59.80235921
1.49450551	-54.78041168
1.50183152	-58.26677685
1.50915753	-72.71034651
1.51648353	-60.38999485
1.52380954	-66.01797375
1.53113555	-66.76958696
1.53846155	-60.82662754
1.54578756	-61.22593474
1.55311357	-62.27783377
1.56043958	-55.19123236
1.56776558	-55.92873086
1.57509159	-63.94075590
1.58241760	-61.48206343
1.58974361	-58.57703276
1.59706961	-51.31556638
1.60439562	-53.35526611
1.61172163	-55.45899925
1.61904764	-54.41552738
1.62637364	-67.33766260
1.63369965	-62.85614954
1.64102566	-63.22347599
1.64835167	-61.52481595
1.65567767	-65.02985058
1.66300368	-62.45823794
1.67032969	-67.79803870
1.67765570	-63.28926162
1.68498170	-59.63360182
1.69230771	-65.90512546
1.69963372	-59.76528935
1.70695972	-56.38266259
1.71428573	-58.41956789
1.72161174	-58.59543724
1.72893775	-59.75369314
1.73626375	-64.67375560
1.74358976	-66.54614530
1.75091577	-63.82906380
1.75824178	-67.02497153
1.76556778	-58.29194987
1.77289379	-61.31335574
1.78021980	-67.17928737
1.78754581	-63.56336559
1.79487181	-60.45655443
1.80219782	-62.00524360
1.80952383	-62.52330327
1.81684984	-68.92382568
1.82417584	-58.77059548
1.83150185	-66.34312142
1.83882786	-63.64945444
1.84615387	-61.80554477
1.85347987	-59.99888885
1.86080588	-56.20051837
1.86813189	-58.08275940
1.87545790	-65.46085251
1.88278390	-62.68975062
1.89010991	-64.67425868
1.89743592	-68.47418808
1.90476192	-61.22970344
1.91208793	-58.75331334
1.91941394	-62.11028736
1.92673995	-71.59968652
1.93406595	-77.21018349
1.94139196	-67.54386241
1.94871797	-60.32706835
1.95604398	-61.71799153
1.96336998	-64.50926827
