# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T11:39:16
# Time [ps]	THz Signal [a.u.]
-65.06666590	0.00000000
-65.03333257	0.00000002
-64.99999924	0.00000006
-64.96666590	0.00000015
-64.93333257	0.00000029
-64.89999924	0.00000030
-64.86666590	0.00000037
-64.83333257	0.00000045
-64.79999924	0.00000045
-64.76666591	0.00000042
-64.73333257	0.00000043
-64.69999924	0.00000031
-64.66666591	0.00000065
-64.63333257	-0.00000009
-64.59999924	0.00000056
-64.56666591	0.00000044
-64.53333257	0.00000036
-64.49999924	-0.00000122
-64.46666591	-0.00000003
-64.43333258	-0.00000161
-64.39999924	-0.00000351
-64.36666591	-0.00000468
-64.33333258	-0.00000487
-64.29999924	-0.00000531
-64.26666591	-0.00000759
-64.23333258	-0.00000971
-64.19999924	-0.00001097
-64.16666591	-0.00001391
-64.13333258	-0.00001292
-64.09999925	-0.00001429
-64.06666591	-0.00001411
-64.03333258	-0.00002210
-63.99999925	-0.00002179
-63.96666591	-0.00002299
-63.93333258	-0.00001978
-63.89999925	-0.00002596
-63.86666591	-0.00002494
-63.83333258	-0.00003178
-63.79999925	-0.00003641
-63.76666592	-0.00004190
-63.73333258	-0.00004329
-63.69999925	-0.00004789
-63.66666592	-0.00005502
-63.63333258	-0.00005277
-63.59999925	-0.00005468
-63.56666592	-0.00006425
-63.53333258	-0.00006650
-63.49999925	-0.00007446
-63.46666592	-0.00008389
-63.43333259	-0.00008752
-63.39999925	-0.00008848
-63.36666592	-0.00008436
-63.33333259	-0.00009015
-63.29999925	-0.00010251
-63.26666592	-0.00009339
-63.23333259	-0.00009193
-63.19999925	-0.00009059
-63.16666592	-0.00011082
-63.13333259	-0.00010620
-63.09999926	-0.00009247
-63.06666592	-0.00008704
-63.03333259	-0.00008983
-62.99999926	-0.00009336
-62.96666592	-0.00008256
-62.93333259	-0.00007648
-62.89999926	-0.00006553
-62.86666592	-0.00008605
-62.83333259	-0.00006397
-62.79999926	-0.00007612
-62.76666592	-0.00006496
-62.73333259	-0.00004595
-62.69999926	-0.00002482
-62.66666593	-0.00000893
-62.63333259	0.00000570
-62.59999926	0.00001946
-62.56666593	0.00002192
-62.53333259	0.00006448
-62.49999926	0.00007333
-62.46666593	0.00008357
-62.43333259	0.00013212
-62.39999926	0.00013997
-62.36666593	0.00016412
-62.33333260	0.00017465
-62.29999926	0.00019320
-62.26666593	0.00021234
-62.23333260	0.00023041
-62.19999926	0.00027663
-62.16666593	0.00029810
-62.13333260	0.00033946
-62.09999926	0.00037356
-62.06666593	0.00035548
-62.03333260	0.00041483
-61.99999927	0.00044392
-61.96666593	0.00046546
-61.93333260	0.00055465
-61.89999927	0.00057469
-61.86666593	0.00062895
-61.83333260	0.00065135
-61.79999927	0.00070297
-61.76666593	0.00071505
-61.73333260	0.00079853
-61.69999927	0.00083027
-61.66666594	0.00086078
-61.63333260	0.00085659
-61.59999927	0.00091620
-61.56666594	0.00093144
-61.53333260	0.00098380
-61.49999927	0.00103144
-61.46666594	0.00101402
-61.43333260	0.00109255
-61.39999927	0.00116882
-61.36666594	0.00118471
-61.33333261	0.00124518
-61.29999927	0.00126684
-61.26666594	0.00135120
-61.23333261	0.00133537
-61.19999927	0.00140016
-61.16666594	0.00139974
-61.13333261	0.00143217
-61.09999927	0.00148038
-61.06666594	0.00152761
-61.03333261	0.00156040
-60.99999928	0.00160547
-60.96666594	0.00163177
-60.93333261	0.00163226
-60.89999928	0.00164204
-60.86666594	0.00160792
-60.83333261	0.00164448
-60.79999928	0.00165261
-60.76666594	0.00169961
-60.73333261	0.00171430
-60.69999928	0.00167379
-60.66666594	0.00160218
-60.63333261	0.00155087
-60.59999928	0.00152699
-60.56666595	0.00154523
-60.53333261	0.00147260
-60.49999928	0.00139728
-60.46666595	0.00136039
-60.43333261	0.00135398
-60.39999928	0.00126861
-60.36666595	0.00127889
-60.33333261	0.00118501
-60.29999928	0.00105794
-60.26666595	0.00100644
-60.23333262	0.00091032
-60.19999928	0.00080106
-60.16666595	0.00069704
-60.13333262	0.00059926
-60.09999928	0.00052105
-60.06666595	0.00043303
-60.03333262	0.00026565
-59.99999928	0.00015479
-59.96666595	-0.00003508
-59.93333262	-0.00001906
-59.89999929	-0.00021237
-59.86666595	-0.00037305
-59.83333262	-0.00050219
-59.79999929	-0.00056862
-59.76666595	-0.00067552
-59.73333262	-0.00079093
-59.69999929	-0.00097368
-59.66666595	-0.00110832
-59.63333262	-0.00112722
-59.59999929	-0.00131556
-59.56666596	-0.00143457
-59.53333262	-0.00146497
-59.49999929	-0.00156815
-59.46666596	-0.00162340
-59.43333262	-0.00174435
-59.39999929	-0.00179431
-59.36666596	-0.00187279
-59.33333262	-0.00192279
-59.29999929	-0.00204051
-59.26666596	-0.00191522
-59.23333263	-0.00192062
-59.19999929	-0.00204326
-59.16666596	-0.00205788
-59.13333263	-0.00209090
-59.09999929	-0.00198866
-59.06666596	-0.00201743
-59.03333263	-0.00202964
-58.99999929	-0.00201565
-58.96666596	-0.00198184
-58.93333263	-0.00191613
-58.89999930	-0.00191955
-58.86666596	-0.00190319
-58.83333263	-0.00180957
-58.79999930	-0.00179194
-58.76666596	-0.00173404
-58.73333263	-0.00159966
-58.69999930	-0.00148011
-58.66666596	-0.00151183
-58.63333263	-0.00159288
-58.59999930	-0.00153668
-58.56666597	-0.00139828
-58.53333263	-0.00136497
-58.49999930	-0.00139177
-58.46666597	-0.00128289
-58.43333263	-0.00127395
-58.39999930	-0.00128545
-58.36666597	-0.00121879
-58.33333263	-0.00118291
-58.29999930	-0.00123964
-58.26666597	-0.00117632
-58.23333263	-0.00122554
-58.19999930	-0.00118822
-58.16666597	-0.00118181
-58.13333264	-0.00120043
-58.09999930	-0.00113878
-58.06666597	-0.00117131
-58.03333264	-0.00113993
-57.99999930	-0.00114537
-57.96666597	-0.00122930
-57.93333264	-0.00110286
-57.89999930	-0.00117977
-57.86666597	-0.00113627
-57.83333264	-0.00118143
-57.79999931	-0.00111908
-57.76666597	-0.00106854
-57.73333264	-0.00106467
