# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-02T18:17:25
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-27.54896306
0.00732601	-17.95567389
0.01465201	-10.54323117
0.02197802	-9.41459928
0.02930403	-18.09311820
0.03663004	-12.83836410
0.04395604	-5.61297857
0.05128205	-2.31584806
0.05860806	-3.22727149
0.06593407	-3.98064210
0.07326007	0.00000000
0.08058608	-1.10779149
0.08791209	-11.53311274
0.09523810	-5.80278732
0.10256410	-3.29291705
0.10989011	-6.45715176
0.11721612	-8.69334291
0.12454213	-5.30448751
0.13186813	-5.63772977
0.13919414	-10.14087448
0.14652015	-8.85986136
0.15384616	-8.53956639
0.16117216	-12.68434184
0.16849817	-8.56625242
0.17582418	-6.68368756
0.18315018	-7.95909808
0.19047619	-7.71493705
0.19780220	-6.08958016
0.20512821	-5.24274341
0.21245421	-6.27103752
0.21978022	-6.93209841
0.22710623	-5.02117775
0.23443224	-4.64181003
0.24175824	-5.73573735
0.24908425	-5.27128559
0.25641026	-4.35051427
0.26373627	-4.29859650
0.27106227	-4.23563243
0.27838828	-3.52163229
0.28571429	-3.17127000
0.29304030	-3.62916671
0.30036630	-3.25480392
0.30769231	-2.87375528
0.31501832	-3.76334254
0.32234433	-3.72671676
0.32967033	-3.41084779
0.33699634	-4.88572867
0.34432235	-5.58774239
0.35164835	-4.72874553
0.35897436	-5.52283361
0.36630037	-6.68329517
0.37362638	-6.91572572
0.38095238	-7.87846675
0.38827839	-8.77465367
0.39560440	-9.38621960
0.40293041	-10.15787260
0.41025641	-10.56358134
0.41758242	-11.50877919
0.42490843	-12.41365752
0.43223444	-13.06571140
0.43956044	-14.67335783
0.44688645	-15.60141755
0.45421246	-15.74796095
0.46153847	-16.71717524
0.46886447	-17.21904053
0.47619048	-17.58570345
0.48351649	-18.81876593
0.49084250	-19.26032505
0.49816850	-20.16802476
0.50549451	-21.32316882
0.51282052	-20.51910195
0.52014652	-21.04677251
0.52747253	-22.10988229
0.53479854	-21.27552762
0.54212455	-21.19612817
0.54945055	-23.52090057
0.55677656	-29.42574399
0.56410257	-25.45649448
0.57142858	-21.85634646
0.57875458	-21.79959862
0.58608059	-21.62762476
0.59340660	-20.56649732
0.60073261	-20.35582684
0.60805861	-19.89116988
0.61538462	-19.26430311
0.62271063	-19.09135109
0.63003664	-18.73113219
0.63736264	-18.69837554
0.64468865	-18.95592075
0.65201466	-19.15915172
0.65934067	-19.91536795
0.66666667	-20.45522533
0.67399268	-20.72219009
0.68131869	-21.94815013
0.68864470	-22.87466794
0.69597070	-23.25317062
0.70329671	-24.51355472
0.71062272	-25.48667368
0.71794872	-26.23965409
0.72527473	-27.87738236
0.73260074	-28.98559668
0.73992675	-29.87657682
0.74725275	-32.71803708
0.75457876	-35.43024814
0.76190477	-33.37607363
0.76923078	-32.35844323
0.77655678	-32.68123031
0.78388279	-33.28104122
0.79120880	-34.80960252
0.79853481	-37.03915689
0.80586081	-37.24614242
0.81318682	-36.44885414
0.82051283	-36.98364147
0.82783884	-37.25667442
0.83516484	-37.50149925
0.84249085	-39.67995182
0.84981686	-39.49015211
