# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-02T17:13:26
# Time [ps]	THz Signal [a.u.]
-65.06666590	0.00000000
-65.03333257	0.00000002
-64.99999924	0.00000006
-64.96666590	0.00000017
-64.93333257	0.00000028
-64.89999924	0.00000035
-64.86666591	0.00000064
-64.83333257	0.00000079
-64.79999924	0.00000082
-64.76666591	0.00000106
-64.73333257	0.00000086
-64.69999924	0.00000111
-64.66666591	0.00000070
-64.63333257	0.00000079
-64.59999924	0.00000060
-64.56666591	0.00000081
-64.53333258	-0.00000066
-64.49999924	-0.00000081
-64.46666591	-0.00000209
-64.43333258	-0.00000286
-64.39999924	-0.00000344
-64.36666591	-0.00000522
-64.33333258	-0.00000592
-64.29999924	-0.00000843
-64.26666591	-0.00000897
-64.23333258	-0.00001411
-64.19999925	-0.00001483
-64.16666591	-0.00001724
-64.13333258	-0.00001732
-64.09999925	-0.00002027
-64.06666591	-0.00002733
-64.03333258	-0.00002769
-63.99999925	-0.00003022
-63.96666591	-0.00003099
-63.93333258	-0.00003603
-63.89999925	-0.00003715
-63.86666592	-0.00003800
-63.83333258	-0.00004530
-63.79999925	-0.00004867
-63.76666592	-0.00004676
-63.73333258	-0.00005529
-63.69999925	-0.00005945
-63.66666592	-0.00005532
-63.63333258	-0.00006263
-63.59999925	-0.00006234
-63.56666592	-0.00007112
-63.53333258	-0.00008027
-63.49999925	-0.00007231
-63.46666592	-0.00008444
-63.43333259	-0.00009450
-63.39999925	-0.00010113
-63.36666592	-0.00010412
-63.33333259	-0.00011994
-63.29999925	-0.00012684
-63.26666592	-0.00011773
-63.23333259	-0.00011912
-63.19999925	-0.00011835
-63.16666592	-0.00012892
-63.13333259	-0.00011325
-63.09999926	-0.00013005
-63.06666592	-0.00014573
-63.03333259	-0.00013881
-62.99999926	-0.00013750
-62.96666592	-0.00014798
-62.93333259	-0.00013489
-62.89999926	-0.00013276
-62.86666592	-0.00013879
-62.83333259	-0.00011334
-62.79999926	-0.00013329
-62.76666593	-0.00011842
-62.73333259	-0.00010729
-62.69999926	-0.00009496
-62.66666593	-0.00009612
-62.63333259	-0.00009064
-62.59999926	-0.00009407
-62.56666593	-0.00007194
-62.53333259	-0.00005667
-62.49999926	-0.00003677
-62.46666593	-0.00001738
-62.43333260	-0.00001322
-62.39999926	0.00000140
-62.36666593	0.00001243
-62.33333260	0.00005061
-62.29999926	0.00005546
-62.26666593	0.00005103
-62.23333260	0.00007158
-62.19999926	0.00009782
-62.16666593	0.00013583
-62.13333260	0.00017596
-62.09999927	0.00015262
-62.06666593	0.00017410
-62.03333260	0.00019570
-61.99999927	0.00023900
-61.96666593	0.00026391
-61.93333260	0.00031072
-61.89999927	0.00033079
-61.86666593	0.00034498
-61.83333260	0.00041014
-61.79999927	0.00046953
-61.76666594	0.00046575
-61.73333260	0.00051892
-61.69999927	0.00052065
-61.66666594	0.00052714
-61.63333260	0.00061417
-61.59999927	0.00061332
-61.56666594	0.00072770
-61.53333260	0.00069790
-61.49999927	0.00077307
-61.46666594	0.00076999
-61.43333261	0.00080796
-61.39999927	0.00085485
-61.36666594	0.00094006
-61.33333261	0.00092651
-61.29999927	0.00098825
-61.26666594	0.00102131
-61.23333261	0.00105843
-61.19999927	0.00108659
-61.16666594	0.00109276
-61.13333261	0.00113831
-61.09999927	0.00114790
-61.06666594	0.00114118
-61.03333261	0.00114475
-60.99999928	0.00117949
-60.96666594	0.00121644
-60.93333261	0.00118355
-60.89999928	0.00115852
-60.86666594	0.00120206
-60.83333261	0.00120942
-60.79999928	0.00120883
-60.76666594	0.00121508
-60.73333261	0.00124357
-60.69999928	0.00119319
-60.66666595	0.00117418
-60.63333261	0.00119647
-60.59999928	0.00118906
-60.56666595	0.00108386
-60.53333261	0.00112031
-60.49999928	0.00109374
-60.46666595	0.00103862
-60.43333261	0.00097217
-60.39999928	0.00090646
-60.36666595	0.00090735
-60.33333262	0.00087757
-60.29999928	0.00084012
-60.26666595	0.00073606
-60.23333262	0.00070493
-60.19999928	0.00059847
-60.16666595	0.00054179
-60.13333262	0.00048158
-60.09999928	0.00038057
-60.06666595	0.00025703
-60.03333262	0.00017904
-59.99999929	0.00011380
-59.96666595	0.00006134
-59.93333262	-0.00001630
-59.89999929	-0.00006935
-59.86666595	-0.00018712
-59.83333262	-0.00029595
-59.79999929	-0.00031276
-59.76666595	-0.00043250
-59.73333262	-0.00047915
-59.69999929	-0.00059060
-59.66666596	-0.00068228
-59.63333262	-0.00074254
-59.59999929	-0.00081487
-59.56666596	-0.00085614
-59.53333262	-0.00089874
-59.49999929	-0.00096908
-59.46666596	-0.00095927
-59.43333262	-0.00102296
-59.39999929	-0.00108328
-59.36666596	-0.00111007
-59.33333263	-0.00115370
-59.29999929	-0.00118090
-59.26666596	-0.00114154
-59.23333263	-0.00117904
-59.19999929	-0.00116819
-59.16666596	-0.00130113
-59.13333263	-0.00121029
-59.09999929	-0.00115534
-59.06666596	-0.00112881
-59.03333263	-0.00111830
-58.99999929	-0.00109779
-58.96666596	-0.00108129
-58.93333263	-0.00112187
-58.89999930	-0.00109990
-58.86666596	-0.00107889
-58.83333263	-0.00100322
-58.79999930	-0.00097182
-58.76666596	-0.00091137
-58.73333263	-0.00084571
-58.69999930	-0.00085508
-58.66666596	-0.00088423
-58.63333263	-0.00075169
-58.59999930	-0.00077082
-58.56666597	-0.00068751
-58.53333263	-0.00064527
-58.49999930	-0.00065450
-58.46666597	-0.00058059
-58.43333263	-0.00067243
-58.39999930	-0.00061800
-58.36666597	-0.00065049
-58.33333263	-0.00062479
-58.29999930	-0.00053181
-58.26666597	-0.00058203
-58.23333264	-0.00054842
-58.19999930	-0.00048550
-58.16666597	-0.00044506
-58.13333264	-0.00042495
-58.09999930	-0.00045186
-58.06666597	-0.00042489
-58.03333264	-0.00046612
-57.99999930	-0.00040653
-57.96666597	-0.00041756
-57.93333264	-0.00048763
-57.89999931	-0.00043386
-57.86666597	-0.00044686
-57.83333264	-0.00049674
-57.79999931	-0.00044166
-57.76666597	-0.00042934
-57.73333264	-0.00041391
