# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T14:03:27
# Time [ps]	THz Signal [a.u.]
-65.06666588	0.00000000
-65.03333254	0.00000002
-64.99999921	0.00000008
-64.96666588	0.00000017
-64.93333254	0.00000024
-64.89999921	0.00000039
-64.86666588	0.00000054
-64.83333254	0.00000075
-64.79999921	0.00000068
-64.76666588	0.00000106
-64.73333255	0.00000036
-64.69999921	0.00000057
-64.66666588	0.00000077
-64.63333255	0.00000057
-64.59999921	-0.00000022
-64.56666588	-0.00000038
-64.53333255	-0.00000085
-64.49999921	-0.00000241
-64.46666588	-0.00000251
-64.43333255	-0.00000290
-64.39999922	-0.00000478
-64.36666588	-0.00000523
-64.33333255	-0.00000500
-64.29999922	-0.00000473
-64.26666588	-0.00000858
-64.23333255	-0.00000982
-64.19999922	-0.00001126
-64.16666588	-0.00001273
-64.13333255	-0.00001650
-64.09999922	-0.00001565
-64.06666589	-0.00002135
-64.03333255	-0.00001653
-63.99999922	-0.00002781
-63.96666589	-0.00002636
-63.93333255	-0.00002850
-63.89999922	-0.00003077
-63.86666589	-0.00002915
-63.83333255	-0.00003931
-63.79999922	-0.00003586
-63.76666589	-0.00004664
-63.73333256	-0.00005174
-63.69999922	-0.00005431
-63.66666589	-0.00006315
-63.63333256	-0.00006033
-63.59999922	-0.00007385
-63.56666589	-0.00008177
-63.53333256	-0.00007331
-63.49999922	-0.00007705
-63.46666589	-0.00008233
-63.43333256	-0.00009484
-63.39999923	-0.00010115
-63.36666589	-0.00010095
-63.33333256	-0.00011033
-63.29999923	-0.00010049
-63.26666589	-0.00010151
-63.23333256	-0.00009944
-63.19999923	-0.00012154
-63.16666589	-0.00012553
-63.13333256	-0.00011752
-63.09999923	-0.00011818
-63.06666590	-0.00011696
-63.03333256	-0.00011699
-62.99999923	-0.00011408
-62.96666590	-0.00012176
-62.93333256	-0.00012604
-62.89999923	-0.00010857
-62.86666590	-0.00010844
-62.83333256	-0.00012419
-62.79999923	-0.00009974
-62.76666590	-0.00009910
-62.73333257	-0.00009790
-62.69999923	-0.00011119
-62.66666590	-0.00010157
-62.63333257	-0.00008386
-62.59999923	-0.00009425
-62.56666590	-0.00007129
-62.53333257	-0.00005578
-62.49999923	-0.00003980
-62.46666590	-0.00003090
-62.43333257	-0.00002993
-62.39999924	0.00000616
-62.36666590	0.00002601
-62.33333257	0.00002641
-62.29999924	0.00006693
-62.26666590	0.00006076
-62.23333257	0.00008157
-62.19999924	0.00007167
-62.16666590	0.00012447
-62.13333257	0.00013167
-62.09999924	0.00015327
-62.06666591	0.00015683
-62.03333257	0.00018211
-61.99999924	0.00021297
-61.96666591	0.00023970
-61.93333257	0.00028620
-61.89999924	0.00031132
-61.86666591	0.00035561
-61.83333257	0.00042502
-61.79999924	0.00042181
-61.76666591	0.00046065
-61.73333258	0.00047079
-61.69999924	0.00051883
-61.66666591	0.00055011
-61.63333258	0.00058521
-61.59999924	0.00059669
-61.56666591	0.00062529
-61.53333258	0.00065961
-61.49999924	0.00067051
-61.46666591	0.00069746
-61.43333258	0.00074394
-61.39999925	0.00079019
-61.36666591	0.00080648
-61.33333258	0.00084672
-61.29999925	0.00085075
-61.26666591	0.00088511
-61.23333258	0.00091882
-61.19999925	0.00092313
-61.16666591	0.00099790
-61.13333258	0.00099308
-61.09999925	0.00104131
-61.06666592	0.00106232
-61.03333258	0.00108589
-60.99999925	0.00109354
-60.96666592	0.00112822
-60.93333258	0.00107259
-60.89999925	0.00112046
-60.86666592	0.00112878
-60.83333258	0.00113602
-60.79999925	0.00113218
-60.76666592	0.00104887
-60.73333259	0.00112481
