# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T15:53:10
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-26.98912483
0.00732601	-22.24885903
0.01465201	-14.92023497
0.02197802	-12.96928079
0.02930403	-18.69238935
0.03663004	-18.50938022
0.04395604	-9.75883154
0.05128205	-6.11571390
0.05860806	-7.22077808
0.06593407	-6.52687701
0.07326007	-2.01171040
0.08058608	-4.38508655
0.08791209	-14.47215357
0.09523810	-3.08592424
0.10256410	-3.20565654
0.10989011	-9.06707837
0.11721612	-6.21185142
0.12454213	-4.36317257
0.13186813	-6.50217376
0.13919414	-10.05329968
0.14652015	-8.03596748
0.15384616	-8.03462540
0.16117216	-11.84230945
0.16849817	-6.53908755
0.17582418	-5.42964182
0.18315018	-10.77060368
0.19047619	-7.49479672
0.19780220	-4.47381139
0.20512821	-7.77114532
0.21245421	-9.88909239
0.21978022	-4.50495420
0.22710623	-4.96520686
0.23443224	-10.12364518
0.24175824	-4.38233969
0.24908425	-2.57311640
0.25641026	-5.72875675
0.26373627	-3.84156596
0.27106227	-1.33527047
0.27838828	-2.05355199
0.28571429	-2.70767890
0.29304030	-1.34686242
0.30036630	-0.20418370
0.30769231	-1.06809553
0.31501832	-1.87123824
0.32234433	0.00000000
0.32967033	-0.13615769
0.33699634	-1.88244019
0.34432235	-1.10134223
0.35164835	-1.00771653
0.35897436	-2.48541705
0.36630037	-2.36577355
0.37362638	-2.41715280
0.38095238	-3.67913890
0.38827839	-3.80310683
0.39560440	-3.82981320
0.40293041	-5.07204055
0.41025641	-5.60908166
0.41758242	-5.42926836
0.42490843	-6.05892612
0.43223444	-6.50496792
0.43956044	-6.73679257
0.44688645	-7.15954716
0.45421246	-7.40347607
0.46153847	-7.82382854
0.46886447	-8.20826413
0.47619048	-8.72519386
0.48351649	-8.80493456
0.49084250	-8.80806123
0.49816850	-9.84539138
0.50549451	-9.77528746
0.51282052	-9.78331756
0.52014652	-10.90594042
0.52747253	-10.82893568
0.53479854	-11.06267814
0.54212455	-11.42150522
0.54945055	-13.02490691
0.55677656	-19.60271105
0.56410257	-14.32287581
0.57142858	-11.12482243
0.57875458	-11.31833917
0.58608059	-11.10436221
0.59340660	-10.69199407
0.60073261	-10.85529398
0.60805861	-10.76494704
0.61538462	-10.84581013
0.62271063	-11.34983020
0.63003664	-11.50485540
0.63736264	-11.51445271
0.64468865	-12.01434860
0.65201466	-12.48085588
0.65934067	-12.96199790
0.66666667	-13.83761451
0.67399268	-14.55538036
0.68131869	-15.26758408
0.68864469	-16.12482939
0.69597070	-17.01386003
0.70329671	-18.12777714
0.71062272	-19.07982840
0.71794872	-20.11445161
0.72527473	-21.41125179
0.73260074	-22.31554996
0.73992675	-23.36589147
0.74725275	-26.54433286
0.75457876	-30.04537240
0.76190477	-26.56503565
0.76923078	-25.64726446
0.77655678	-26.50461346
0.78388279	-26.91537950
0.79120880	-27.33850391
0.79853481	-27.60532241
0.80586081	-28.22001066
0.81318682	-28.71522562
0.82051283	-29.08702019
0.82783884	-30.04005256
0.83516484	-30.37484054
0.84249085	-30.68754205
0.84981686	-31.31307682
0.85714286	-31.79807734
0.86446887	-32.37863163
0.87179488	-32.53194604
0.87912089	-32.54731987
0.88644689	-32.98916595
0.89377290	-34.09599964
0.90109891	-35.17634312
0.90842492	-35.24924054
0.91575092	-35.59575893
0.92307693	-35.91086644
0.93040294	-35.62116229
0.93772895	-36.15749542
0.94505495	-36.97373555
0.95238096	-37.29307721
0.95970697	-38.26742656
0.96703298	-38.33410488
0.97435898	-37.81605940
0.98168499	-39.95133899
0.98901100	-43.37732728
0.99633701	-40.95011760
1.00366301	-39.62032946
1.01098902	-40.01229302
