# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-02T19:19:23
# Time [ps]	THz Signal [a.u.]
-65.06666599	0.00000000
-65.03333266	0.00000001
-64.99999932	0.00000006
-64.96666599	0.00000010
-64.93333266	0.00000018
-64.89999932	0.00000019
-64.86666599	0.00000049
-64.83333266	0.00000042
-64.79999933	0.00000063
-64.76666599	0.00000062
-64.73333266	0.00000006
-64.69999933	0.00000074
-64.66666599	-0.00000040
-64.63333266	0.00000053
-64.59999933	0.00000066
-64.56666599	0.00000084
-64.53333266	-0.00000022
-64.49999933	-0.00000176
-64.46666599	-0.00000389
-64.43333266	-0.00000209
-64.39999933	-0.00000308
-64.36666600	-0.00000251
-64.33333266	-0.00000622
-64.29999933	-0.00000341
-64.26666600	-0.00000695
-64.23333266	-0.00000694
-64.19999933	-0.00000545
-64.16666600	-0.00000984
-64.13333266	-0.00001059
-64.09999933	-0.00001330
-64.06666600	-0.00001251
-64.03333267	-0.00001892
-63.99999933	-0.00001532
-63.96666600	-0.00001277
-63.93333267	-0.00001741
-63.89999933	-0.00001945
-63.86666600	-0.00002867
-63.83333267	-0.00002188
-63.79999933	-0.00002793
-63.76666600	-0.00003002
-63.73333267	-0.00003860
-63.69999933	-0.00003843
-63.66666600	-0.00003727
-63.63333267	-0.00004448
-63.59999934	-0.00004447
-63.56666600	-0.00005346
-63.53333267	-0.00004526
-63.49999934	-0.00005894
-63.46666600	-0.00005233
-63.43333267	-0.00005791
-63.39999934	-0.00007376
-63.36666600	-0.00007205
-63.33333267	-0.00007009
-63.29999934	-0.00007486
-63.26666600	-0.00008102
-63.23333267	-0.00008520
-63.19999934	-0.00009345
-63.16666601	-0.00008465
-63.13333267	-0.00008321
-63.09999934	-0.00008625
-63.06666601	-0.00007775
-63.03333267	-0.00008717
-62.99999934	-0.00007185
-62.96666601	-0.00006919
-62.93333267	-0.00006706
-62.89999934	-0.00006825
-62.86666601	-0.00004884
-62.83333268	-0.00003924
-62.79999934	-0.00005391
-62.76666601	-0.00002923
-62.73333268	-0.00000531
-62.69999934	-0.00000723
-62.66666601	-0.00001342
-62.63333268	0.00000691
-62.59999934	0.00002728
-62.56666601	0.00001271
-62.53333268	0.00007133
-62.49999934	0.00009525
-62.46666601	0.00009175
-62.43333268	0.00011803
-62.39999935	0.00014258
-62.36666601	0.00018053
-62.33333268	0.00021652
-62.29999935	0.00023821
-62.26666601	0.00025780
-62.23333268	0.00024187
-62.19999935	0.00029866
-62.16666601	0.00029504
-62.13333268	0.00034962
-62.09999935	0.00036802
-62.06666602	0.00040238
-62.03333268	0.00043661
-61.99999935	0.00048140
-61.96666602	0.00052094
-61.93333268	0.00053394
-61.89999935	0.00056647
-61.86666602	0.00062137
-61.83333268	0.00063873
-61.79999935	0.00064058
