# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-02T19:00:18
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-43.35752376
0.00732601	-12.11992448
0.01465201	-6.23191860
0.02197802	-5.72954222
0.02930403	-12.60917078
0.03663004	-13.65625655
0.04395604	-6.46597478
0.05128205	-3.46405279
0.05860806	-4.16012603
0.06593407	-3.53198531
0.07326007	0.00000000
0.08058608	-3.56468661
0.08791209	-14.60659847
0.09523810	-2.92007851
0.10256410	-5.47989634
0.10989011	-29.09876529
0.11721612	-7.72208565
0.12454213	-8.53104225
0.13186813	-15.40092203
0.13919414	-11.75414631
0.14652015	-11.71013436
0.15384616	-18.10996871
0.16117216	-14.36148932
0.16849817	-10.45746067
0.17582418	-13.10089791
0.18315018	-16.95306903
0.19047619	-8.18099471
0.19780220	-7.58878548
0.20512821	-11.34097470
0.21245421	-8.56856265
0.21978022	-7.50430411
0.22710623	-11.09596823
0.23443224	-9.51275139
0.24175824	-6.90170939
0.24908425	-9.37100509
0.25641026	-10.58207515
0.26373627	-7.67745791
0.27106227	-8.22257834
0.27838828	-9.89996689
0.28571429	-8.14168849
0.29304030	-7.05750759
0.30036630	-7.60877759
0.30769231	-7.52453651
0.31501832	-6.90896725
0.32234433	-7.29303911
0.32967033	-8.17658720
0.33699634	-8.38246636
0.34432235	-9.11546774
0.35164835	-10.52808392
0.35897436	-10.50401169
0.36630037	-11.29700899
0.37362638	-14.15887230
0.38095238	-15.29354671
0.38827839	-15.22580110
0.39560440	-17.39116707
0.40293041	-19.33523957
0.41025641	-18.25745503
0.41758242	-18.55317649
0.42490843	-19.38692957
0.43223444	-19.12158480
0.43956044	-19.94376039
0.44688645	-21.40507550
0.45421246	-21.34131000
0.46153847	-21.88289854
0.46886447	-23.57279881
0.47619048	-23.38550329
0.48351649	-23.51397193
0.49084249	-24.69293531
0.49816850	-26.32076501
0.50549451	-28.57649770
0.51282052	-27.31476027
0.52014652	-28.00678187
0.52747253	-30.35705213
0.53479854	-29.54656504
0.54212455	-30.86336511
0.54945055	-34.26621013
0.55677656	-37.23969830
0.56410257	-37.65418748
0.57142858	-34.06817930
0.57875458	-35.92689374
0.58608059	-37.97313678
0.59340660	-37.53860476
0.60073261	-38.33684022
0.60805861	-37.24548094
0.61538462	-37.61459123
0.62271063	-35.49541395
0.63003664	-34.28568360
0.63736264	-36.89202745
0.64468865	-39.05103838
0.65201466	-41.83787135
0.65934066	-48.69436493
0.66666667	-46.01019773
0.67399268	-46.47402507
0.68131869	-48.28137326
0.68864469	-46.29781969
0.69597070	-57.58162938
0.70329671	-52.10188668
0.71062272	-48.63892729
0.71794872	-43.33492721
0.72527473	-44.63034427
0.73260074	-53.46111448
0.73992675	-49.49004551
0.74725275	-52.72437422
0.75457876	-55.25021948
0.76190477	-47.55945476
0.76923078	-44.41376470
0.77655678	-44.12810495
0.78388279	-46.90957787
0.79120880	-48.75024483
0.79853481	-48.52937798
0.80586081	-49.71885637
0.81318682	-45.37773847
0.82051283	-43.72474170
0.82783883	-44.12547802
0.83516484	-44.65971302
0.84249085	-45.15662676
0.84981686	-44.24160446
0.85714286	-44.76856907
0.86446887	-46.98786611
0.87179488	-43.84093019
0.87912089	-42.43554846
0.88644689	-42.74641695
0.89377290	-43.48940193
0.90109891	-46.43981218
0.90842492	-46.28811510
0.91575092	-43.56923701
0.92307693	-42.90896946
0.93040294	-43.90908800
0.93772895	-46.37443927
0.94505495	-48.42935864
0.95238096	-47.72830747
0.95970697	-46.99173443
0.96703298	-46.35249869
0.97435898	-46.36140709
0.98168499	-48.27994223
0.98901100	-50.73669682
0.99633700	-49.74735923
1.00366301	-51.74645790
1.01098902	-59.74875788
1.01831503	-49.87485265
1.02564103	-48.26463155
1.03296704	-51.80741589
1.04029305	-54.69437234
1.04761906	-51.60434557
1.05494506	-54.40726611
1.06227107	-53.87804965
1.06959708	-50.33999742
1.07692309	-54.46876683
1.08424909	-71.38360865
1.09157510	-60.28521247
1.09890111	-56.73518412
1.10622712	-62.07237616
1.11355312	-59.24158740
1.12087913	-70.28680637
1.12820514	-55.86487260
1.13553115	-57.82086170
1.14285715	-60.89514434
1.15018316	-57.78953800
1.15750917	-67.95191407
1.16483517	-77.15555757
1.17216118	-77.86409236
1.17948719	-81.10765623
1.18681320	-66.67659122
1.19413920	-63.68323617
1.20146521	-61.78660535
1.20879122	-67.11132354
1.21611723	-63.42151131
1.22344323	-58.42485196
1.23076924	-64.17102175
1.23809525	-70.22572765
1.24542126	-68.50110692
1.25274726	-95.33570983
1.26007327	-67.39880867
1.26739928	-62.83145817
1.27472529	-64.53302263
1.28205129	-70.90725372
1.28937730	-66.89159091
1.29670331	-64.99435063
1.30402931	-59.18936063
1.31135532	-55.80014078
1.31868133	-59.25930624
1.32600734	-67.50803914
1.33333334	-62.11562056
1.34065935	-71.55398636
1.34798536	-64.75465875
1.35531137	-70.07787245
1.36263737	-63.30959851
1.36996338	-67.42768645
1.37728939	-84.52726854
1.38461540	-66.95826281
1.39194140	-62.37198476
1.39926741	-69.60057110
1.40659342	-57.79862403
1.41391943	-60.49771988
1.42124543	-62.70436721
1.42857144	-62.04956883
1.43589745	-83.04329433
1.44322346	-63.16908678
1.45054946	-59.22678892
1.45787547	-62.27513936
1.46520148	-65.52216951
1.47252748	-63.27358840
1.47985349	-56.38719201
1.48717950	-57.72494734
1.49450551	-68.91784316
1.50183151	-91.81737434
1.50915752	-67.00924639
1.51648353	-64.38696053
