# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-02T20:22:56
# Time [ps]	THz Signal [a.u.]
-65.06666598	0.00000000
-65.03333264	0.00000002
-64.99999931	0.00000008
-64.96666598	0.00000015
-64.93333264	0.00000031
-64.89999931	0.00000052
-64.86666598	0.00000050
-64.83333265	0.00000060
-64.79999931	0.00000074
-64.76666598	0.00000057
-64.73333265	0.00000069
-64.69999931	0.00000037
-64.66666598	0.00000079
-64.63333265	0.00000032
-64.59999931	0.00000078
-64.56666598	0.00000027
-64.53333265	-0.00000008
-64.49999932	-0.00000077
-64.46666598	-0.00000181
-64.43333265	-0.00000222
-64.39999932	-0.00000489
-64.36666598	-0.00000491
-64.33333265	-0.00000711
-64.29999932	-0.00000897
-64.26666598	-0.00001046
-64.23333265	-0.00001139
-64.19999932	-0.00001304
-64.16666598	-0.00001376
-64.13333265	-0.00001509
-64.09999932	-0.00001646
-64.06666599	-0.00001851
-64.03333265	-0.00001903
-63.99999932	-0.00002323
-63.96666599	-0.00002796
-63.93333265	-0.00002999
-63.89999932	-0.00003036
-63.86666599	-0.00003616
-63.83333265	-0.00003306
-63.79999932	-0.00004192
-63.76666599	-0.00004394
-63.73333266	-0.00005184
-63.69999932	-0.00005026
-63.66666599	-0.00005161
-63.63333266	-0.00006782
-63.59999932	-0.00007181
-63.56666599	-0.00006978
-63.53333266	-0.00007358
-63.49999932	-0.00007343
-63.46666599	-0.00008581
-63.43333266	-0.00008119
-63.39999932	-0.00009249
-63.36666599	-0.00009508
-63.33333266	-0.00009712
-63.29999933	-0.00011332
-63.26666599	-0.00012663
-63.23333266	-0.00011423
-63.19999933	-0.00011826
-63.16666599	-0.00010907
-63.13333266	-0.00011653
-63.09999933	-0.00011662
-63.06666599	-0.00011664
-63.03333266	-0.00012462
-62.99999933	-0.00012798
-62.96666600	-0.00011369
-62.93333266	-0.00011481
-62.89999933	-0.00010718
-62.86666600	-0.00009199
-62.83333266	-0.00009859
-62.79999933	-0.00008851
-62.76666600	-0.00007937
-62.73333266	-0.00008101
-62.69999933	-0.00005264
-62.66666600	-0.00003420
-62.63333266	-0.00003716
-62.59999933	-0.00001900
-62.56666600	-0.00000522
-62.53333267	0.00002932
-62.49999933	0.00001919
-62.46666600	0.00003763
-62.43333267	0.00003073
-62.39999933	0.00007765
-62.36666600	0.00010596
-62.33333267	0.00011926
-62.29999933	0.00014664
-62.26666600	0.00018020
-62.23333267	0.00019208
-62.19999934	0.00021580
-62.16666600	0.00024850
-62.13333267	0.00026309
-62.09999934	0.00030154
-62.06666600	0.00036165
-62.03333267	0.00037055
-61.99999934	0.00039573
-61.96666600	0.00045173
-61.93333267	0.00049838
-61.89999934	0.00049797
-61.86666600	0.00054649
-61.83333267	0.00058647
-61.79999934	0.00061110
-61.76666601	0.00070146
-61.73333267	0.00069753
-61.69999934	0.00071792
-61.66666601	0.00076370
-61.63333267	0.00082307
-61.59999934	0.00083323
-61.56666601	0.00086524
-61.53333267	0.00097376
-61.49999934	0.00093186
-61.46666601	0.00104889
-61.43333268	0.00107033
-61.39999934	0.00108500
-61.36666601	0.00115521
-61.33333268	0.00123160
-61.29999934	0.00124490
-61.26666601	0.00129450
-61.23333268	0.00129318
-61.19999934	0.00133130
-61.16666601	0.00138155
-61.13333268	0.00143136
-61.09999934	0.00143147
-61.06666601	0.00147755
-61.03333268	0.00145585
-60.99999935	0.00150985
-60.96666601	0.00147758
-60.93333268	0.00149892
-60.89999935	0.00153290
-60.86666601	0.00153346
-60.83333268	0.00150632
-60.79999935	0.00157780
-60.76666601	0.00156188
-60.73333268	0.00155014
-60.69999935	0.00157958
-60.66666602	0.00154692
-60.63333268	0.00152419
-60.59999935	0.00154515
-60.56666602	0.00148289
-60.53333268	0.00141162
-60.49999935	0.00138992
-60.46666602	0.00133818
-60.43333268	0.00125859
-60.39999935	0.00132379
-60.36666602	0.00123917
-60.33333268	0.00116133
-60.29999935	0.00113895
-60.26666602	0.00102567
-60.23333269	0.00088952
-60.19999935	0.00085707
-60.16666602	0.00072143
-60.13333269	0.00062784
-60.09999935	0.00054103
-60.06666602	0.00047129
