# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-02T21:00:31
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-45.41261934
0.00732601	-27.18344133
0.01465201	-19.37829788
0.02197802	-18.13780166
0.02930403	-25.07032230
0.03663004	-23.12825533
0.04395604	-15.81330328
0.05128205	-12.49298186
0.05860806	-13.49089884
0.06593407	-14.31785802
0.07326007	-9.71336740
0.08058608	-9.93636709
0.08791209	-17.31909658
0.09523810	-14.51643297
0.10256410	-11.07636268
0.10989011	-16.03205757
0.11721612	-16.36207507
0.12454213	-8.64196431
0.13186813	-8.04959621
0.13919414	-8.90497778
0.14652015	-8.42507525
0.15384616	-9.63167819
0.16117216	-11.51733411
0.16849817	-12.26453740
0.17582418	-9.46814192
0.18315018	-7.74097399
0.19047619	-6.93114216
0.19780220	-4.57930884
0.20512821	-4.63194282
0.21245421	-7.71016658
0.21978022	-7.41599953
0.22710623	-5.41193158
0.23443224	-5.40587667
0.24175824	-5.05697818
0.24908425	-2.79830233
0.25641026	-2.05668148
0.26373627	-3.38679857
0.27106227	-2.50713897
0.27838828	-1.16336685
0.28571429	-2.19798122
0.29304030	-2.11864044
0.30036630	-0.38772240
0.30769231	-0.65288466
0.31501832	-1.44132982
0.32234433	-0.23702125
0.32967033	0.00000000
0.33699634	-1.38241803
0.34432235	-1.54559923
0.35164835	-1.22903705
0.35897436	-2.00484491
0.36630037	-2.08546774
0.37362638	-2.16567272
0.38095238	-3.08151414
0.38827839	-3.27563419
0.39560440	-3.62084395
0.40293041	-4.67068963
0.41025641	-4.76810397
0.41758242	-4.69160910
0.42490843	-4.94638454
0.43223444	-4.93510619
0.43956044	-5.53525267
0.44688645	-6.42490289
0.45421246	-6.41305097
0.46153847	-6.59524785
0.46886447	-6.78204282
0.47619048	-6.23213255
0.48351649	-6.15989013
0.49084250	-6.87113354
0.49816850	-7.46757075
0.50549451	-7.63062367
0.51282052	-7.84164890
0.52014652	-7.79529839
0.52747253	-7.73714591
0.53479854	-7.87353477
0.54212455	-7.72926108
0.54945055	-9.64501278
0.55677656	-16.18435634
0.56410257	-11.68598832
0.57142858	-8.78801035
0.57875458	-9.10818319
0.58608059	-8.59164555
0.59340660	-8.00609581
0.60073261	-8.36660520
0.60805861	-8.25278585
0.61538462	-8.27239112
0.62271063	-8.73951148
0.63003664	-8.62423854
0.63736264	-8.67798509
0.64468865	-9.26201100
0.65201466	-9.50658662
0.65934067	-9.74004766
0.66666667	-10.25968144
0.67399268	-10.72031355
0.68131869	-11.27684382
0.68864469	-11.82255387
0.69597070	-12.39895679
0.70329671	-13.15932017
0.71062272	-13.63829931
0.71794872	-14.11696551
0.72527473	-15.04128310
0.73260074	-15.53256046
0.73992675	-16.05718042
0.74725275	-19.02088152
0.75457876	-21.93311977
0.76190477	-18.82240059
0.76923078	-18.38595976
0.77655678	-19.38298313
0.78388279	-19.43977405
0.79120880	-20.05830599
0.79853481	-20.65347166
0.80586081	-20.98081276
0.81318682	-21.50723140
0.82051283	-21.57501544
0.82783884	-21.80720874
0.83516484	-22.12646935
0.84249085	-22.52414094
0.84981686	-22.93216103
0.85714286	-22.98119039
0.86446887	-23.23493302
0.87179488	-23.45703001
0.87912089	-23.74583770
0.88644689	-24.38668271
0.89377290	-24.55051449
0.90109891	-24.59515874
0.90842492	-25.01942952
0.91575092	-25.33700584
0.92307693	-25.66153003
0.93040294	-25.77315408
0.93772895	-25.76883215
0.94505495	-26.21450777
0.95238096	-26.39563926
0.95970697	-26.84043315
0.96703298	-27.77544373
0.97435898	-27.95597840
