# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T09:16:17
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-56.39540929
0.00732601	-23.60226427
0.01465201	-16.14541086
0.02197802	-14.75273416
0.02930403	-20.66506848
0.03663004	-21.00599926
0.04395604	-13.26035324
0.05128205	-10.48234949
0.05860806	-11.88252694
0.06593407	-11.22945737
0.07326007	-6.84161467
0.08058608	-7.98150603
0.08791209	-16.12738345
0.09523810	-10.60311697
0.10256410	-9.83777118
0.10989011	-19.56938866
0.11721612	-11.28083762
0.12454213	-7.29590642
0.13186813	-9.56225217
0.13919414	-6.55340941
0.14652015	-3.91968464
0.15384616	-7.54759095
0.16117216	-14.71644527
0.16849817	-8.37802890
0.17582418	-8.86246240
0.18315018	-12.95969964
0.19047619	-7.20782609
0.19780220	-2.96429215
0.20512821	-3.06854290
0.21245421	-4.89171989
0.21978022	-3.75586852
0.22710623	-4.37250326
0.23443224	-6.70699528
0.24175824	-4.45263810
0.24908425	-2.80306128
0.25641026	-2.23363500
0.26373627	-1.06049339
0.27106227	-0.27551539
0.27838828	-0.88357888
0.28571429	-1.98314027
0.29304030	-1.10211548
0.30036630	-0.25292870
0.30769231	-1.05767465
0.31501832	-1.05451965
0.32234433	0.00000000
0.32967033	-0.76128745
0.33699634	-2.09979550
0.34432235	-1.57770282
0.35164836	-1.89707237
0.35897436	-2.61715920
0.36630037	-2.10630792
0.37362638	-2.65725641
0.38095238	-3.84208221
0.38827839	-3.98479154
0.39560440	-4.58400430
0.40293041	-5.34854203
0.41025641	-5.50449850
0.41758242	-5.62619751
0.42490843	-5.64813132
0.43223444	-6.25951434
0.43956044	-7.31065770
0.44688645	-7.67163555
0.45421246	-7.98423443
0.46153847	-8.34361034
0.46886447	-8.30670598
0.47619048	-8.44649680
0.48351649	-8.61034414
0.49084250	-9.13102181
0.49816850	-10.12317981
0.50549451	-10.10958854
0.51282052	-10.22094881
0.52014653	-10.46293974
0.52747253	-10.24121433
0.53479854	-10.59336995
0.54212455	-10.01295064
0.54945055	-11.08518257
0.55677656	-17.04587443
0.56410257	-12.61378188
0.57142858	-9.87245726
0.57875458	-10.52075402
0.58608059	-9.90063586
0.59340660	-9.34051301
0.60073261	-9.95584880
0.60805861	-9.94556425
0.61538462	-10.04606057
0.62271063	-10.65830913
0.63003664	-10.82135355
0.63736264	-11.03282010
0.64468865	-11.72816721
0.65201466	-12.49154720
0.65934067	-13.00886208
0.66666667	-13.53414051
0.67399268	-14.60929264
0.68131869	-15.67426379
0.68864470	-16.12964969
0.69597070	-17.05731598
0.70329671	-18.09464446
0.71062272	-18.78430258
0.71794873	-20.12389333
