# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T08:47:28
# Time [ps]	THz Signal [a.u.]
-65.06666586	0.00000000
-65.03333252	0.00000001
-64.99999919	0.00000006
-64.96666586	0.00000011
-64.93333252	0.00000019
-64.89999919	0.00000014
-64.86666586	0.00000032
-64.83333252	0.00000043
-64.79999919	0.00000054
-64.76666586	0.00000059
-64.73333253	0.00000095
-64.69999919	0.00000085
-64.66666586	0.00000099
-64.63333253	0.00000033
-64.59999919	0.00000007
-64.56666586	0.00000057
-64.53333253	0.00000009
-64.49999919	0.00000021
-64.46666586	-0.00000165
-64.43333253	-0.00000059
-64.39999920	-0.00000361
-64.36666586	-0.00000378
-64.33333253	-0.00000481
-64.29999920	-0.00000381
-64.26666586	-0.00000611
-64.23333253	-0.00000681
-64.19999920	-0.00000955
-64.16666586	-0.00000911
-64.13333253	-0.00001644
-64.09999920	-0.00001721
-64.06666587	-0.00001570
-64.03333253	-0.00001864
-63.99999920	-0.00002124
-63.96666587	-0.00002181
-63.93333253	-0.00002959
-63.89999920	-0.00003837
-63.86666587	-0.00003069
-63.83333253	-0.00003683
-63.79999920	-0.00003505
-63.76666587	-0.00003884
-63.73333254	-0.00005362
-63.69999920	-0.00004328
-63.66666587	-0.00006072
-63.63333254	-0.00006194
-63.59999920	-0.00006618
-63.56666587	-0.00006931
-63.53333254	-0.00007569
-63.49999920	-0.00008073
-63.46666587	-0.00008990
-63.43333254	-0.00009256
-63.39999921	-0.00009698
-63.36666587	-0.00009690
-63.33333254	-0.00010976
-63.29999921	-0.00012333
-63.26666587	-0.00012431
-63.23333254	-0.00014020
-63.19999921	-0.00013472
-63.16666587	-0.00013654
-63.13333254	-0.00014620
-63.09999921	-0.00015528
-63.06666588	-0.00015788
-63.03333254	-0.00016642
-62.99999921	-0.00017799
-62.96666588	-0.00019476
-62.93333254	-0.00016056
-62.89999921	-0.00017222
-62.86666588	-0.00017776
-62.83333255	-0.00017271
-62.79999921	-0.00017055
-62.76666588	-0.00017930
-62.73333255	-0.00017445
-62.69999921	-0.00016709
-62.66666588	-0.00016223
-62.63333255	-0.00015093
-62.59999921	-0.00014276
-62.56666588	-0.00015398
-62.53333255	-0.00014060
-62.49999922	-0.00013616
-62.46666588	-0.00015120
-62.43333255	-0.00011047
-62.39999922	-0.00008165
-62.36666588	-0.00005726
-62.33333255	-0.00004587
-62.29999922	-0.00005740
-62.26666588	-0.00003225
-62.23333255	-0.00000739
-62.19999922	0.00003389
-62.16666589	0.00006610
-62.13333255	0.00007402
-62.09999922	0.00011490
-62.06666589	0.00012058
-62.03333255	0.00014215
-61.99999922	0.00018771
-61.96666589	0.00023657
-61.93333255	0.00026770
-61.89999922	0.00028620
-61.86666589	0.00035906
-61.83333256	0.00038799
-61.79999922	0.00040062
-61.76666589	0.00048320
-61.73333256	0.00051732
-61.69999922	0.00058839
-61.66666589	0.00059628
-61.63333256	0.00068731
-61.59999922	0.00068537
-61.56666589	0.00071973
-61.53333256	0.00076236
-61.49999923	0.00082221
-61.46666589	0.00086695
-61.43333256	0.00097075
-61.39999923	0.00100500
-61.36666589	0.00098336
-61.33333256	0.00114665
-61.29999923	0.00116667
-61.26666589	0.00116374
-61.23333256	0.00123674
-61.19999923	0.00127841
-61.16666590	0.00131234
-61.13333256	0.00134839
-61.09999923	0.00140423
-61.06666590	0.00143449
-61.03333256	0.00146929
-60.99999923	0.00149573
-60.96666590	0.00147469
-60.93333256	0.00155954
-60.89999923	0.00151579
-60.86666590	0.00155397
-60.83333257	0.00155293
-60.79999923	0.00155200
-60.76666590	0.00156771
-60.73333257	0.00152426
-60.69999923	0.00155188
-60.66666590	0.00157607
