# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T09:55:11
# Time [ps]	THz Signal [a.u.]
-65.06666586	0.00000000
-65.03333253	0.00000002
-64.99999920	0.00000007
-64.96666586	0.00000017
-64.93333253	0.00000027
-64.89999920	0.00000036
-64.86666586	0.00000041
-64.83333253	0.00000065
-64.79999920	0.00000057
-64.76666587	0.00000102
-64.73333253	0.00000043
-64.69999920	0.00000062
-64.66666587	0.00000015
-64.63333253	0.00000046
-64.59999920	0.00000078
-64.56666587	-0.00000022
-64.53333253	0.00000046
-64.49999920	-0.00000066
-64.46666587	0.00000046
-64.43333254	-0.00000181
-64.39999920	-0.00000267
-64.36666587	-0.00000552
-64.33333254	-0.00000464
-64.29999920	-0.00000746
-64.26666587	-0.00000924
-64.23333254	-0.00001102
-64.19999920	-0.00001184
-64.16666587	-0.00001482
-64.13333254	-0.00001729
-64.09999921	-0.00002071
-64.06666587	-0.00002045
-64.03333254	-0.00002624
-63.99999921	-0.00002783
-63.96666587	-0.00003259
-63.93333254	-0.00003416
-63.89999921	-0.00003662
-63.86666587	-0.00004233
-63.83333254	-0.00004662
-63.79999921	-0.00005322
-63.76666588	-0.00005988
-63.73333254	-0.00006776
-63.69999921	-0.00007047
-63.66666588	-0.00007480
-63.63333254	-0.00007710
-63.59999921	-0.00009074
-63.56666588	-0.00010284
-63.53333254	-0.00009964
-63.49999921	-0.00010936
-63.46666588	-0.00011526
-63.43333255	-0.00011787
-63.39999921	-0.00012188
-63.36666588	-0.00013050
-63.33333255	-0.00013406
-63.29999921	-0.00014266
-63.26666588	-0.00014210
-63.23333255	-0.00015322
-63.19999921	-0.00015440
-63.16666588	-0.00015354
-63.13333255	-0.00016783
-63.09999922	-0.00015983
-63.06666588	-0.00017960
-63.03333255	-0.00017689
-62.99999922	-0.00018939
-62.96666588	-0.00020235
-62.93333255	-0.00019036
-62.89999922	-0.00019476
-62.86666588	-0.00019385
-62.83333255	-0.00019524
-62.79999922	-0.00019545
-62.76666589	-0.00017214
-62.73333255	-0.00018188
-62.69999922	-0.00017797
-62.66666589	-0.00015436
-62.63333255	-0.00017309
-62.59999922	-0.00013086
-62.56666589	-0.00010728
-62.53333255	-0.00011301
-62.49999922	-0.00008364
-62.46666589	-0.00006880
-62.43333256	-0.00007062
-62.39999922	-0.00003878
-62.36666589	-0.00002143
-62.33333256	0.00001254
-62.29999922	0.00002790
-62.26666589	0.00005200
-62.23333256	0.00003605
-62.19999922	0.00008794
-62.16666589	0.00008374
-62.13333256	0.00012326
-62.09999923	0.00017394
-62.06666589	0.00021042
-62.03333256	0.00022260
-61.99999923	0.00024372
-61.96666589	0.00026759
-61.93333256	0.00030980
-61.89999923	0.00033720
-61.86666589	0.00037019
-61.83333256	0.00043907
-61.79999923	0.00044851
-61.76666590	0.00052123
-61.73333256	0.00053008
