# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T10:16:20
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-38.46838366
0.00732601	-24.86827821
0.01465201	-17.82816125
0.02197802	-16.81160278
0.02930403	-24.17425948
0.03663004	-20.62366819
0.04395604	-13.35164589
0.05128205	-9.56335528
0.05860806	-10.43264133
0.06593407	-10.78270419
0.07326007	-6.00671761
0.08058608	-7.82098454
0.08791209	-17.10240896
0.09523810	-5.68522455
0.10256410	-4.85008504
0.10989011	-10.04188645
0.11721612	-7.89884253
0.12454213	-5.13092337
0.13186813	-7.65456324
0.13919414	-9.44573804
0.14652015	-5.50882049
0.15384616	-5.81668935
0.16117216	-7.11340377
0.16849817	-3.72595461
0.17582418	-3.52701077
0.18315018	-7.46577903
0.19047619	-4.50443712
0.19780220	-2.04737306
0.20512821	-3.64305765
0.21245421	-3.70514262
0.21978022	-1.09208026
0.22710623	-0.99021773
0.23443224	-2.15455309
0.24175824	-0.99295411
0.24908425	-0.44588401
0.25641026	-1.85978450
0.26373627	-1.30911437
0.27106227	0.00000000
0.27838828	-0.59856505
0.28571429	-1.15416359
0.29304030	-0.31364477
0.30036630	-0.30187678
0.30769231	-1.15980350
0.31501832	-1.00587430
0.32234433	-0.68685076
0.32967033	-1.26499678
0.33699634	-1.72127082
0.34432235	-2.05452579
0.35164836	-2.72377502
0.35897436	-2.94590467
0.36630037	-3.17483791
0.37362638	-4.11951187
0.38095238	-4.90216851
0.38827839	-4.95844292
0.39560440	-5.54669816
0.40293041	-6.80296625
0.41025641	-7.19284362
0.41758242	-7.17949891
0.42490843	-7.70876100
0.43223444	-8.41223173
0.43956044	-8.83926444
0.44688645	-8.97788936
0.45421246	-9.56505302
0.46153847	-10.18241036
0.46886447	-10.31821080
0.47619048	-10.86944272
0.48351649	-11.30559412
0.49084250	-11.67704848
0.49816850	-12.32917461
0.50549451	-12.18724472
0.51282052	-12.18575961
0.52014653	-12.42820612
0.52747253	-12.61265920
0.53479854	-13.10551815
0.54212455	-13.13218179
0.54945055	-14.88797930
0.55677656	-20.33682879
0.56410257	-16.57610028
0.57142858	-13.99316523
0.57875458	-14.44796838
0.58608059	-14.68064897
