# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T18:02:08
# Time [ps]	THz Signal [a.u.]
-65.06666593	0.00000000
-65.03333260	0.00000002
-64.99999926	0.00000007
-64.96666593	0.00000013
-64.93333260	0.00000026
-64.89999926	0.00000043
-64.86666593	0.00000060
-64.83333260	0.00000060
-64.79999926	0.00000016
-64.76666593	0.00000057
-64.73333260	0.00000082
-64.69999926	0.00000031
-64.66666593	0.00000052
-64.63333260	0.00000055
-64.59999927	0.00000066
-64.56666593	-0.00000048
-64.53333260	-0.00000036
-64.49999927	-0.00000129
-64.46666593	0.00000034
-64.43333260	-0.00000074
-64.39999927	-0.00000377
-64.36666593	-0.00000594
-64.33333260	-0.00000649
-64.29999927	-0.00000603
-64.26666594	-0.00000857
-64.23333260	-0.00000991
-64.19999927	-0.00001132
-64.16666594	-0.00001275
-64.13333260	-0.00001539
-64.09999927	-0.00001399
-64.06666594	-0.00001805
-64.03333260	-0.00002095
-63.99999927	-0.00002254
-63.96666594	-0.00002394
-63.93333261	-0.00003115
-63.89999927	-0.00003499
-63.86666594	-0.00002839
-63.83333261	-0.00003559
-63.79999927	-0.00003479
-63.76666594	-0.00003377
-63.73333261	-0.00003133
-63.69999927	-0.00004367
-63.66666594	-0.00004937
-63.63333261	-0.00005318
-63.59999928	-0.00004924
-63.56666594	-0.00005971
-63.53333261	-0.00005181
-63.49999928	-0.00007386
-63.46666594	-0.00007112
-63.43333261	-0.00007671
-63.39999928	-0.00008213
-63.36666594	-0.00007174
-63.33333261	-0.00008603
-63.29999928	-0.00008815
-63.26666594	-0.00008702
-63.23333261	-0.00009194
-63.19999928	-0.00008086
-63.16666595	-0.00010192
-63.13333261	-0.00010751
-63.09999928	-0.00007840
-63.06666595	-0.00008479
-63.03333261	-0.00006817
-62.99999928	-0.00006526
-62.96666595	-0.00004449
-62.93333261	-0.00004117
-62.89999928	-0.00006152
-62.86666595	-0.00005176
-62.83333262	-0.00004582
-62.79999928	-0.00002871
-62.76666595	-0.00002244
-62.73333262	0.00000442
-62.69999928	-0.00000704
-62.66666595	0.00001617
-62.63333262	0.00000839
-62.59999928	0.00005084
-62.56666595	0.00007069
-62.53333262	0.00007690
-62.49999929	0.00011104
-62.46666595	0.00015529
-62.43333262	0.00016471
-62.39999929	0.00017181
-62.36666595	0.00019826
-62.33333262	0.00021585
-62.29999929	0.00024485
-62.26666595	0.00027283
-62.23333262	0.00027918
-62.19999929	0.00030310
-62.16666595	0.00034375
-62.13333262	0.00035875
-62.09999929	0.00042372
-62.06666596	0.00042139
-62.03333262	0.00043715
-61.99999929	0.00048540
-61.96666596	0.00047695
-61.93333262	0.00049528
-61.89999929	0.00057425
-61.86666596	0.00057604
-61.83333262	0.00062686
-61.79999929	0.00061868
-61.76666596	0.00068220
-61.73333263	0.00069700
-61.69999929	0.00073158
-61.66666596	0.00075460
-61.63333263	0.00080063
-61.59999929	0.00081865
-61.56666596	0.00085799
-61.53333263	0.00085267
-61.49999929	0.00089654
-61.46666596	0.00093482
-61.43333263	0.00096957
-61.39999930	0.00101339
-61.36666596	0.00101944
-61.33333263	0.00101770
-61.29999930	0.00105724
-61.26666596	0.00110630
-61.23333263	0.00108382
-61.19999930	0.00108391
-61.16666596	0.00112764
-61.13333263	0.00113320
-61.09999930	0.00113092
-61.06666597	0.00116682
-61.03333263	0.00117275
-60.99999930	0.00120716
-60.96666597	0.00123518
-60.93333263	0.00122594
-60.89999930	0.00123299
-60.86666597	0.00124051
-60.83333263	0.00119567
-60.79999930	0.00121149
-60.76666597	0.00122960
-60.73333263	0.00120579
-60.69999930	0.00119035
-60.66666597	0.00115622
-60.63333264	0.00109217
-60.59999930	0.00107517
-60.56666597	0.00103976
-60.53333264	0.00104724
-60.49999930	0.00104965
-60.46666597	0.00093549
-60.43333264	0.00095740
-60.39999930	0.00085321
-60.36666597	0.00077476
-60.33333264	0.00077206
-60.29999931	0.00072676
-60.26666597	0.00060282
-60.23333264	0.00059019
-60.19999931	0.00053563
-60.16666597	0.00048401
-60.13333264	0.00039079
-60.09999931	0.00030362
-60.06666597	0.00017679
-60.03333264	0.00011388
-59.99999931	0.00003305
-59.96666598	-0.00002236
-59.93333264	-0.00015893
-59.89999931	-0.00026625
-59.86666598	-0.00032064
-59.83333264	-0.00041344
-59.79999931	-0.00040091
-59.76666598	-0.00047187
-59.73333264	-0.00066720
-59.69999931	-0.00079785
-59.66666598	-0.00076959
-59.63333265	-0.00089374
-59.59999931	-0.00089732
-59.56666598	-0.00097351
-59.53333265	-0.00107568
-59.49999931	-0.00113085
-59.46666598	-0.00117001
-59.43333265	-0.00125555
-59.39999931	-0.00135362
-59.36666598	-0.00127521
-59.33333265	-0.00132105
-59.29999931	-0.00140063
-59.26666598	-0.00141532
-59.23333265	-0.00146973
-59.19999932	-0.00149850
-59.16666598	-0.00145554
-59.13333265	-0.00152292
-59.09999932	-0.00156037
-59.06666598	-0.00153202
-59.03333265	-0.00152611
-58.99999932	-0.00148408
-58.96666598	-0.00160569
-58.93333265	-0.00145514
-58.89999932	-0.00146400
-58.86666599	-0.00147411
-58.83333265	-0.00150486
-58.79999932	-0.00143576
-58.76666599	-0.00142726
-58.73333265	-0.00138111
-58.69999932	-0.00148235
-58.66666599	-0.00136865
-58.63333265	-0.00137126
-58.59999932	-0.00128626
-58.56666599	-0.00132798
-58.53333266	-0.00130075
-58.49999932	-0.00122596
-58.46666599	-0.00118651
-58.43333266	-0.00110809
-58.39999932	-0.00111523
-58.36666599	-0.00118077
-58.33333266	-0.00108594
-58.29999932	-0.00101450
-58.26666599	-0.00096837
-58.23333266	-0.00103105
-58.19999932	-0.00102010
-58.16666599	-0.00090942
-58.13333266	-0.00098844
-58.09999933	-0.00086895
-58.06666599	-0.00089509
-58.03333266	-0.00087810
-57.99999933	-0.00096028
-57.96666599	-0.00099823
-57.93333266	-0.00092617
-57.89999933	-0.00090436
-57.86666599	-0.00091273
-57.83333266	-0.00093109
-57.79999933	-0.00090306
-57.76666600	-0.00077203
-57.73333266	-0.00083155
-57.69999933	-0.00090378
-57.66666600	-0.00091417
-57.63333266	-0.00079082
-57.59999933	-0.00085373
-57.56666600	-0.00087888
-57.53333266	-0.00094581
-57.49999933	-0.00087355
-57.46666600	-0.00082192
-57.43333267	-0.00071855
-57.39999933	-0.00078286
-57.36666600	-0.00075774
-57.33333267	-0.00086374
-57.29999933	-0.00073389
-57.26666600	-0.00072630
-57.23333267	-0.00073139
-57.19999933	-0.00069961
-57.16666600	-0.00070655
-57.13333267	-0.00060448
-57.09999934	-0.00066254
-57.06666600	-0.00068418
-57.03333267	-0.00054527
-56.99999934	-0.00059097
-56.96666600	-0.00052628
-56.93333267	-0.00047587
-56.89999934	-0.00049766
-56.86666600	-0.00033565
-56.83333267	-0.00040094
-56.79999934	-0.00037821
-56.76666600	-0.00042981
-56.73333267	-0.00038461
-56.69999934	-0.00023561
-56.66666601	-0.00031005
-56.63333267	-0.00029383
-56.59999934	-0.00024536
-56.56666601	-0.00029427
-56.53333267	-0.00024192
-56.49999934	-0.00013312
-56.46666601	-0.00006528
-56.43333267	-0.00023780
-56.39999934	-0.00024256
-56.36666601	-0.00018872
-56.33333268	-0.00017058
-56.29999934	-0.00015171
-56.26666601	-0.00012139
-56.23333268	-0.00014970
-56.19999934	-0.00012491
-56.16666601	-0.00002990
-56.13333268	-0.00018390
-56.09999934	-0.00016445
-56.06666601	-0.00011478
-56.03333268	-0.00018216
-55.99999935	-0.00007134
-55.96666601	-0.00010117
-55.93333268	0.00006476
-55.89999935	0.00008391
-55.86666601	0.00008764
-55.83333268	0.00012835
-55.79999935	0.00018547
-55.76666601	0.00018666
-55.73333268	0.00028099
-55.69999935	0.00030991
-55.66666602	0.00031924
-55.63333268	0.00029848
-55.59999935	0.00032169
-55.56666602	0.00035557
-55.53333268	0.00044715
-55.49999935	0.00039820
-55.46666602	0.00051863
-55.43333268	0.00051349
-55.39999935	0.00050738
-55.36666602	0.00052928
-55.33333268	0.00047206
-55.29999935	0.00062142
-55.26666602	0.00060801
-55.23333269	0.00063704
-55.19999935	0.00064938
-55.16666602	0.00064764
-55.13333269	0.00067269
-55.09999935	0.00069933
-55.06666602	0.00077498
-55.03333269	0.00082339
-54.99999935	0.00084534
-54.96666602	0.00088368
-54.93333269	0.00083072
-54.89999936	0.00081400
-54.86666602	0.00084745
-54.83333269	0.00099446
-54.79999936	0.00093428
-54.76666602	0.00096665
-54.73333269	0.00090167
-54.69999936	0.00094119
-54.66666602	0.00092511
-54.63333269	0.00083413
-54.59999936	0.00091994
-54.56666603	0.00106070
-54.53333269	0.00105723
-54.49999936	0.00113146
-54.46666603	0.00112409
-54.43333269	0.00102367
-54.39999936	0.00117165
-54.36666603	0.00114370
-54.33333269	0.00118303
-54.29999936	0.00112781
-54.26666603	0.00122196
-54.23333269	0.00132543
-54.19999936	0.00128337
-54.16666603	0.00135278
-54.13333270	0.00137254
-54.09999936	0.00137095
-54.06666603	0.00143260
-54.03333270	0.00134008
-53.99999936	0.00149107
-53.96666603	0.00146879
-53.93333270	0.00146915
-53.89999936	0.00135301
-53.86666603	0.00143875
-53.83333270	0.00141830
-53.79999937	0.00149507
-53.76666603	0.00142238
-53.73333270	0.00157171
-53.69999937	0.00163830
-53.66666603	0.00160893
-53.63333270	0.00166822
-53.59999937	0.00158205
-53.56666603	0.00160054
-53.53333270	0.00154652
-53.49999937	0.00167034
-53.46666604	0.00163780
-53.43333270	0.00171575
-53.39999937	0.00173110
-53.36666604	0.00173921
-53.33333270	0.00177122
-53.29999937	0.00185559
-53.26666604	0.00184048
-53.23333270	0.00192131
-53.19999937	0.00192240
-53.16666604	0.00192585
-53.13333271	0.00207127
-53.09999937	0.00213839
-53.06666604	0.00206811
-53.03333271	0.00217843
-52.99999937	0.00209789
-52.96666604	0.00212685
-52.93333271	0.00207462
-52.89999937	0.00206177
-52.86666604	0.00212423
-52.83333271	0.00209988
-52.79999937	0.00194345
-52.76666604	0.00200101
-52.73333271	0.00185508
-52.69999938	0.00180545
-52.66666604	0.00164572
-52.63333271	0.00150688
-52.59999938	0.00136207
-52.56666604	0.00119563
-52.53333271	0.00094395
-52.49999938	0.00080489
-52.46666604	0.00058183
-52.43333271	0.00033265
-52.39999938	0.00013535
-52.36666605	-0.00018600
-52.33333271	-0.00043452
-52.29999938	-0.00066606
-52.26666605	-0.00097301
-52.23333271	-0.00124714
-52.19999938	-0.00150700
-52.16666605	-0.00172959
-52.13333271	-0.00200472
-52.09999938	-0.00213376
-52.06666605	-0.00234689
-52.03333272	-0.00253288
-51.99999938	-0.00255734
-51.96666605	-0.00274651
-51.93333272	-0.00280037
-51.89999938	-0.00291645
-51.86666605	-0.00297302
-51.83333272	-0.00285289
-51.79999938	-0.00276012
-51.76666605	-0.00282988
-51.73333272	-0.00269540
-51.69999938	-0.00258726
-51.66666605	-0.00240220
-51.63333272	-0.00222154
-51.59999939	-0.00199136
-51.56666605	-0.00176795
-51.53333272	-0.00144234
-51.49999939	-0.00118548
-51.46666605	-0.00094887
-51.43333272	-0.00065798
-51.39999939	-0.00032765
-51.36666605	-0.00014670
-51.33333272	0.00018175
-51.29999939	0.00042588
