# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-07-03T18:21:19
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-29.36318015
0.00732601	-29.85599647
0.01465201	-22.48117993
0.02197802	-19.97959061
0.02930403	-25.40081501
0.03663004	-24.05221758
0.04395604	-16.07785593
0.05128205	-12.24670830
0.05860806	-13.50849200
0.06593407	-12.58957622
0.07326007	-7.51597206
0.08058608	-9.08619353
0.08791209	-22.67147549
0.09523810	-8.87721278
0.10256410	-8.17440471
0.10989011	-17.32328468
0.11721612	-11.80263339
0.12454213	-8.51384074
0.13186813	-12.13883513
0.13919414	-12.99480524
0.14652015	-8.49163972
0.15384616	-8.95638144
0.16117216	-10.57004996
0.16849817	-5.84258491
0.17582418	-4.55400857
0.18315018	-9.53233026
0.19047619	-9.06453326
0.19780220	-4.53538454
0.20512821	-7.99027443
0.21245421	-11.82227343
0.21978022	-4.78745404
0.22710623	-5.74798537
0.23443224	-9.96156275
0.24175824	-5.71671931
0.24908425	-4.40735950
0.25641026	-6.37032666
0.26373627	-5.53601992
0.27106227	-2.67944853
0.27838828	-2.47444134
0.28571429	-3.27746853
0.29304030	-1.55135172
0.30036630	-0.34033228
0.30769231	-1.20202212
0.31501832	-1.44699028
0.32234433	0.00000000
0.32967033	-0.15213498
0.33699634	-1.32479901
0.34432235	-1.07100557
0.35164835	-1.35131349
0.35897436	-2.60496879
0.36630037	-2.94391484
0.37362638	-3.51112896
0.38095238	-4.46081010
0.38827839	-4.57547595
0.39560440	-4.77419234
0.40293041	-5.36853425
0.41025641	-5.60047329
0.41758242	-5.38004953
0.42490843	-5.47758543
0.43223444	-5.65894710
0.43956044	-5.79951809
0.44688645	-6.22999252
0.45421246	-6.42916517
0.46153847	-6.84655920
0.46886447	-7.65735318
0.47619048	-8.01241151
0.48351649	-8.31864688
0.49084250	-8.86462808
0.49816850	-9.40306215
0.50549451	-9.39945766
0.51282052	-9.46217322
0.52014652	-9.72277257
0.52747253	-9.43075848
0.53479854	-9.49999661
0.54212455	-9.03608379
0.54945055	-10.07356499
0.55677656	-15.85648231
0.56410257	-10.64289214
0.57142858	-7.29751237
0.57875458	-7.38396476
0.58608059	-6.97612542
0.59340660	-6.45468780
0.60073261	-6.78485549
0.60805861	-6.52298509
0.61538462	-6.49905207
0.62271063	-6.95595002
0.63003664	-6.71370591
0.63736264	-6.78854445
0.64468865	-7.36121585
0.65201466	-7.42381433
0.65934067	-7.73667969
0.66666667	-8.34635624
0.67399268	-8.66614955
0.68131869	-9.16839288
0.68864470	-9.69073265
0.69597070	-10.19971510
0.70329671	-10.89297366
0.71062272	-11.47666699
0.71794872	-12.03666955
0.72527473	-12.90942282
0.73260074	-13.63161954
0.73992675	-14.19839164
0.74725275	-17.12909156
0.75457876	-20.22859749
0.76190477	-16.79386029
0.76923078	-16.36664304
0.77655678	-17.00720194
0.78388279	-16.89499479
0.79120880	-17.45953805
0.79853481	-17.63593319
0.80586081	-17.89260397
0.81318682	-18.18682212
0.82051283	-18.20443761
0.82783884	-18.49250603
0.83516484	-18.50658166
0.84249085	-18.78892874
0.84981686	-19.08574230
0.85714287	-19.21025000
0.86446887	-19.62413020
0.87179488	-19.69527399
0.87912089	-19.85406852
0.88644689	-20.21900616
0.89377290	-20.34101577
0.90109891	-20.67376737
0.90842492	-21.02671503
0.91575092	-21.25992156
0.92307693	-21.66711092
0.93040294	-21.82600410
0.93772895	-22.09369980
0.94505495	-22.78738038
0.95238096	-22.99176257
0.95970697	-23.56166896
0.96703298	-24.60114836
0.97435898	-24.68478470
0.98168499	-26.33848940
0.98901100	-29.29678477
0.99633701	-27.41968441
1.00366301	-26.69572999
1.01098902	-27.46379862
1.01831503	-27.83999437
1.02564104	-28.41707059
1.03296704	-28.96106634
1.04029305	-29.60196950
1.04761906	-30.21792811
1.05494506	-30.79555419
1.06227107	-31.43808976
1.06959708	-31.83134409
1.07692309	-32.79106426
1.08424909	-34.34968926
1.09157510	-38.94100016
1.09890111	-53.91626663
1.10622712	-41.95297623
1.11355312	-43.43345994
1.12087913	-38.91578788
1.12820514	-36.36211379
1.13553115	-37.11462987
1.14285715	-37.97164415
1.15018316	-40.88629052
1.15750917	-48.72947234
1.16483518	-68.00907228
1.17216118	-45.53533438
1.17948719	-40.23380203
1.18681320	-39.97795834
1.19413921	-40.27918240
1.20146521	-41.98788248
1.20879122	-50.76721808
1.21611723	-43.84252000
1.22344323	-43.66264998
1.23076924	-50.57529008
1.23809525	-43.79469766
1.24542126	-42.58718075
1.25274726	-43.56445912
1.26007327	-43.25809423
1.26739928	-43.74788699
1.27472529	-44.23891043
1.28205129	-44.76365696
1.28937730	-45.46140992
1.29670331	-45.81409930
1.30402932	-46.05492742
1.31135532	-46.25076689
1.31868133	-47.69267077
1.32600734	-48.70100326
1.33333335	-48.25380405
1.34065935	-48.99274553
1.34798536	-49.53316920
1.35531137	-49.67421426
1.36263738	-50.65082005
1.36996338	-51.22789394
1.37728939	-51.95321335
1.38461540	-52.38584408
1.39194140	-52.89022146
1.39926741	-55.64048430
1.40659342	-61.03252059
1.41391943	-93.84683893
1.42124543	-59.35510589
1.42857144	-55.81968163
1.43589745	-56.31783888
1.44322346	-56.31809279
1.45054946	-56.26283366
1.45787547	-57.03823474
1.46520148	-58.40276368
1.47252749	-59.90842138
1.47985349	-58.36046290
1.48717950	-58.41137488
1.49450551	-61.08987773
1.50183152	-60.89853762
1.50915752	-60.54975095
1.51648353	-62.88528652
1.52380954	-63.11526267
1.53113555	-62.23701590
1.53846155	-63.82343932
1.54578756	-64.09213672
1.55311357	-64.35315079
1.56043957	-66.08036431
1.56776558	-65.56503366
1.57509159	-65.78081974
1.58241760	-68.40519040
1.58974360	-65.79808794
1.59706961	-64.20885616
1.60439562	-69.16681567
1.61172163	-70.71239952
1.61904763	-67.61862128
1.62637364	-72.35657072
1.63369965	-67.82661082
1.64102566	-66.63103757
1.64835166	-72.47775202
1.65567767	-73.95681827
1.66300368	-74.56422357
1.67032969	-77.52603592
1.67765569	-75.41848889
1.68498170	-79.66534839
1.69230771	-80.87216069
1.69963372	-71.58269088
1.70695972	-69.29520169
1.71428573	-72.92243910
1.72161174	-96.80327272
1.72893775	-75.94489296
1.73626375	-73.64794363
1.74358976	-78.13371977
1.75091577	-86.91877428
1.75824177	-77.96550761
1.76556778	-78.48176024
1.77289379	-84.03482014
1.78021980	-86.13347862
1.78754580	-76.77153408
1.79487181	-79.69456391
1.80219782	-88.19224284
1.80952383	-79.68934533
1.81684983	-88.65674975
1.82417584	-81.15441231
1.83150185	-80.01413348
1.83882786	-89.77785442
1.84615386	-77.46827237
1.85347987	-73.40394533
1.86080588	-77.53069126
1.86813189	-76.47243897
1.87545789	-76.04282519
1.88278390	-83.93940450
1.89010991	-75.09744160
1.89743592	-75.02483142
1.90476192	-74.83980330
1.91208793	-80.06717160
1.91941394	-74.44886309
1.92673994	-74.73810861
1.93406595	-93.67603460
1.94139196	-78.02321625
1.94871797	-79.12204847
1.95604397	-94.60838950
1.96336998	-78.97069220
1.97069599	-75.53645369
1.97802200	-78.39919717
1.98534800	-86.66641658
1.99267401	-87.93202768
2.00000002	-80.61859541
2.00732603	-78.48827400
2.01465203	-90.99946635
2.02197804	-83.23749400
2.02930405	-86.46118114
2.03663006	-87.79451894
2.04395606	-80.96183818
2.05128207	-82.14968270
2.05860808	-81.94089539
2.06593409	-76.78365795
2.07326009	-79.70547464
2.08058610	-74.55146445
2.08791211	-75.59177151
2.09523811	-82.33418706
2.10256412	-93.74773327
2.10989013	-82.74578919
2.11721614	-78.81025913
2.12454214	-80.14208772
2.13186815	-79.24291927
2.13919416	-77.99684278
2.14652017	-80.88639149
2.15384617	-80.01667043
2.16117218	-78.24150447
2.16849819	-79.59248845
2.17582420	-76.24275051
2.18315020	-77.60795244
2.19047621	-85.12658375
2.19780222	-82.49153288
2.20512823	-85.81790655
2.21245423	-87.28189410
2.21978024	-82.60047115
2.22710625	-98.84277705
2.23443226	-86.88318607
2.24175826	-96.73855576
2.24908427	-87.11286302
2.25641028	-80.34146976
2.26373628	-78.56983300
2.27106229	-82.90470825
2.27838830	-85.63696837
2.28571431	-83.26510326
2.29304031	-77.48883441
2.30036632	-83.37597321
2.30769233	-87.61372380
2.31501834	-85.47859960
2.32234434	-80.76324029
2.32967035	-86.94522703
2.33699636	-79.87091915
2.34432237	-93.34349659
2.35164837	-81.71646469
2.35897438	-84.20805985
2.36630039	-88.75183211
2.37362640	-86.40949434
2.38095240	-81.38369797
2.38827841	-75.98818029
2.39560442	-76.99179332
2.40293043	-90.70744308
2.41025643	-75.08046685
2.41758244	-74.23389530
2.42490845	-73.03262439
2.43223445	-72.59539786
2.43956046	-76.52967863
