f (THz) - Reference	Amplitude - Reference	f (THz) - Signal	Amplitude - Signal	f (THz) - Drude	Amplitude - Drude	
0	0.017517	0	0.00728543	0	0.0132557	
0.0585938	0.041711	0.0585938	0.023462	0.0585938	0.0315707	
0.117188	0.0762671	0.117188	0.0460928	0.117188	0.0577454	
0.175781	0.116169	0.175781	0.0710346	0.175781	0.088013	
0.234375	0.152234	0.234375	0.0922391	0.234375	0.115439	
0.292969	0.176805	0.292969	0.103695	0.292969	0.134213	
0.351563	0.186323	0.351563	0.103578	0.351563	0.141636	
0.410157	0.182044	0.410157	0.0952506	0.410157	0.138593	
0.46875	0.168787	0.46875	0.0843773	0.46875	0.128736	
0.527344	0.152065	0.527344	0.0750615	0.527344	0.116212	
0.585938	0.134989	0.585938	0.0676243	0.585938	0.103387	
0.644532	0.117488	0.644532	0.0596775	0.644532	0.0902009	
0.703126	0.0986462	0.703126	0.0495741	0.703126	0.0759251	
0.76172	0.0792168	0.76172	0.0383259	0.76172	0.0611406	
0.820313	0.0614427	0.820313	0.0283657	0.820313	0.0475582	
0.878907	0.04695	0.878907	0.0210035	0.878907	0.0364506	
0.937501	0.0354891	0.937501	0.0155303	0.937501	0.0276399	
0.996095	0.0259119	0.996095	0.0108751	0.996095	0.0202464	
1.05469	0.0177351	1.05469	0.00687797	1.05469	0.0139047	
1.11328	0.0113489	1.11328	0.00387543	1.11328	0.00892847	
1.17188	0.00723787	1.17188	0.00205712	1.17188	0.0057145	
1.23047	0.00517278	1.23047	0.00124038	1.23047	0.00409883	
1.28906	0.00409167	1.28906	0.000890793	1.28906	0.00325407	
1.34766	0.00316324	1.34766	0.000618947	1.34766	0.0025251	
1.40625	0.00225904	1.40625	0.0003792	1.40625	0.00181007	
1.46485	0.00151939	1.46485	0.000209691	1.46485	0.00122204	
1.52344	0.00100473	1.52344	0.000111818	1.52344	0.000811172	
1.58203	0.000647627	1.58203	5.91168E-5	1.58203	0.00052486	
1.64063	0.000380644	1.64063	2.91924E-5	1.64063	0.000309665	
1.69922	0.000192865	1.69922	1.17659E-5	1.69922	0.000157499	
1.75781	8.6841E-5	1.75781	3.16278E-6	1.75781	7.1186E-5	
1.81641	4.54113E-5	1.81641	5.2448E-6	1.81641	3.73655E-5	
1.875	3.23596E-5	1.875	8.19417E-6	1.875	2.67261E-5	
1.9336	2.31369E-5	1.9336	8.87809E-6	1.9336	1.918E-5	
1.99219	1.44579E-5	1.99219	7.32736E-6	1.99219	1.20295E-5	
