f (THz) - Reference	Amplitude - Reference	f (THz) - Signal	Amplitude - Signal	f (THz) - Drude	Amplitude - Drude	
0.234375	0.152234	0.234375	0.0880926	0.234375	0.115439	
0.292969	0.176805	0.292969	0.102586	0.292969	0.134213	
0.351563	0.186323	0.351563	0.106637	0.351563	0.141636	
0.410157	0.182044	0.410157	0.101457	0.410157	0.138593	
0.46875	0.168787	0.46875	0.0930238	0.46875	0.128736	
0.527344	0.152065	0.527344	0.0864807	0.527344	0.116212	
0.585938	0.134989	0.585938	0.0807267	0.585938	0.103387	
0.644532	0.117488	0.644532	0.0716738	0.644532	0.0902009	
0.703126	0.0986462	0.703126	0.0582529	0.703126	0.0759251	
0.76172	0.0792168	0.76172	0.043186	0.76172	0.0611406	
0.820313	0.0614427	0.820313	0.0302036	0.820313	0.0475582	
0.878907	0.04695	0.878907	0.0211741	0.878907	0.0364506	
0.937501	0.0354891	0.937501	0.0152669	0.937501	0.0276399	
0.996095	0.0259119	0.996095	0.0107811	0.996095	0.0202464	
1.05469	0.0177351	1.05469	0.00701523	1.05469	0.0139047	
1.11328	0.0113489	1.11328	0.00413304	1.11328	0.00892847	
1.17188	0.00723787	1.17188	0.00238212	1.17188	0.0057145	
1.23047	0.00517278	1.23047	0.00162486	1.23047	0.00409883	
1.28906	0.00409167	1.28906	0.00128416	1.28906	0.00325407	
1.34766	0.00316324	1.34766	0.00097119	1.34766	0.0025251	
1.40625	0.00225904	1.40625	0.000657561	1.40625	0.00181007	
1.46485	0.00151939	1.46485	0.000405691	1.46485	0.00122204	
1.52344	0.00100473	1.52344	0.000239991	1.52344	0.000811172	
1.58203	0.000647627	1.58203	0.000138266	1.58203	0.00052486	
1.64063	0.000380644	1.64063	7.16166E-5	1.64063	0.000309665	
1.69922	0.000192865	1.69922	2.89609E-5	1.69922	0.000157499	
