f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	-0.41086	
0.0585938	0.386877	
0.117188	0.777053	
0.175781	0.89002	
0.234375	0.902438	
0.292969	0.88679	
0.351563	0.878989	
0.410157	0.887021	
0.46875	0.900488	
0.527344	0.905597	
0.585938	0.895734	
0.644532	0.872571	
0.703126	0.841956	
0.76172	0.807299	
0.820313	0.762915	
0.878907	0.698852	
0.937501	0.618362	
0.996095	0.528203	
1.05469	0.381905	
1.11328	-0.00940436	
1.17188	-0.862079	
1.23047	-1.86072	
1.28906	-1.95687	
1.34766	-1.46606	
1.40625	-0.419027	
1.46485	5.48824	
