f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	-0.100668	
0.0585938	-0.139768	
0.117188	-0.060946	
0.175781	0.020914	
0.234375	0.0664285	
0.292969	0.0756867	
0.351563	0.052225	
0.410157	0.00823981	
0.46875	-0.0252199	
0.527344	-0.0105336	
0.585938	0.0644006	
0.644532	0.171364	
0.703126	0.260919	
0.76172	0.291727	
0.820313	0.247603	
0.878907	0.154381	
0.937501	0.0961568	
0.996095	0.161757	
1.05469	0.353716	
1.11328	0.524377	
1.17188	0.308388	
1.23047	-0.830107	
1.28906	-2.64299	
1.34766	-0.354157	
1.40625	15.9285	
1.46485	25.2506	
