f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	2.19929	
0.0585938	2.68533	
0.117188	2.85597	
0.175781	2.94388	
0.234375	3.02999	
0.292969	3.05638	
0.351563	2.96371	
0.410157	2.74597	
0.46875	2.47744	
0.527344	2.27652	
0.585938	2.21766	
0.644532	2.27393	
0.703126	2.32827	
0.76172	2.23056	
0.820313	1.87895	
0.878907	1.31998	
0.937501	0.791449	
0.996095	0.528843	
1.05469	0.519559	
1.11328	0.53543	
1.17188	0.0201083	
1.23047	-2.4265	
1.28906	-7.59237	
1.46485	-8.60085	
1.69922	-8.49418	
1.75781	-1.21999	
