# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T15:50:41
# Time [ps]	THz Signal [a.u.]
-65.06666725	0.00000000
-65.03333392	0.00000002
-65.00000059	0.00000007
-64.96666725	0.00000014
-64.93333392	0.00000027
-64.90000059	0.00000031
-64.86666725	0.00000037
-64.83333392	0.00000051
-64.80000059	0.00000065
-64.76666725	0.00000067
-64.73333392	0.00000076
-64.70000059	0.00000094
-64.66666725	0.00000033
-64.63333392	0.00000029
-64.60000058	-0.00000075
-64.56666725	-0.00000035
-64.53333392	-0.00000030
-64.50000058	-0.00000169
-64.46666725	-0.00000195
-64.43333392	-0.00000370
-64.40000058	-0.00000599
-64.36666725	-0.00000483
-64.33333392	-0.00000927
-64.30000058	-0.00000732
-64.26666725	-0.00000819
-64.23333392	-0.00000823
-64.20000058	-0.00001126
-64.16666725	-0.00001050
-64.13333391	-0.00001175
-64.10000058	-0.00001610
-64.06666725	-0.00001326
-64.03333391	-0.00001454
-64.00000058	-0.00001684
-63.96666725	-0.00001601
-63.93333391	-0.00001700
-63.90000058	-0.00001911
-63.86666725	-0.00000979
-63.83333391	-0.00000981
-63.80000058	-0.00001591
-63.76666725	-0.00001271
-63.73333391	-0.00002074
-63.70000058	-0.00002450
-63.66666724	-0.00002462
-63.63333391	-0.00000908
-63.60000058	-0.00001793
-63.56666724	-0.00000470
-63.53333391	-0.00002087
-63.50000058	-0.00000601
-63.46666724	0.00000071
-63.43333391	-0.00000784
-63.40000058	-0.00000056
-63.36666724	0.00000289
-63.33333391	-0.00000123
-63.30000058	0.00000671
-63.26666724	-0.00000159
-63.23333391	0.00002527
-63.20000057	0.00003278
-63.16666724	0.00003747
-63.13333391	0.00003861
-63.10000057	0.00006250
-63.06666724	0.00006221
-63.03333391	0.00005331
-63.00000057	0.00005972
-62.96666724	0.00010310
-62.93333391	0.00007686
-62.90000057	0.00009590
-62.86666724	0.00012505
-62.83333391	0.00012387
-62.80000057	0.00015278
-62.76666724	0.00015663
-62.73333390	0.00017422
-62.70000057	0.00018256
-62.66666724	0.00018894
-62.63333390	0.00020795
-62.60000057	0.00020784
-62.56666724	0.00022453
-62.53333390	0.00022169
-62.50000057	0.00023384
-62.46666724	0.00024605
-62.43333390	0.00026469
-62.40000057	0.00029954
-62.36666724	0.00030888
-62.33333390	0.00028535
-62.30000057	0.00032148
-62.26666723	0.00035671
-62.23333390	0.00033748
-62.20000057	0.00036979
-62.16666723	0.00036422
-62.13333390	0.00036321
-62.10000057	0.00036235
-62.06666723	0.00039882
-62.03333390	0.00038443
-62.00000057	0.00043710
-61.96666723	0.00042482
-61.93333390	0.00046132
-61.90000057	0.00047929
-61.86666723	0.00051885
-61.83333390	0.00054547
-61.80000056	0.00054957
-61.76666723	0.00058509
-61.73333390	0.00063544
-61.70000056	0.00061546
-61.66666723	0.00064873
-61.63333390	0.00065498
-61.60000056	0.00070463
-61.56666723	0.00072340
-61.53333390	0.00074565
-61.50000056	0.00070576
-61.46666723	0.00076276
-61.43333390	0.00077801
-61.40000056	0.00084740
-61.36666723	0.00085954
-61.33333389	0.00086841
-61.30000056	0.00090776
-61.26666723	0.00096701
-61.23333389	0.00092874
-61.20000056	0.00098850
-61.16666723	0.00102093
-61.13333389	0.00104592
-61.10000056	0.00105887
-61.06666723	0.00109210
-61.03333389	0.00105090
-61.00000056	0.00107746
-60.96666722	0.00111728
-60.93333389	0.00110993
-60.90000056	0.00109025
-60.86666722	0.00110181
-60.83333389	0.00109017
-60.80000056	0.00111464
-60.76666722	0.00112054
-60.73333389	0.00113368
-60.70000056	0.00112163
-60.66666722	0.00107049
-60.63333389	0.00103095
-60.60000056	0.00099560
-60.56666722	0.00101702
-60.53333389	0.00088726
-60.50000055	0.00087990
-60.46666722	0.00084342
-60.43333389	0.00082647
-60.40000055	0.00078016
-60.36666722	0.00069418
-60.33333389	0.00060920
-60.30000055	0.00054872
-60.26666722	0.00039153
-60.23333389	0.00033838
-60.20000055	0.00027812
-60.16666722	0.00025779
-60.13333389	0.00009925
-60.10000055	-0.00000760
-60.06666722	-0.00007779
-60.03333388	-0.00015728
-60.00000055	-0.00015830
-59.96666722	-0.00028106
-59.93333388	-0.00042078
-59.90000055	-0.00055606
-59.86666722	-0.00059310
-59.83333388	-0.00068982
-59.80000055	-0.00088669
-59.76666722	-0.00097970
-59.73333388	-0.00106802
-59.70000055	-0.00113488
-59.66666722	-0.00124039
-59.63333388	-0.00129515
-59.60000055	-0.00142046
-59.56666721	-0.00150622
-59.53333388	-0.00165703
-59.50000055	-0.00169948
-59.46666721	-0.00170293
-59.43333388	-0.00185371
-59.40000055	-0.00178914
-59.36666721	-0.00188801
-59.33333388	-0.00199567
-59.30000055	-0.00200435
-59.26666721	-0.00213994
-59.23333388	-0.00213346
-59.20000055	-0.00207698
-59.16666721	-0.00217537
-59.13333388	-0.00216853
-59.10000054	-0.00216283
-59.06666721	-0.00221060
-59.03333388	-0.00223256
-59.00000054	-0.00216645
-58.96666721	-0.00217920
-58.93333388	-0.00215604
-58.90000054	-0.00211463
-58.86666721	-0.00212652
-58.83333388	-0.00209186
-58.80000054	-0.00205035
-58.76666721	-0.00203672
-58.73333388	-0.00199846
-58.70000054	-0.00200316
-58.66666721	-0.00203967
-58.63333387	-0.00185948
-58.60000054	-0.00180227
-58.56666721	-0.00187230
-58.53333387	-0.00176989
-58.50000054	-0.00167169
-58.46666721	-0.00172878
-58.43333387	-0.00162003
-58.40000054	-0.00151175
-58.36666721	-0.00155883
-58.33333387	-0.00142072
-58.30000054	-0.00140810
-58.26666721	-0.00139763
-58.23333387	-0.00140236
-58.20000054	-0.00136394
-58.16666720	-0.00128305
-58.13333387	-0.00118760
-58.10000054	-0.00111595
-58.06666720	-0.00123614
-58.03333387	-0.00116594
-58.00000054	-0.00112013
-57.96666720	-0.00114700
-57.93333387	-0.00109955
-57.90000054	-0.00119706
-57.86666720	-0.00117734
-57.83333387	-0.00112422
-57.80000054	-0.00115498
-57.76666720	-0.00119042
-57.73333387	-0.00114432
-57.70000053	-0.00112306
-57.66666720	-0.00111440
-57.63333387	-0.00115315
-57.60000053	-0.00104313
-57.56666720	-0.00107229
-57.53333387	-0.00115986
-57.50000053	-0.00099730
-57.46666720	-0.00103334
-57.43333387	-0.00099827
-57.40000053	-0.00104143
-57.36666720	-0.00103578
-57.33333387	-0.00099489
-57.30000053	-0.00089858
-57.26666720	-0.00077652
-57.23333386	-0.00085807
-57.20000053	-0.00085852
-57.16666720	-0.00080216
-57.13333386	-0.00084685
-57.10000053	-0.00086879
-57.06666720	-0.00076241
-57.03333386	-0.00085111
-57.00000053	-0.00077222
-56.96666720	-0.00079492
-56.93333386	-0.00076749
-56.90000053	-0.00071871
-56.86666719	-0.00068226
-56.83333386	-0.00069682
-56.80000053	-0.00065552
-56.76666719	-0.00067333
-56.73333386	-0.00061712
-56.70000053	-0.00049797
-56.66666719	-0.00051940
-56.63333386	-0.00054079
-56.60000053	-0.00054732
-56.56666719	-0.00044354
-56.53333386	-0.00040852
-56.50000053	-0.00039056
-56.46666719	-0.00042305
-56.43333386	-0.00033931
-56.40000052	-0.00027724
-56.36666719	-0.00031399
-56.33333386	-0.00035995
-56.30000052	-0.00023295
-56.26666719	-0.00025081
-56.23333386	-0.00020625
-56.20000052	-0.00017448
-56.16666719	-0.00015483
-56.13333386	-0.00025569
-56.10000052	-0.00016384
-56.06666719	-0.00012272
-56.03333386	-0.00006237
-56.00000052	-0.00011818
-55.96666719	0.00011540
-55.93333385	0.00003055
-55.90000052	0.00014541
-55.86666719	0.00012341
-55.83333385	0.00019099
-55.80000052	0.00024563
-55.76666719	0.00032948
-55.73333385	0.00042729
-55.70000052	0.00041669
-55.66666719	0.00044144
-55.63333385	0.00044878
-55.60000052	0.00061998
-55.56666719	0.00060687
-55.53333385	0.00058802
-55.50000052	0.00071347
-55.46666718	0.00080003
-55.43333385	0.00080044
-55.40000052	0.00093257
-55.36666718	0.00093644
-55.33333385	0.00088511
-55.30000052	0.00096828
-55.26666718	0.00105643
-55.23333385	0.00108736
-55.20000052	0.00108641
-55.16666718	0.00114848
-55.13333385	0.00114440
-55.10000052	0.00120328
-55.06666718	0.00118589
-55.03333385	0.00111223
-55.00000051	0.00121596
-54.96666718	0.00121539
-54.93333385	0.00129847
-54.90000051	0.00136768
-54.86666718	0.00140347
-54.83333385	0.00140501
-54.80000051	0.00149277
-54.76666718	0.00139219
-54.73333385	0.00147811
-54.70000051	0.00155180
-54.66666718	0.00155467
-54.63333385	0.00153158
-54.60000051	0.00156268
-54.56666718	0.00163207
-54.53333384	0.00164492
-54.50000051	0.00165719
-54.46666718	0.00173685
-54.43333384	0.00183086
-54.40000051	0.00189381
-54.36666718	0.00200107
-54.33333384	0.00199384
-54.30000051	0.00204487
-54.26666718	0.00212665
-54.23333384	0.00220652
-54.20000051	0.00218733
-54.16666718	0.00240953
-54.13333384	0.00242820
-54.10000051	0.00244013
-54.06666717	0.00253973
-54.03333384	0.00254991
-54.00000051	0.00273729
-53.96666717	0.00281831
-53.93333384	0.00293137
-53.90000051	0.00297804
-53.86666717	0.00307811
-53.83333384	0.00311121
-53.80000051	0.00327048
-53.76666717	0.00323524
-53.73333384	0.00322694
-53.70000051	0.00344916
-53.66666717	0.00344857
-53.63333384	0.00343432
-53.60000050	0.00337294
-53.56666717	0.00337570
-53.53333384	0.00337283
-53.50000050	0.00324269
-53.46666717	0.00315620
-53.43333384	0.00296163
-53.40000050	0.00280005
-53.36666717	0.00251788
-53.33333384	0.00222766
-53.30000050	0.00194645
-53.26666717	0.00165991
-53.23333384	0.00135102
-53.20000050	0.00076456
-53.16666717	0.00025842
-53.13333383	-0.00014632
-53.10000050	-0.00077144
-53.06666717	-0.00131872
-53.03333383	-0.00188575
-53.00000050	-0.00254468
-52.96666717	-0.00309340
-52.93333383	-0.00379858
-52.90000050	-0.00431968
-52.86666717	-0.00492923
-52.83333383	-0.00538608
-52.80000050	-0.00595687
-52.76666716	-0.00647886
-52.73333383	-0.00692321
