# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T15:50:41
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-28.10448595
0.00732601	-27.65233567
0.01465201	-24.17662248
0.02197802	-23.88590407
0.02930403	-30.33903266
0.03663004	-28.93738624
0.04395604	-22.93287742
0.05128205	-18.40932507
0.05860806	-19.67680475
0.06593407	-19.26504018
0.07326007	-13.72536957
0.08058608	-15.86126854
0.08791209	-21.78042670
0.09523809	-10.97356783
0.10256410	-10.10177302
0.10989011	-15.57258495
0.11721612	-8.96633606
0.12454212	-5.80801491
0.13186813	-8.02935897
0.13919414	-8.07866133
0.14652015	-4.59134906
0.15384615	-5.47937638
0.16117216	-6.47898982
0.16849817	-3.37127783
0.17582417	-3.63041758
0.18315018	-6.87935072
0.19047619	-5.11239050
0.19780220	-3.63409072
0.20512820	-5.17055082
0.21245421	-5.73430984
0.21978022	-3.92735689
0.22710623	-3.54268679
0.23443223	-4.24197755
0.24175824	-3.84166502
0.24908425	-2.93447895
0.25641025	-2.88572312
0.26373626	-2.83757190
0.27106227	-1.69127462
0.27838828	-0.93552475
0.28571428	-1.18897708
0.29304029	-0.84184738
0.30036630	0.00000000
0.30769231	-0.29535546
0.31501831	-0.92025258
0.32234432	-0.37249315
0.32967033	-0.35667019
0.33699633	-1.48444388
0.34432234	-1.85976598
0.35164835	-1.64782751
0.35897436	-2.05924177
0.36630036	-2.28063447
0.37362637	-2.27934584
0.38095238	-2.38821117
0.38827839	-2.17174007
0.39560439	-2.09782348
0.40293040	-2.24574683
0.41025641	-1.97997254
0.41758241	-1.71424821
0.42490842	-1.67243150
0.43223443	-1.56596603
0.43956044	-1.68543171
0.44688644	-1.82587230
0.45421245	-1.76777381
0.46153846	-2.12199931
0.46886447	-2.58481866
0.47619047	-2.86026929
0.48351648	-3.24562744
0.49084249	-3.60990320
0.49816849	-4.24120054
0.50549450	-4.37844739
0.51282051	-4.32995612
0.52014652	-4.94155472
0.52747252	-5.08981364
0.53479853	-5.23712054
0.54212454	-5.22641249
0.54945055	-6.32573321
0.55677655	-10.17077684
0.56410256	-7.20263112
0.57142857	-4.67318007
0.57875457	-4.88410182
0.58608058	-4.62165110
0.59340659	-4.11687733
0.60073260	-4.30494084
0.60805860	-4.20742292
0.61538461	-4.15497021
0.62271062	-4.61940997
0.63003663	-4.63245747
0.63736263	-4.66082204
0.64468864	-5.29149937
0.65201465	-5.46920340
0.65934065	-5.74603399
0.66666666	-6.23654081
0.67399267	-6.38171684
0.68131868	-6.76107875
0.68864468	-6.92005379
0.69597069	-7.12977453
0.70329670	-7.57969439
0.71062271	-7.73091561
0.71794871	-7.89066823
0.72527472	-8.31170647
0.73260073	-8.60595353
0.73992673	-8.86510032
0.74725274	-10.97789305
