# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T20:31:22
# Time [ps]	THz Signal [a.u.]
-65.06666730	0.00000000
-65.03333397	0.00000001
-65.00000064	0.00000006
-64.96666730	0.00000012
-64.93333397	0.00000020
-64.90000064	0.00000025
-64.86666730	0.00000028
-64.83333397	0.00000047
-64.80000063	0.00000047
-64.76666730	0.00000051
-64.73333397	0.00000065
-64.70000063	0.00000040
-64.66666730	-0.00000010
-64.63333397	0.00000036
-64.60000063	0.00000068
-64.56666730	-0.00000018
-64.53333397	-0.00000083
-64.50000063	-0.00000240
-64.46666730	-0.00000286
-64.43333397	-0.00000237
-64.40000063	-0.00000398
-64.36666730	-0.00000378
-64.33333396	-0.00000417
-64.30000063	-0.00000470
-64.26666730	-0.00000737
-64.23333396	-0.00000563
-64.20000063	-0.00000786
-64.16666730	-0.00000863
-64.13333396	-0.00000965
-64.10000063	-0.00001114
-64.06666730	-0.00001068
-64.03333396	-0.00001522
-64.00000063	-0.00001375
-63.96666729	-0.00001926
-63.93333396	-0.00002459
-63.90000063	-0.00002419
-63.86666729	-0.00001936
-63.83333396	-0.00002773
-63.80000063	-0.00002825
-63.76666729	-0.00002686
-63.73333396	-0.00003139
-63.70000063	-0.00003647
-63.66666729	-0.00003870
-63.63333396	-0.00003651
-63.60000063	-0.00003589
-63.56666729	-0.00003155
-63.53333396	-0.00003777
-63.50000062	-0.00004369
-63.46666729	-0.00005021
-63.43333396	-0.00003985
-63.40000062	-0.00004187
-63.36666729	-0.00004255
-63.33333396	-0.00005534
-63.30000062	-0.00005337
-63.26666729	-0.00005375
-63.23333396	-0.00004096
-63.20000062	-0.00004050
-63.16666729	-0.00004010
-63.13333395	-0.00004206
-63.10000062	-0.00002843
-63.06666729	-0.00003708
-63.03333395	-0.00003217
-63.00000062	-0.00000946
-62.96666729	-0.00002260
-62.93333395	-0.00001180
-62.90000062	0.00000024
-62.86666729	0.00001641
-62.83333395	0.00000994
-62.80000062	0.00002397
-62.76666729	0.00003077
-62.73333395	0.00005543
-62.70000062	0.00009000
-62.66666728	0.00010661
-62.63333395	0.00010314
-62.60000062	0.00010644
-62.56666728	0.00015612
-62.53333395	0.00015576
-62.50000062	0.00017705
-62.46666728	0.00020171
-62.43333395	0.00021475
-62.40000062	0.00023687
-62.36666728	0.00022978
-62.33333395	0.00025890
-62.30000061	0.00028387
-62.26666728	0.00032254
-62.23333395	0.00031652
-62.20000061	0.00034196
-62.16666728	0.00040109
-62.13333395	0.00041759
-62.10000061	0.00043986
-62.06666728	0.00047576
-62.03333395	0.00049752
-62.00000061	0.00055398
-61.96666728	0.00059485
-61.93333395	0.00059771
-61.90000061	0.00065410
-61.86666728	0.00070114
-61.83333394	0.00072044
-61.80000061	0.00074899
-61.76666728	0.00077634
-61.73333394	0.00080589
-61.70000061	0.00079755
-61.66666728	0.00090563
-61.63333394	0.00089011
-61.60000061	0.00088941
-61.56666728	0.00097453
-61.53333394	0.00096557
-61.50000061	0.00099598
-61.46666727	0.00108610
-61.43333394	0.00105070
-61.40000061	0.00109625
-61.36666727	0.00115160
-61.33333394	0.00114259
-61.30000061	0.00118341
-61.26666727	0.00117102
-61.23333394	0.00118003
-61.20000061	0.00122987
-61.16666727	0.00122858
-61.13333394	0.00126297
-61.10000061	0.00126949
-61.06666727	0.00127303
-61.03333394	0.00125035
-61.00000060	0.00133184
-60.96666727	0.00126500
-60.93333394	0.00130402
-60.90000060	0.00125948
-60.86666727	0.00127924
-60.83333394	0.00127481
-60.80000060	0.00128020
-60.76666727	0.00123396
-60.73333394	0.00117364
-60.70000060	0.00117004
