# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T20:31:22
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-45.24488561
0.00732601	-27.05926875
0.01465201	-19.38374852
0.02197802	-17.80914832
0.02930403	-23.52491611
0.03663004	-22.41134377
0.04395604	-14.35846455
0.05128205	-10.64027763
0.05860806	-11.90149521
0.06593407	-11.02526136
0.07326007	-6.04089807
0.08058608	-7.90599639
0.08791209	-19.62038733
0.09523809	-6.98619176
0.10256410	-6.73725971
0.10989011	-15.36132414
0.11721612	-8.69989461
0.12454212	-5.66336902
0.13186813	-8.58246063
0.13919414	-10.06568809
0.14652015	-6.67945132
0.15384615	-8.08608183
0.16117216	-10.30263225
0.16849817	-6.75104695
0.17582417	-6.77501784
0.18315018	-10.71923408
0.19047619	-8.37289942
0.19780220	-6.31896279
0.20512820	-8.21871805
0.21245421	-8.29779576
0.21978022	-5.87017608
0.22710623	-5.49017161
0.23443223	-5.85719335
0.24175824	-4.92307973
0.24908425	-3.69986871
0.25641025	-3.54506713
0.26373626	-3.44305951
0.27106227	-2.16223511
0.27838828	-1.52721810
0.28571428	-2.03174987
0.29304029	-1.49203478
0.30036630	-0.42099750
0.30769231	-0.74197101
0.31501831	-1.02121009
0.32234432	-0.00678456
0.32967033	0.00000000
0.33699633	-1.11420744
0.34432234	-1.37296759
0.35164835	-1.53150441
0.35897436	-2.51134149
0.36630036	-3.08343485
0.37362637	-3.67290722
0.38095238	-4.75055775
0.38827839	-5.24022654
0.39560439	-5.98091021
0.40293040	-7.25689446
0.41025641	-7.84055894
0.41758241	-8.31998531
0.42490842	-8.97123371
0.43223443	-9.35833279
0.43956044	-9.83057638
0.44688644	-10.07626082
0.45421245	-10.00775051
0.46153846	-10.30943378
0.46886447	-10.52252567
0.47619047	-10.44532289
0.48351648	-10.55229581
0.49084249	-10.64864332
0.49816849	-10.72650973
0.50549450	-10.53190514
0.51282051	-10.42892693
0.52014652	-10.46720722
0.52747252	-10.34795279
0.53479853	-10.48487660
0.54212454	-10.00424129
0.54945055	-10.90311861
0.55677655	-14.72890930
0.56410256	-11.36595533
0.57142857	-8.62160093
0.57875457	-8.69755631
0.58608058	-8.41844066
0.59340659	-7.81725431
0.60073260	-7.96059613
0.60805860	-7.95683184
0.61538461	-8.03255307
0.62271062	-8.52179566
0.63003663	-8.69704262
0.63736263	-8.99446230
0.64468864	-9.75633094
0.65201465	-10.25975783
0.65934065	-10.93054304
0.66666666	-11.72913303
0.67399267	-12.20060274
0.68131868	-13.00680312
0.68864468	-13.63679013
0.69597069	-14.20727866
0.70329670	-15.07971876
0.71062270	-15.56056212
0.71794871	-16.02575980
0.72527472	-16.69413491
0.73260073	-17.21945002
0.73992673	-17.74112703
0.74725274	-19.96052353
0.75457875	-22.12795576
0.76190476	-19.76002963
0.76923076	-19.35647740
0.77655677	-19.98571739
0.78388278	-19.92510349
0.79120878	-20.34104766
0.79853479	-20.46657996
0.80586080	-20.67732688
0.81318681	-20.93579083
0.82051281	-20.90257071
0.82783882	-21.05605463
0.83516483	-21.05960799
0.84249084	-21.24905558
0.84981684	-21.41485755
0.85714285	-21.56298582
0.86446886	-21.89538764
0.87179486	-21.87799159
0.87912087	-22.05840628
0.88644688	-22.41601325
0.89377289	-22.60008720
0.90109889	-23.08694135
0.90842490	-23.51921634
0.91575091	-23.81039549
0.92307692	-24.33197243
0.93040292	-24.62248955
0.93772893	-25.01233944
0.94505494	-25.70471128
0.95238094	-25.92835443
0.95970695	-26.54091747
0.96703296	-27.43708349
0.97435897	-27.53095844
0.98168497	-29.04642507
0.98901098	-31.41647491
0.99633699	-30.25966379
1.00366300	-29.85056237
1.01098900	-30.64739964
1.01831501	-31.12517223
1.02564102	-31.63516348
1.03296702	-32.15917637
1.04029303	-32.65823594
1.04761904	-33.12806029
1.05494505	-33.96038059
1.06227105	-34.56206873
1.06959706	-35.03216206
1.07692307	-36.04797005
1.08424908	-36.86556118
1.09157508	-41.07075695
1.09890109	-62.31933954
1.10622710	-43.46460391
1.11355310	-44.20273794
1.12087911	-41.86029330
1.12820512	-39.82446226
1.13553113	-40.55162131
1.14285713	-41.02567308
1.15018314	-43.39301899
1.15750915	-49.23335972
1.16483516	-68.23408466
1.17216116	-47.31658916
1.17948717	-43.28002047
1.18681318	-44.37064280
1.19413918	-44.27579839
1.20146519	-45.44940693
1.20879120	-52.83721103
1.21611721	-47.36509262
1.22344321	-47.75352881
1.23076922	-51.93111019
1.23809523	-47.88140881
1.24542124	-48.11512981
1.25274724	-48.37399374
1.26007325	-48.32839177
1.26739926	-49.53422117
1.27472526	-50.09682108
1.28205127	-51.31266894
1.28937728	-50.75821022
1.29670329	-51.56243254
1.30402929	-53.48807814
1.31135530	-51.90323151
1.31868131	-53.47595673
1.32600732	-56.07232448
1.33333332	-55.21046258
