# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T17:17:27
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-35.37436286
0.00732601	-23.64848802
0.01465201	-16.05705991
0.02197802	-14.83734149
0.02930403	-21.21772778
0.03663004	-20.18424295
0.04395604	-12.71968486
0.05128205	-9.12636909
0.05860806	-10.57365305
0.06593407	-10.06175896
0.07326007	-5.08933766
0.08058608	-7.13680434
0.08791209	-17.55348846
0.09523809	-5.70840873
0.10256410	-5.18971396
0.10989011	-10.06690948
0.11721612	-6.19444833
0.12454212	-3.53349311
0.13186813	-4.84399591
0.13919414	-6.68340527
0.14652015	-6.19189424
0.15384615	-6.74428512
0.16117216	-7.52284993
0.16849817	-5.92552272
0.17582417	-4.94431631
0.18315018	-5.97726368
0.19047619	-6.13469743
0.19780220	-4.13465874
0.20512820	-3.87730442
0.21245421	-5.78979776
0.21978022	-4.72288499
0.22710623	-2.43209632
0.23443223	-3.08923166
0.24175824	-3.94574943
0.24908425	-1.98924857
0.25641025	-1.56326658
0.26373626	-2.46281747
0.27106227	-1.99614604
0.27838828	-0.93675826
0.28571428	-1.24671760
0.29304029	-1.88010780
0.30036630	-0.55595237
0.30769231	-0.30339410
0.31501831	-1.49089406
0.32234432	-0.59691625
0.32967033	0.00000000
0.33699633	-1.20405706
0.34432234	-1.58596556
0.35164835	-1.31272243
0.35897436	-2.15241036
0.36630036	-3.14021370
0.37362637	-3.62075412
0.38095238	-4.20723970
0.38827839	-5.13133801
0.39560439	-6.14136959
0.40293040	-6.88818857
0.41025641	-7.80437338
0.41758241	-8.83143294
0.42490842	-9.30580196
0.43223443	-9.70136919
0.43956044	-10.58821999
0.44688644	-10.99207860
0.45421245	-10.80591065
0.46153846	-11.43068035
0.46886446	-12.10030729
0.47619047	-12.30545176
0.48351648	-12.55098891
0.49084249	-12.36845245
0.49816849	-12.41030447
0.50549450	-12.27735302
0.51282051	-12.25686577
0.52014652	-12.94556860
0.52747252	-13.10492496
0.53479853	-12.86969880
0.54212454	-12.68422509
0.54945054	-14.03348315
0.55677655	-17.70293484
0.56410256	-14.57025865
0.57142857	-11.71606115
0.57875457	-11.42286131
0.58608058	-11.42897609
0.59340659	-11.42367075
0.60073260	-11.92470979
0.60805860	-12.18448667
0.61538461	-12.55590551
0.62271062	-13.67252872
0.63003662	-14.34006388
0.63736263	-14.62258496
0.64468864	-15.53283787
0.65201465	-15.86216720
0.65934065	-16.06869298
0.66666666	-17.14336995
0.67399267	-18.06516383
0.68131868	-18.63899046
0.68864468	-19.03163199
0.69597069	-19.45630265
0.70329670	-20.27476079
0.71062270	-20.94089925
0.71794871	-21.61177829
0.72527472	-22.52059853
0.73260073	-22.88076541
0.73992673	-23.04080078
0.74725274	-25.42773537
0.75457875	-28.43279560
0.76190476	-25.27131911
0.76923076	-24.40633788
0.77655677	-24.88407687
0.78388278	-24.66545858
0.79120878	-25.06270925
0.79853479	-25.30969226
0.80586080	-25.38826726
0.81318681	-25.86037236
0.82051281	-26.19764224
0.82783882	-26.82159118
0.83516483	-27.63499473
0.84249084	-27.89366418
0.84981684	-27.80856670
0.85714285	-28.14585972
0.86446886	-28.65713303
0.87179486	-29.11937269
0.87912087	-30.07934490
0.88644688	-30.49106015
0.89377289	-30.35471024
0.90109889	-30.64274289
0.90842490	-30.92708116
0.91575091	-31.82625777
0.92307692	-32.55863715
0.93040292	-31.94582355
0.93772893	-32.41596199
0.94505494	-33.66613169
0.95238094	-33.93759987
0.95970695	-34.88561463
0.96703296	-35.92945468
0.97435897	-36.05196672
0.98168497	-37.87017999
0.98901098	-40.37247762
0.99633699	-39.97009903
1.00366300	-39.43708151
1.01098900	-39.08561456
1.01831501	-39.36291768
1.02564102	-40.07333215
1.03296702	-40.82000848
1.04029303	-42.01710671
1.04761904	-42.04093200
1.05494505	-42.28131732
1.06227105	-43.51941495
1.06959706	-44.74641691
1.07692307	-46.34413447
1.08424908	-46.94569794
1.09157508	-50.10522653
1.09890109	-62.63582271
1.10622710	-54.73577925
1.11355310	-56.02313551
1.12087911	-52.83297918
1.12820512	-49.18635512
1.13553113	-49.58966704
1.14285713	-49.48308332
1.15018314	-50.93889044
1.15750915	-57.38629178
1.16483516	-71.50873438
1.17216116	-54.63253051
1.17948717	-51.55717317
1.18681318	-52.46128640
1.19413918	-53.73637724
1.20146519	-56.30823824
1.20879120	-63.87903584
1.21611721	-54.73017412
1.22344321	-54.24840428
1.23076922	-60.01810105
1.23809523	-59.64102615
1.24542124	-57.43519127
1.25274724	-56.67958272
1.26007325	-55.59716885
1.26739926	-54.91979379
1.27472526	-56.45599222
1.28205127	-59.31786810
1.28937728	-57.87998432
1.29670329	-57.37154002
1.30402929	-59.11951078
1.31135530	-62.50406704
1.31868131	-62.37797503
1.32600732	-62.17699963
1.33333332	-64.60166434
1.34065933	-61.73859105
1.34798534	-61.58408230
1.35531134	-65.69012492
1.36263735	-66.27596753
1.36996336	-64.98971522
1.37728937	-65.03655278
1.38461537	-66.45741502
1.39194138	-66.19133296
1.39926739	-66.91919238
1.40659339	-72.73211808
1.41391940	-83.03444392
1.42124541	-68.95251318
1.42857142	-65.83503269
1.43589742	-67.93504401
1.44322343	-72.41215963
1.45054944	-73.50522943
1.45787545	-78.05960031
1.46520145	-71.27025118
1.47252746	-68.10741984
1.47985347	-68.46750814
1.48717947	-70.61418369
1.49450548	-74.87559467
1.50183149	-80.61157494
1.50915750	-82.87383181
1.51648350	-84.08383618
1.52380951	-74.07935942
1.53113552	-69.51695802
1.53846153	-74.84926152
1.54578753	-74.36095308
1.55311354	-70.32235684
1.56043955	-68.54597439
1.56776555	-67.52610118
1.57509156	-72.76925078
1.58241757	-86.92585924
1.58974358	-77.50166273
1.59706958	-77.61170829
1.60439559	-73.74794322
1.61172160	-67.64497480
1.61904761	-73.11930574
1.62637361	-81.17924097
1.63369962	-78.25381442
1.64102563	-75.23067620
1.64835163	-76.16480787
1.65567764	-69.64504497
1.66300365	-70.75174967
1.67032966	-77.86553427
1.67765566	-68.70281191
1.68498167	-70.59711446
1.69230768	-83.02501166
1.69963369	-72.71560949
1.70695969	-81.80094843
1.71428570	-73.19169877
1.72161171	-69.11390298
1.72893771	-72.39801907
1.73626372	-78.38244335
1.74358973	-68.86472561
1.75091574	-70.88984465
1.75824174	-76.71361652
1.76556775	-68.95728763
1.77289376	-72.55137718
1.78021977	-72.86385440
1.78754577	-70.03854731
