# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T17:19:37
# Time [ps]	THz Signal [a.u.]
-65.06666732	0.00000000
-65.03333399	0.00000002
-65.00000065	0.00000009
-64.96666732	0.00000013
-64.93333399	0.00000023
-64.90000065	0.00000038
-64.86666732	0.00000056
-64.83333399	0.00000067
-64.80000065	0.00000101
-64.76666732	0.00000112
-64.73333399	0.00000129
-64.70000065	0.00000109
-64.66666732	0.00000053
-64.63333398	-0.00000013
-64.60000065	-0.00000019
-64.56666732	-0.00000133
-64.53333398	-0.00000159
-64.50000065	-0.00000170
-64.46666732	-0.00000290
-64.43333398	-0.00000208
-64.40000065	-0.00000482
-64.36666732	-0.00000734
-64.33333398	-0.00000667
-64.30000065	-0.00000862
-64.26666732	-0.00001080
-64.23333398	-0.00001048
-64.20000065	-0.00001269
-64.16666731	-0.00001258
-64.13333398	-0.00001882
-64.10000065	-0.00001638
-64.06666731	-0.00002201
-64.03333398	-0.00002595
-64.00000065	-0.00002736
-63.96666731	-0.00003495
-63.93333398	-0.00003029
-63.90000065	-0.00003579
-63.86666731	-0.00003624
-63.83333398	-0.00004478
-63.80000064	-0.00005171
-63.76666731	-0.00005729
-63.73333398	-0.00005741
-63.70000064	-0.00006467
-63.66666731	-0.00006721
-63.63333398	-0.00007394
-63.60000064	-0.00007820
-63.56666731	-0.00008698
-63.53333398	-0.00007685
-63.50000064	-0.00007204
-63.46666731	-0.00007864
-63.43333398	-0.00008962
-63.40000064	-0.00009451
-63.36666731	-0.00009020
-63.33333397	-0.00011670
-63.30000064	-0.00009693
-63.26666731	-0.00010813
-63.23333397	-0.00011583
-63.20000064	-0.00011044
-63.16666731	-0.00011126
-63.13333397	-0.00011309
-63.10000064	-0.00012858
-63.06666731	-0.00012804
-63.03333397	-0.00013614
-63.00000064	-0.00011158
-62.96666730	-0.00011601
-62.93333397	-0.00009331
-62.90000064	-0.00008399
-62.86666730	-0.00007494
-62.83333397	-0.00007227
-62.80000064	-0.00003391
-62.76666730	-0.00001662
-62.73333397	-0.00000553
-62.70000064	-0.00000082
-62.66666730	0.00002305
-62.63333397	0.00003363
-62.60000063	0.00006143
-62.56666730	0.00007093
-62.53333397	0.00010832
-62.50000063	0.00012003
-62.46666730	0.00012124
-62.43333397	0.00016257
-62.40000063	0.00016165
-62.36666730	0.00017766
-62.33333397	0.00021007
-62.30000063	0.00022915
-62.26666730	0.00026753
-62.23333397	0.00031256
-62.20000063	0.00032528
-62.16666730	0.00036084
-62.13333396	0.00038038
-62.10000063	0.00042128
-62.06666730	0.00041777
-62.03333396	0.00047910
-62.00000063	0.00053994
-61.96666730	0.00053853
-61.93333396	0.00058475
-61.90000063	0.00058327
-61.86666730	0.00064882
-61.83333396	0.00070356
-61.80000063	0.00070456
-61.76666729	0.00078399
-61.73333396	0.00081300
-61.70000063	0.00082158
-61.66666729	0.00087340
-61.63333396	0.00090526
-61.60000063	0.00096231
-61.56666729	0.00096723
-61.53333396	0.00100843
-61.50000063	0.00106450
-61.46666729	0.00109586
-61.43333396	0.00116948
-61.40000062	0.00121753
-61.36666729	0.00127723
-61.33333396	0.00134969
-61.30000062	0.00137095
-61.26666729	0.00139154
-61.23333396	0.00141921
-61.20000062	0.00142421
-61.16666729	0.00149394
-61.13333396	0.00150645
-61.10000062	0.00153288
-61.06666729	0.00155874
-61.03333396	0.00156481
-61.00000062	0.00160735
-60.96666729	0.00162279
-60.93333395	0.00164546
-60.90000062	0.00170771
-60.86666729	0.00169281
-60.83333395	0.00168466
-60.80000062	0.00170248
-60.76666729	0.00171170
-60.73333395	0.00168751
-60.70000062	0.00168852
-60.66666729	0.00166214
-60.63333395	0.00174047
-60.60000062	0.00169261
-60.56666728	0.00165578
-60.53333395	0.00158595
-60.50000062	0.00154884
-60.46666728	0.00150605
-60.43333395	0.00143986
-60.40000062	0.00140566
-60.36666728	0.00140886
-60.33333395	0.00130619
-60.30000062	0.00123328
-60.26666728	0.00104379
-60.23333395	0.00094181
-60.20000062	0.00090283
-60.16666728	0.00073396
-60.13333395	0.00063973
-60.10000061	0.00056263
-60.06666728	0.00045581
-60.03333395	0.00037767
-60.00000061	0.00022738
-59.96666728	0.00009536
-59.93333395	-0.00005267
-59.90000061	-0.00015133
-59.86666728	-0.00030906
-59.83333395	-0.00034985
-59.80000061	-0.00046432
-59.76666728	-0.00060487
-59.73333394	-0.00081840
-59.70000061	-0.00090083
-59.66666728	-0.00103711
-59.63333394	-0.00105972
-59.60000061	-0.00120257
-59.56666728	-0.00131722
-59.53333394	-0.00146051
-59.50000061	-0.00158865
-59.46666728	-0.00172125
-59.43333394	-0.00189651
-59.40000061	-0.00191028
-59.36666727	-0.00195082
-59.33333394	-0.00207393
-59.30000061	-0.00212334
-59.26666727	-0.00215261
-59.23333394	-0.00215908
-59.20000061	-0.00218100
-59.16666727	-0.00222789
-59.13333394	-0.00219054
-59.10000061	-0.00226681
-59.06666727	-0.00224956
-59.03333394	-0.00214973
-59.00000061	-0.00221933
-58.96666727	-0.00211924
-58.93333394	-0.00208782
-58.90000060	-0.00209234
-58.86666727	-0.00198950
-58.83333394	-0.00202599
-58.80000060	-0.00194996
-58.76666727	-0.00182875
-58.73333394	-0.00188991
-58.70000060	-0.00183276
-58.66666727	-0.00176276
-58.63333394	-0.00183320
-58.60000060	-0.00173381
-58.56666727	-0.00164812
-58.53333393	-0.00161286
-58.50000060	-0.00151743
-58.46666727	-0.00154554
-58.43333393	-0.00148760
-58.40000060	-0.00139904
-58.36666727	-0.00138958
-58.33333393	-0.00144380
-58.30000060	-0.00130747
-58.26666727	-0.00117758
-58.23333393	-0.00119573
-58.20000060	-0.00118482
-58.16666726	-0.00111957
-58.13333393	-0.00121230
-58.10000060	-0.00109404
-58.06666726	-0.00109220
-58.03333393	-0.00116189
-58.00000060	-0.00096999
-57.96666726	-0.00106054
-57.93333393	-0.00115189
-57.90000060	-0.00106964
-57.86666726	-0.00111820
-57.83333393	-0.00113573
-57.80000060	-0.00121336
-57.76666726	-0.00121098
-57.73333393	-0.00124894
-57.70000059	-0.00124333
-57.66666726	-0.00118563
-57.63333393	-0.00121990
-57.60000059	-0.00117412
-57.56666726	-0.00110422
-57.53333393	-0.00122886
-57.50000059	-0.00115340
-57.46666726	-0.00105867
-57.43333393	-0.00111650
-57.40000059	-0.00104752
-57.36666726	-0.00092403
-57.33333392	-0.00086995
-57.30000059	-0.00079651
-57.26666726	-0.00081110
-57.23333392	-0.00069709
-57.20000059	-0.00067508
-57.16666726	-0.00066683
-57.13333392	-0.00053603
-57.10000059	-0.00069418
-57.06666726	-0.00055810
-57.03333392	-0.00053471
-57.00000059	-0.00049068
-56.96666726	-0.00041352
-56.93333392	-0.00030721
-56.90000059	-0.00025247
-56.86666725	-0.00030893
-56.83333392	-0.00033391
-56.80000059	-0.00022249
-56.76666725	-0.00019072
-56.73333392	-0.00016469
-56.70000059	-0.00012469
-56.66666725	0.00002355
-56.63333392	-0.00003581
-56.60000059	0.00005066
-56.56666725	0.00011770
-56.53333392	0.00018878
-56.50000058	0.00013582
-56.46666725	0.00025376
-56.43333392	0.00022259
-56.40000058	0.00029950
-56.36666725	0.00029223
-56.33333392	0.00032643
-56.30000058	0.00047673
-56.26666725	0.00048519
-56.23333392	0.00049859
-56.20000058	0.00049258
-56.16666725	0.00053333
-56.13333391	0.00061658
-56.10000058	0.00060236
-56.06666725	0.00070749
-56.03333391	0.00072549
-56.00000058	0.00081853
-55.96666725	0.00077909
-55.93333391	0.00074882
-55.90000058	0.00083594
-55.86666725	0.00086691
-55.83333391	0.00101638
-55.80000058	0.00090146
-55.76666725	0.00095620
-55.73333391	0.00100149
-55.70000058	0.00100949
-55.66666724	0.00107358
-55.63333391	0.00110667
-55.60000058	0.00110275
-55.56666724	0.00118424
-55.53333391	0.00110747
-55.50000058	0.00119969
-55.46666724	0.00131928
-55.43333391	0.00117640
-55.40000058	0.00115802
-55.36666724	0.00118341
-55.33333391	0.00133511
-55.30000057	0.00117028
-55.26666724	0.00120519
-55.23333391	0.00127673
-55.20000057	0.00119623
-55.16666724	0.00118994
-55.13333391	0.00128455
-55.10000057	0.00117685
-55.06666724	0.00121706
-55.03333391	0.00121304
-55.00000057	0.00120496
-54.96666724	0.00127088
-54.93333390	0.00123805
-54.90000057	0.00122718
-54.86666724	0.00131162
-54.83333390	0.00124405
-54.80000057	0.00130640
-54.76666724	0.00130238
-54.73333390	0.00126811
-54.70000057	0.00133161
-54.66666724	0.00126037
-54.63333390	0.00131988
-54.60000057	0.00119829
-54.56666724	0.00119265
-54.53333390	0.00134037
-54.50000057	0.00126481
-54.46666723	0.00125189
-54.43333390	0.00136609
-54.40000057	0.00135600
-54.36666723	0.00129930
-54.33333390	0.00128066
-54.30000057	0.00135239
-54.26666723	0.00138712
-54.23333390	0.00134985
-54.20000057	0.00141734
-54.16666723	0.00134797
-54.13333390	0.00144331
-54.10000056	0.00153657
-54.06666723	0.00147850
-54.03333390	0.00154257
-54.00000056	0.00156535
-53.96666723	0.00162158
-53.93333390	0.00160538
-53.90000056	0.00170037
-53.86666723	0.00173872
-53.83333390	0.00175417
-53.80000056	0.00164963
-53.76666723	0.00168519
-53.73333390	0.00176119
-53.70000056	0.00175990
-53.66666723	0.00167909
-53.63333389	0.00166933
-53.60000056	0.00168704
-53.56666723	0.00160806
-53.53333389	0.00160744
-53.50000056	0.00150496
-53.46666723	0.00160158
-53.43333389	0.00152110
-53.40000056	0.00163777
-53.36666723	0.00152247
-53.33333389	0.00160449
-53.30000056	0.00172219
-53.26666722	0.00170417
-53.23333389	0.00172258
-53.20000056	0.00167818
-53.16666722	0.00164133
-53.13333389	0.00160832
-53.10000056	0.00170718
-53.06666722	0.00175102
-53.03333389	0.00188028
-53.00000056	0.00184702
-52.96666722	0.00190846
-52.93333389	0.00190589
-52.90000055	0.00194186
-52.86666722	0.00209561
-52.83333389	0.00212314
-52.80000055	0.00212240
-52.76666722	0.00220947
-52.73333389	0.00225113
-52.70000055	0.00222889
-52.66666722	0.00226549
-52.63333389	0.00236183
-52.60000055	0.00250268
-52.56666722	0.00251769
-52.53333389	0.00247247
-52.50000055	0.00237339
-52.46666722	0.00241060
-52.43333388	0.00245460
-52.40000055	0.00245678
-52.36666722	0.00242483
-52.33333388	0.00240236
-52.30000055	0.00233398
-52.26666722	0.00228991
-52.23333388	0.00229362
-52.20000055	0.00225817
-52.16666722	0.00227840
-52.13333388	0.00220210
-52.10000055	0.00214309
-52.06666721	0.00201405
-52.03333388	0.00199552
-52.00000055	0.00183772
-51.96666721	0.00166857
-51.93333388	0.00159501
-51.90000055	0.00148235
-51.86666721	0.00129577
-51.83333388	0.00115036
-51.80000055	0.00101235
-51.76666721	0.00089834
-51.73333388	0.00073861
-51.70000054	0.00063024
-51.66666721	0.00046961
-51.63333388	0.00025764
-51.60000054	0.00018547
-51.56666721	0.00012296
-51.53333388	0.00000812
-51.50000054	-0.00016688
-51.46666721	-0.00028474
-51.43333388	-0.00027764
-51.40000054	-0.00039307
-51.36666721	-0.00046843
-51.33333388	-0.00051677
-51.30000054	-0.00047162
-51.26666721	-0.00060163
-51.23333387	-0.00067359
-51.20000054	-0.00068605
-51.16666721	-0.00065974
-51.13333387	-0.00060073
-51.10000054	-0.00063952
-51.06666721	-0.00057110
-51.03333387	-0.00055278
-51.00000054	-0.00051342
-50.96666721	-0.00042851
-50.93333387	-0.00046903
-50.90000054	-0.00030289
-50.86666720	-0.00026603
-50.83333387	-0.00012111
-50.80000054	-0.00012528
-50.76666720	0.00000077
-50.73333387	-0.00000154
-50.70000054	0.00023806
-50.66666720	0.00035873
-50.63333387	0.00057454
