# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:28:48
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-50.84290890
0.00732601	-33.49119587
0.01465201	-24.53354708
0.02197802	-22.78214629
0.02930403	-29.00522175
0.03663004	-28.73114560
0.04395604	-21.81736970
0.05128205	-18.14920577
0.05860806	-20.04802799
0.06593407	-18.20783888
0.07326007	-12.85878002
0.08058608	-15.01225496
0.08791209	-18.28210701
0.09523810	-9.89330716
0.10256410	-9.55575606
0.10989011	-14.38964363
0.11721612	-9.85092169
0.12454213	-7.84436048
0.13186813	-11.03247278
0.13919414	-12.57365435
0.14652015	-10.37110526
0.15384616	-11.92190873
0.16117216	-12.77055239
0.16849817	-10.07007917
0.17582418	-9.91632377
0.18315018	-12.53321184
0.19047619	-10.80249341
0.19780220	-8.58563093
0.20512821	-9.74148760
0.21245421	-9.89168773
0.21978022	-7.10634638
0.22710623	-6.28565655
0.23443224	-6.41620989
0.24175824	-5.19846858
0.24908425	-3.74682440
0.25641026	-3.19331514
0.26373627	-2.73360956
0.27106227	-1.36318208
0.27838828	-0.54225320
0.28571429	-0.93313509
0.29304030	-0.78068324
0.30036630	0.00000000
0.30769231	-0.43348213
0.31501832	-1.10636924
0.32234433	-0.34087920
0.32967033	-0.30700624
0.33699634	-1.54051520
0.34432235	-1.97462535
0.35164836	-2.10855222
0.35897436	-3.11924846
0.36630037	-3.91164450
0.37362638	-4.65110524
0.38095238	-5.66046237
0.38827839	-6.24443896
0.39560440	-7.01178454
0.40293041	-7.93922841
0.41025641	-8.44320405
0.41758242	-8.72826329
0.42490843	-9.10205811
0.43223444	-9.35118202
0.43956044	-9.40468112
0.44688645	-9.38202720
0.45421246	-8.89448999
0.46153847	-8.54752952
0.46886447	-8.17835806
0.47619048	-7.64225915
0.48351649	-6.99000817
0.49084250	-6.40509895
0.49816850	-6.22454874
0.50549451	-5.34048994
0.51282052	-4.69196336
0.52014653	-4.64949396
0.52747253	-4.29982923
0.53479854	-4.18029395
0.54212455	-3.89935508
0.54945055	-5.12291225
0.55677656	-9.47788026
0.56410257	-6.25181490
0.57142858	-3.70210982
0.57875458	-4.13761997
0.58608059	-4.10105167
0.59340660	-3.79789041
0.60073261	-4.24555449
0.60805861	-4.31944225
0.61538462	-4.49450813
0.62271063	-5.15333317
0.63003664	-5.30543138
0.63736264	-5.49090234
0.64468865	-6.24145299
0.65201466	-6.53509833
0.65934067	-6.87235323
0.66666667	-7.42584828
0.67399268	-7.64210113
0.68131869	-8.06984248
0.68864470	-8.30736797
0.69597070	-8.58413947
0.70329671	-9.08633271
0.71062272	-9.31199935
0.71794873	-9.55862251
0.72527473	-10.03073569
0.73260074	-10.37306337
0.73992675	-10.67699436
0.74725275	-12.94936445
0.75457876	-15.14523501
0.76190477	-12.60283466
0.76923078	-12.20873953
0.77655678	-12.84029150
0.78388279	-12.93691572
0.79120880	-13.47387909
0.79853481	-13.65232202
0.80586081	-14.06762420
0.81318682	-14.43321264
0.82051283	-14.49555550
0.82783884	-14.85179915
0.83516484	-14.85115582
0.84249085	-15.05225456
0.84981686	-15.23429667
0.85714287	-15.28478832
0.86446887	-15.59842074
0.87179488	-15.58031420
0.87912089	-15.70417201
0.88644690	-16.04278315
0.89377290	-16.21696953
0.90109891	-16.57702014
0.90842492	-16.92199719
0.91575092	-17.25657301
0.92307693	-17.69373190
0.93040294	-17.84963491
0.93772895	-18.19478114
0.94505495	-18.88841584
0.95238096	-19.12525363
0.95970697	-19.66104539
0.96703298	-20.56398876
0.97435898	-20.73479694
0.98168499	-22.24978563
0.98901100	-24.50118841
0.99633701	-23.19818788
1.00366301	-22.73998050
1.01098902	-23.22949972
1.01831503	-23.62824649
1.02564104	-24.13013525
1.03296704	-24.35436723
1.04029305	-24.96984117
1.04761906	-25.30744829
1.05494507	-25.81636070
1.06227107	-26.31224193
1.06959708	-26.50076533
1.07692309	-27.48018561
1.08424909	-28.07100328
1.09157510	-31.88553396
1.09890111	-51.56083922
1.10622712	-33.77525069
1.11355312	-34.59683756
1.12087913	-31.44357495
1.12820514	-29.14138983
1.13553115	-29.77813403
1.14285715	-30.15365291
1.15018316	-32.47256522
1.15750917	-38.74883149
1.16483518	-61.85829696
1.17216118	-35.54095076
1.17948719	-31.39119716
1.18681320	-31.99303457
1.19413921	-31.81251325
1.20146521	-32.91955532
1.20879122	-39.80135030
1.21611723	-34.23448091
1.22344324	-34.26095910
1.23076924	-39.19712197
1.23809525	-34.40023526
1.24542126	-33.61414479
1.25274727	-34.11127363
1.26007327	-34.00131119
1.26739928	-34.85490818
1.27472529	-35.02555382
1.28205129	-35.59880436
1.28937730	-36.07363435
1.29670331	-36.27683655
1.30402932	-36.96594376
1.31135532	-37.01696687
1.31868133	-37.94396890
1.32600734	-38.61070802
1.33333335	-38.39143255
1.34065935	-38.97663370
1.34798536	-39.38696456
1.35531137	-39.87730248
1.36263738	-40.33076790
1.36996338	-40.82427245
1.37728939	-41.56517851
1.38461540	-41.95458589
1.39194141	-42.63875156
1.39926741	-43.87364244
1.40659342	-48.56693224
1.41391943	-62.92912319
1.42124544	-47.63284884
1.42857144	-45.93845334
1.43589745	-46.04740042
1.44322346	-46.09351525
1.45054946	-46.79873341
1.45787547	-46.85084733
1.46520148	-47.27749009
1.47252749	-47.94292588
1.47985349	-47.99074637
1.48717950	-48.46693798
1.49450551	-48.85598978
1.50183152	-49.54304220
1.50915752	-50.10400025
1.51648353	-50.23872267
1.52380954	-51.14792070
1.53113555	-51.43517781
1.53846155	-51.79405690
1.54578756	-52.34053430
1.55311357	-51.67986814
1.56043958	-52.21996034
