# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:39:39
# Time [ps]	THz Signal [a.u.]
-65.06666592	0.00000000
-65.03333258	0.00000001
-64.99999925	0.00000006
-64.96666592	0.00000010
-64.93333258	0.00000008
-64.89999925	0.00000020
-64.86666592	0.00000029
-64.83333258	0.00000034
-64.79999925	0.00000007
-64.76666592	0.00000042
-64.73333258	0.00000041
-64.69999925	0.00000062
-64.66666592	0.00000043
-64.63333259	0.00000033
-64.59999925	0.00000037
-64.56666592	-0.00000047
-64.53333259	-0.00000092
-64.49999925	-0.00000321
-64.46666592	-0.00000149
-64.43333259	-0.00000131
-64.39999925	-0.00000209
-64.36666592	-0.00000173
-64.33333259	-0.00000349
-64.29999926	-0.00000372
-64.26666592	-0.00000310
-64.23333259	-0.00000314
-64.19999926	-0.00000722
-64.16666592	-0.00000752
-64.13333259	-0.00000578
-64.09999926	-0.00000709
-64.06666592	-0.00000541
-64.03333259	-0.00000797
-63.99999926	-0.00001077
-63.96666593	-0.00001299
-63.93333259	-0.00000958
-63.89999926	-0.00001397
-63.86666593	-0.00001037
-63.83333259	-0.00001948
-63.79999926	-0.00001683
-63.76666593	-0.00001700
-63.73333259	-0.00002012
-63.69999926	-0.00002467
-63.66666593	-0.00002686
-63.63333260	-0.00002219
-63.59999926	-0.00002073
-63.56666593	-0.00002624
-63.53333260	-0.00002789
-63.49999926	-0.00002387
-63.46666593	-0.00000914
-63.43333260	-0.00002338
-63.39999926	-0.00001546
-63.36666593	-0.00001428
-63.33333260	-0.00001673
-63.29999927	-0.00003399
-63.26666593	-0.00002690
-63.23333260	-0.00001872
-63.19999927	-0.00001151
-63.16666593	-0.00001189
-63.13333260	-0.00000944
-63.09999927	-0.00000058
-63.06666593	0.00000038
-63.03333260	0.00000790
-62.99999927	0.00000366
-62.96666593	0.00002234
-62.93333260	0.00002377
-62.89999927	0.00002556
-62.86666594	0.00003831
-62.83333260	0.00006653
-62.79999927	0.00006226
-62.76666594	0.00005413
-62.73333260	0.00008539
-62.69999927	0.00009925
-62.66666594	0.00010529
-62.63333260	0.00012505
-62.59999927	0.00012518
-62.56666594	0.00013498
-62.53333261	0.00014953
-62.49999927	0.00017885
-62.46666594	0.00019766
-62.43333261	0.00021470
-62.39999927	0.00020450
-62.36666594	0.00025104
-62.33333261	0.00025828
-62.29999927	0.00028798
-62.26666594	0.00030321
-62.23333261	0.00030011
-62.19999928	0.00033610
-62.16666594	0.00037010
-62.13333261	0.00034272
-62.09999928	0.00041769
-62.06666594	0.00045081
-62.03333261	0.00045736
-61.99999928	0.00045313
-61.96666594	0.00044756
-61.93333261	0.00049286
-61.89999928	0.00055841
-61.86666595	0.00056591
-61.83333261	0.00057529
-61.79999928	0.00061408
-61.76666595	0.00061980
-61.73333261	0.00065928
-61.69999928	0.00065306
-61.66666595	0.00075956
-61.63333261	0.00069362
-61.59999928	0.00077661
-61.56666595	0.00074308
-61.53333261	0.00081228
-61.49999928	0.00079877
-61.46666595	0.00084403
-61.43333262	0.00088198
-61.39999928	0.00091072
-61.36666595	0.00094748
-61.33333262	0.00093805
-61.29999928	0.00101454
-61.26666595	0.00102058
-61.23333262	0.00104377
-61.19999928	0.00106975
-61.16666595	0.00108595
-61.13333262	0.00114681
-61.09999929	0.00118584
-61.06666595	0.00115863
-61.03333262	0.00116230
-60.99999929	0.00125251
-60.96666595	0.00126183
-60.93333262	0.00121169
-60.89999929	0.00127346
-60.86666595	0.00124161
-60.83333262	0.00129872
-60.79999929	0.00129638
-60.76666596	0.00124457
-60.73333262	0.00127516
-60.69999929	0.00128661
-60.66666596	0.00129999
-60.63333262	0.00121153
-60.59999929	0.00120505
-60.56666596	0.00118782
-60.53333262	0.00121849
-60.49999929	0.00114674
-60.46666596	0.00113603
-60.43333263	0.00105301
-60.39999929	0.00102901
