# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T19:21:37
# Time [ps]	THz Signal [a.u.]
-65.06666735	0.00000000
-65.03333402	0.00000002
-65.00000069	0.00000009
-64.96666735	0.00000020
-64.93333402	0.00000036
-64.90000068	0.00000039
-64.86666735	0.00000058
-64.83333402	0.00000048
-64.80000068	0.00000067
-64.76666735	0.00000065
-64.73333402	0.00000026
-64.70000068	0.00000053
-64.66666735	0.00000039
-64.63333402	-0.00000004
-64.60000068	-0.00000003
-64.56666735	-0.00000113
-64.53333401	-0.00000195
-64.50000068	-0.00000229
-64.46666735	-0.00000473
-64.43333401	-0.00000372
-64.40000068	-0.00000529
-64.36666735	-0.00000517
-64.33333401	-0.00000675
-64.30000068	-0.00000704
-64.26666735	-0.00001021
-64.23333401	-0.00000846
-64.20000068	-0.00001181
-64.16666734	-0.00001152
-64.13333401	-0.00001685
-64.10000068	-0.00002033
-64.06666734	-0.00002197
-64.03333401	-0.00002163
-64.00000068	-0.00002463
-63.96666734	-0.00002923
-63.93333401	-0.00003282
-63.90000068	-0.00003490
-63.86666734	-0.00003657
-63.83333401	-0.00004350
-63.80000067	-0.00004120
-63.76666734	-0.00004818
-63.73333401	-0.00005210
-63.70000067	-0.00005140
-63.66666734	-0.00005597
-63.63333401	-0.00006514
-63.60000067	-0.00006066
-63.56666734	-0.00006271
-63.53333401	-0.00007233
-63.50000067	-0.00007894
-63.46666734	-0.00007623
-63.43333400	-0.00009089
-63.40000067	-0.00009297
-63.36666734	-0.00009745
-63.33333400	-0.00009054
-63.30000067	-0.00009976
-63.26666734	-0.00010240
-63.23333400	-0.00011861
-63.20000067	-0.00010632
-63.16666734	-0.00011910
-63.13333400	-0.00010559
-63.10000067	-0.00011494
-63.06666734	-0.00011144
-63.03333400	-0.00012257
-63.00000067	-0.00010313
-62.96666733	-0.00010179
-62.93333400	-0.00009831
-62.90000067	-0.00009863
-62.86666733	-0.00008427
-62.83333400	-0.00005364
-62.80000067	-0.00007128
-62.76666733	-0.00007856
-62.73333400	-0.00005789
-62.70000067	-0.00005171
-62.66666733	-0.00005632
-62.63333400	-0.00002921
-62.60000066	0.00000092
-62.56666733	0.00001339
-62.53333400	0.00003780
-62.50000066	0.00004820
-62.46666733	0.00008261
-62.43333400	0.00010320
-62.40000066	0.00011253
-62.36666733	0.00016070
-62.33333400	0.00017593
-62.30000066	0.00018250
-62.26666733	0.00022221
-62.23333399	0.00021891
-62.20000066	0.00024390
-62.16666733	0.00026495
-62.13333399	0.00029858
-62.10000066	0.00032097
-62.06666733	0.00035638
-62.03333399	0.00034804
-62.00000066	0.00040173
-61.96666733	0.00044791
-61.93333399	0.00047807
-61.90000066	0.00050321
-61.86666732	0.00047906
-61.83333399	0.00052639
-61.80000066	0.00055169
-61.76666732	0.00063725
-61.73333399	0.00062049
-61.70000066	0.00066180
-61.66666732	0.00070564
-61.63333399	0.00071387
-61.60000066	0.00080521
-61.56666732	0.00082791
-61.53333399	0.00086906
-61.50000066	0.00089029
-61.46666732	0.00089272
-61.43333399	0.00091897
-61.40000065	0.00092418
-61.36666732	0.00094503
-61.33333399	0.00098446
-61.30000065	0.00099928
-61.26666732	0.00097504
-61.23333399	0.00105735
-61.20000065	0.00101198
-61.16666732	0.00104645
-61.13333399	0.00104486
-61.10000065	0.00111045
-61.06666732	0.00114652
-61.03333398	0.00114448
-61.00000065	0.00116556
-60.96666732	0.00114652
-60.93333398	0.00114982
-60.90000065	0.00119173
-60.86666732	0.00115668
-60.83333398	0.00119797
-60.80000065	0.00117014
-60.76666732	0.00119236
-60.73333398	0.00114195
-60.70000065	0.00109197
-60.66666731	0.00113541
-60.63333398	0.00112932
-60.60000065	0.00106018
-60.56666731	0.00099022
-60.53333398	0.00100947
-60.50000065	0.00095074
-60.46666731	0.00086791
-60.43333398	0.00085936
-60.40000065	0.00083089
-60.36666731	0.00074158
-60.33333398	0.00061095
-60.30000064	0.00051519
-60.26666731	0.00050592
-60.23333398	0.00045709
-60.20000064	0.00034661
-60.16666731	0.00027040
-60.13333398	0.00017301
-60.10000064	0.00021417
-60.06666731	0.00008068
-60.03333398	0.00004098
-60.00000064	-0.00008522
-59.96666731	-0.00016672
-59.93333397	-0.00023345
-59.90000064	-0.00025331
-59.86666731	-0.00034794
-59.83333397	-0.00046386
-59.80000064	-0.00052970
-59.76666731	-0.00068709
-59.73333397	-0.00069339
-59.70000064	-0.00082671
-59.66666731	-0.00084357
-59.63333397	-0.00096103
-59.60000064	-0.00099167
-59.56666731	-0.00105646
-59.53333397	-0.00114638
-59.50000064	-0.00123358
-59.46666730	-0.00118221
-59.43333397	-0.00110050
-59.40000064	-0.00123733
-59.36666730	-0.00122914
-59.33333397	-0.00130045
-59.30000064	-0.00135699
-59.26666730	-0.00128051
-59.23333397	-0.00132009
-59.20000064	-0.00138578
-59.16666730	-0.00129553
-59.13333397	-0.00132867
-59.10000063	-0.00131800
-59.06666730	-0.00136518
-59.03333397	-0.00131892
-59.00000063	-0.00122529
-58.96666730	-0.00124018
-58.93333397	-0.00124642
-58.90000063	-0.00122475
-58.86666730	-0.00112214
-58.83333397	-0.00105645
-58.80000063	-0.00114973
-58.76666730	-0.00107127
-58.73333396	-0.00095824
-58.70000063	-0.00098821
-58.66666730	-0.00095870
-58.63333396	-0.00087167
-58.60000063	-0.00086684
-58.56666730	-0.00085359
-58.53333396	-0.00074995
-58.50000063	-0.00081670
-58.46666730	-0.00068881
-58.43333396	-0.00077445
-58.40000063	-0.00072540
-58.36666729	-0.00073921
-58.33333396	-0.00067738
-58.30000063	-0.00061703
-58.26666729	-0.00069429
-58.23333396	-0.00063285
-58.20000063	-0.00067041
-58.16666729	-0.00068049
-58.13333396	-0.00071819
-58.10000063	-0.00067324
-58.06666729	-0.00081381
-58.03333396	-0.00081427
-58.00000062	-0.00074405
-57.96666729	-0.00079213
-57.93333396	-0.00078918
-57.90000062	-0.00076338
-57.86666729	-0.00074485
-57.83333396	-0.00079700
-57.80000062	-0.00087906
-57.76666729	-0.00087046
-57.73333396	-0.00085466
-57.70000062	-0.00077081
-57.66666729	-0.00072436
-57.63333396	-0.00073336
-57.60000062	-0.00065756
-57.56666729	-0.00065706
-57.53333395	-0.00062904
-57.50000062	-0.00069739
-57.46666729	-0.00051359
-57.43333395	-0.00053072
-57.40000062	-0.00060543
-57.36666729	-0.00053220
-57.33333395	-0.00064743
-57.30000062	-0.00055996
-57.26666729	-0.00052684
-57.23333395	-0.00046459
-57.20000062	-0.00042700
-57.16666728	-0.00029233
-57.13333395	-0.00033523
