# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T19:54:28
# Time [ps]	THz Signal [a.u.]
-65.06666729	0.00000000
-65.03333396	0.00000002
-65.00000062	0.00000008
-64.96666729	0.00000021
-64.93333396	0.00000030
-64.90000062	0.00000056
-64.86666729	0.00000059
-64.83333396	0.00000081
-64.80000062	0.00000103
-64.76666729	0.00000103
-64.73333395	0.00000122
-64.70000062	0.00000149
-64.66666729	0.00000090
-64.63333395	0.00000059
-64.60000062	-0.00000007
-64.56666729	-0.00000109
-64.53333395	-0.00000125
-64.50000062	-0.00000155
-64.46666729	-0.00000271
-64.43333395	-0.00000318
-64.40000062	-0.00000573
-64.36666729	-0.00000673
-64.33333395	-0.00000954
-64.30000062	-0.00001103
-64.26666728	-0.00000962
-64.23333395	-0.00001224
-64.20000062	-0.00001638
-64.16666728	-0.00002021
-64.13333395	-0.00002333
-64.10000062	-0.00002249
-64.06666728	-0.00002906
-64.03333395	-0.00002965
-64.00000062	-0.00003392
-63.96666728	-0.00003948
-63.93333395	-0.00003887
-63.90000062	-0.00004568
-63.86666728	-0.00005074
-63.83333395	-0.00005854
-63.80000061	-0.00005712
-63.76666728	-0.00006017
-63.73333395	-0.00006642
-63.70000061	-0.00007714
-63.66666728	-0.00007868
-63.63333395	-0.00008429
-63.60000061	-0.00009061
-63.56666728	-0.00009197
-63.53333395	-0.00011213
-63.50000061	-0.00011004
-63.46666728	-0.00011073
-63.43333394	-0.00012454
-63.40000061	-0.00013572
-63.36666728	-0.00014206
-63.33333394	-0.00013660
-63.30000061	-0.00013883
-63.26666728	-0.00015391
-63.23333394	-0.00016227
-63.20000061	-0.00016367
-63.16666728	-0.00017964
-63.13333394	-0.00017972
-63.10000061	-0.00017746
-63.06666728	-0.00017937
-63.03333394	-0.00017570
-63.00000061	-0.00017956
-62.96666727	-0.00018644
-62.93333394	-0.00019609
-62.90000061	-0.00019705
-62.86666727	-0.00018612
-62.83333394	-0.00017098
-62.80000061	-0.00017369
-62.76666727	-0.00018573
-62.73333394	-0.00015948
-62.70000061	-0.00014753
-62.66666727	-0.00013847
-62.63333394	-0.00013170
-62.60000060	-0.00012569
-62.56666727	-0.00012714
-62.53333394	-0.00010676
-62.50000060	-0.00007448
-62.46666727	-0.00009063
-62.43333394	-0.00007463
-62.40000060	-0.00004373
-62.36666727	-0.00001467
-62.33333394	0.00000235
-62.30000060	0.00003351
-62.26666727	0.00006113
-62.23333394	0.00008158
-62.20000060	0.00012100
-62.16666727	0.00016549
-62.13333393	0.00018392
-62.10000060	0.00023065
-62.06666727	0.00022636
-62.03333393	0.00029628
-62.00000060	0.00031850
-61.96666727	0.00033988
-61.93333393	0.00038018
-61.90000060	0.00045312
-61.86666727	0.00045706
-61.83333393	0.00048609
-61.80000060	0.00050395
-61.76666727	0.00057297
-61.73333393	0.00059640
-61.70000060	0.00061068
-61.66666726	0.00067366
-61.63333393	0.00069050
-61.60000060	0.00073843
-61.56666726	0.00077454
-61.53333393	0.00079411
-61.50000060	0.00084745
-61.46666726	0.00092427
-61.43333393	0.00094489
-61.40000060	0.00100752
-61.36666726	0.00102023
-61.33333393	0.00108507
-61.30000059	0.00108239
-61.26666726	0.00111122
-61.23333393	0.00110943
-61.20000059	0.00110323
-61.16666726	0.00117928
-61.13333393	0.00118211
-61.10000059	0.00117469
-61.06666726	0.00119236
-61.03333393	0.00119403
-61.00000059	0.00121895
-60.96666726	0.00124168
-60.93333393	0.00116640
-60.90000059	0.00123414
-60.86666726	0.00122012
-60.83333392	0.00116153
-60.80000059	0.00117852
-60.76666726	0.00122325
-60.73333392	0.00115263
-60.70000059	0.00111988
-60.66666726	0.00112917
-60.63333392	0.00106481
-60.60000059	0.00103630
-60.56666726	0.00105442
-60.53333392	0.00096609
-60.50000059	0.00093535
-60.46666725	0.00091112
-60.43333392	0.00084995
-60.40000059	0.00076828
-60.36666725	0.00072870
-60.33333392	0.00065221
-60.30000059	0.00062127
-60.26666725	0.00047783
-60.23333392	0.00037810
-60.20000059	0.00034054
-60.16666725	0.00036281
-60.13333392	0.00027246
-60.10000059	0.00016426
-60.06666725	0.00007431
-60.03333392	0.00004521
-60.00000058	0.00002202
-59.96666725	-0.00013740
-59.93333392	-0.00019220
-59.90000058	-0.00024878
-59.86666725	-0.00030159
-59.83333392	-0.00042070
-59.80000058	-0.00049113
-59.76666725	-0.00053119
-59.73333392	-0.00063639
-59.70000058	-0.00068212
-59.66666725	-0.00083399
-59.63333392	-0.00092666
-59.60000058	-0.00092375
-59.56666725	-0.00098286
-59.53333391	-0.00107868
-59.50000058	-0.00117106
-59.46666725	-0.00122867
-59.43333391	-0.00118955
-59.40000058	-0.00125835
-59.36666725	-0.00136428
-59.33333391	-0.00139688
-59.30000058	-0.00147651
-59.26666725	-0.00137110
-59.23333391	-0.00147834
-59.20000058	-0.00151459
-59.16666724	-0.00151504
-59.13333391	-0.00166098
-59.10000058	-0.00171828
-59.06666724	-0.00165321
-59.03333391	-0.00172400
-59.00000058	-0.00173097
-58.96666724	-0.00174336
-58.93333391	-0.00181033
-58.90000058	-0.00177100
-58.86666724	-0.00175007
-58.83333391	-0.00173179
-58.80000058	-0.00161205
-58.76666724	-0.00178688
-58.73333391	-0.00177927
-58.70000057	-0.00174516
-58.66666724	-0.00176575
-58.63333391	-0.00174969
-58.60000057	-0.00175140
-58.56666724	-0.00177202
-58.53333391	-0.00170552
-58.50000057	-0.00172193
-58.46666724	-0.00174811
-58.43333391	-0.00165731
-58.40000057	-0.00169666
-58.36666724	-0.00163043
-58.33333390	-0.00159066
-58.30000057	-0.00170374
-58.26666724	-0.00156884
-58.23333390	-0.00158218
-58.20000057	-0.00157862
-58.16666724	-0.00165807
-58.13333390	-0.00168910
-58.10000057	-0.00164310
-58.06666724	-0.00167611
-58.03333390	-0.00158654
-58.00000057	-0.00159719
-57.96666724	-0.00161388
-57.93333390	-0.00158780
-57.90000057	-0.00166216
-57.86666723	-0.00166949
-57.83333390	-0.00163584
-57.80000057	-0.00161239
-57.76666723	-0.00168216
-57.73333390	-0.00165943
-57.70000057	-0.00162788
-57.66666723	-0.00177090
-57.63333390	-0.00160330
-57.60000057	-0.00160983
-57.56666723	-0.00163888
-57.53333390	-0.00160584
-57.50000057	-0.00148455
-57.46666723	-0.00149061
-57.43333390	-0.00146319
-57.40000056	-0.00147764
-57.36666723	-0.00145869
-57.33333390	-0.00138808
-57.30000056	-0.00131090
-57.26666723	-0.00126923
-57.23333390	-0.00126925
-57.20000056	-0.00119980
-57.16666723	-0.00120626
-57.13333390	-0.00113639
-57.10000056	-0.00117177
-57.06666723	-0.00105768
-57.03333389	-0.00104296
-57.00000056	-0.00102528
-56.96666723	-0.00094898
-56.93333389	-0.00088484
-56.90000056	-0.00089047
-56.86666723	-0.00083039
-56.83333389	-0.00094238
-56.80000056	-0.00080752
-56.76666723	-0.00088539
-56.73333389	-0.00072084
-56.70000056	-0.00066100
-56.66666723	-0.00054653
-56.63333389	-0.00051811
-56.60000056	-0.00058988
-56.56666722	-0.00058296
-56.53333389	-0.00044031
-56.50000056	-0.00046223
-56.46666722	-0.00040419
-56.43333389	-0.00048757
-56.40000056	-0.00042028
-56.36666722	-0.00046133
-56.33333389	-0.00043822
-56.30000056	-0.00052389
-56.26666722	-0.00037270
-56.23333389	-0.00047972
-56.20000055	-0.00052102
-56.16666722	-0.00048430
-56.13333389	-0.00051341
-56.10000055	-0.00032349
-56.06666722	-0.00036254
-56.03333389	-0.00043212
-56.00000055	-0.00038934
-55.96666722	-0.00042287
-55.93333389	-0.00036010
-55.90000055	-0.00042769
-55.86666722	-0.00028126
