# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T19:57:20
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-28.78407787
0.00732601	-27.46435484
0.01465201	-20.88204912
0.02197802	-18.99871661
0.02930403	-23.98131598
0.03663004	-22.94066909
0.04395604	-14.39310702
0.05128205	-10.74726193
0.05860806	-12.11406167
0.06593407	-11.72224464
0.07326007	-6.90056313
0.08058608	-8.70293891
0.08791209	-23.15476716
0.09523809	-8.96662440
0.10256410	-8.29827197
0.10989011	-17.23923909
0.11721612	-11.64067330
0.12454212	-7.68047335
0.13186813	-10.55032405
0.13919414	-11.55074408
0.14652015	-6.66875993
0.15384615	-7.26327250
0.16117216	-11.01081586
0.16849817	-6.67288361
0.17582417	-5.76280229
0.18315018	-13.39808131
0.19047619	-9.39429894
0.19780220	-5.23593294
0.20512820	-10.34299536
0.21245421	-10.09654701
0.21978022	-4.47658520
0.22710623	-6.16515964
0.23443223	-8.57820576
0.24175824	-4.52737659
0.24908425	-3.26239036
0.25641025	-4.62525375
0.26373626	-4.01749060
0.27106227	-1.18876427
0.27838828	-1.14293664
0.28571428	-2.90095305
0.29304029	-1.28367388
0.30036630	-0.07417817
0.30769231	-1.41384172
0.31501831	-1.60752917
0.32234432	0.00000000
0.32967033	-0.47399385
0.33699633	-1.87054613
0.34432234	-1.43528107
0.35164835	-1.77973208
0.35897436	-2.97829596
0.36630036	-2.80296669
0.37362637	-3.10524385
0.38095238	-4.15545268
0.38827839	-4.53261273
0.39560439	-5.12702986
0.40293040	-6.48785196
0.41025641	-7.64518346
0.41758241	-8.11149006
0.42490842	-8.85262982
0.43223443	-9.65572276
0.43956044	-10.18137830
0.44688644	-10.56407206
0.45421245	-10.45324053
0.46153846	-10.95205157
0.46886447	-11.28485264
0.47619047	-10.82875710
0.48351648	-10.70825278
0.49084249	-10.50611594
0.49816849	-10.25646683
0.50549450	-9.77640081
0.51282051	-9.59220692
0.52014652	-9.75695368
0.52747252	-9.57012375
0.53479853	-9.90724145
0.54212454	-9.84049487
0.54945055	-10.38277471
0.55677655	-13.62379947
0.56410256	-11.13418972
0.57142857	-8.45331541
0.57875457	-8.82880813
0.58608058	-8.66551399
0.59340659	-8.02121578
0.60073260	-8.46921575
0.60805860	-8.45377999
0.61538461	-8.54211067
0.62271062	-9.26480326
