# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T15:41:53
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-61.92928294
0.00732601	-30.77750420
0.01465201	-23.15794883
0.02197802	-21.55417127
0.02930403	-27.55624982
0.03663004	-26.59289932
0.04395604	-18.64456004
0.05128205	-15.01110658
0.05860806	-16.45012759
0.06593407	-15.97504710
0.07326007	-11.13146102
0.08058608	-13.48435834
0.08791209	-24.39669898
0.09523810	-12.27248463
0.10256410	-12.36688149
0.10989011	-20.20302139
0.11721612	-12.50379370
0.12454213	-9.01429689
0.13186813	-10.64708815
0.13919414	-12.66303056
0.14652015	-10.11762389
0.15384616	-11.69271197
0.16117216	-15.97635135
0.16849817	-11.13172312
0.17582418	-11.00130535
0.18315018	-17.42272260
0.19047619	-13.35534545
0.19780220	-10.48726580
0.20512821	-13.77763735
0.21245421	-12.34494154
0.21978022	-8.09732906
0.22710623	-8.18496840
0.23443224	-7.92871598
0.24175824	-4.80581448
0.24908425	-3.38189134
0.25641026	-3.32328604
0.26373627	-2.33050318
0.27106227	-0.83603760
0.27838828	-0.62552483
0.28571429	-1.26857257
0.29304030	-0.67744561
0.30036630	0.00000000
0.30769231	-0.77187141
0.31501832	-1.21118861
0.32234433	-0.43474016
0.32967033	-0.70930071
0.33699634	-1.74228060
0.34432235	-2.05412951
0.35164835	-2.52013614
0.35897436	-3.38536575
0.36630037	-4.03175004
0.37362638	-4.93676397
0.38095238	-5.78825429
0.38827839	-6.38084919
0.39560440	-7.30814432
0.40293041	-8.23830812
0.41025641	-8.86564934
0.41758242	-9.15327034
0.42490843	-9.37270495
0.43223444	-9.50925572
0.43956044	-9.56030728
0.44688645	-9.64637390
0.45421246	-9.39558794
0.46153847	-9.42354905
0.46886447	-9.49300460
0.47619048	-9.05369605
0.48351649	-8.68317083
0.49084250	-8.50244229
0.49816850	-8.46672607
0.50549451	-8.20227276
0.51282052	-8.15113412
0.52014652	-8.36376212
0.52747253	-8.27582624
0.53479854	-8.27946478
0.54212455	-7.86350952
0.54945055	-8.95026061
0.55677656	-12.94672741
0.56410257	-9.65276652
0.57142858	-7.11687320
0.57875458	-7.40316854
0.58608059	-7.25093628
0.59340660	-7.04746611
0.60073261	-7.54472925
0.60805861	-7.44384266
0.61538462	-7.65149571
0.62271063	-8.38116925
0.63003664	-8.45568615
0.63736264	-8.66605740
0.64468865	-9.35736163
0.65201466	-9.63833964
0.65934067	-10.02807669
0.66666667	-10.76101012
0.67399268	-11.27505862
0.68131869	-11.85000034
0.68864469	-12.36929919
0.69597070	-12.91024728
0.70329671	-13.70462264
0.71062272	-14.23666382
0.71794872	-14.63810252
0.72527473	-15.30137511
0.73260074	-15.62862648
0.73992675	-15.87866993
0.74725275	-18.14597115
0.75457876	-20.32432086
0.76190477	-18.07537566
0.76923078	-17.77610279
0.77655678	-18.40287904
0.78388279	-18.47689999
0.79120880	-19.10600309
0.79853481	-19.34732360
0.80586081	-19.68973117
0.81318682	-20.07090009
0.82051283	-20.07099780
0.82783884	-20.42633098
0.83516484	-20.52596857
0.84249085	-20.65366931
0.84981686	-20.84137964
0.85714286	-20.94916584
0.86446887	-21.24336226
0.87179488	-21.24381377
0.87912089	-21.38797329
0.88644689	-21.69349923
0.89377290	-21.77038613
0.90109891	-22.12298827
0.90842492	-22.53062302
0.91575092	-22.87721056
0.92307693	-23.43623094
0.93040294	-23.66674260
0.93772895	-24.01528024
0.94505495	-24.83896552
0.95238096	-25.13590724
0.95970697	-25.72108742
0.96703298	-26.76030682
0.97435898	-26.92062863
0.98168499	-28.25423727
0.98901100	-30.48062653
0.99633701	-29.50325571
1.00366301	-28.93598215
1.01098902	-29.47230219
1.01831503	-29.96654111
1.02564103	-30.35255908
1.03296704	-30.79442310
1.04029305	-31.59105651
1.04761906	-32.01365986
1.05494506	-32.58162886
1.06227107	-33.21575707
1.06959708	-33.71584516
1.07692309	-34.78466106
1.08424909	-35.56041298
1.09157510	-39.62698160
1.09890111	-60.53128203
1.10622712	-41.69233854
1.11355312	-42.18685390
