# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T15:49:27
# Time [ps]	THz Signal [a.u.]
-65.06666593	0.00000000
-65.03333259	0.00000002
-64.99999926	0.00000006
-64.96666593	0.00000017
-64.93333260	0.00000026
-64.89999926	0.00000040
-64.86666593	0.00000052
-64.83333260	0.00000064
-64.79999926	0.00000061
-64.76666593	0.00000083
-64.73333260	0.00000055
-64.69999926	0.00000051
-64.66666593	0.00000030
-64.63333260	0.00000050
-64.59999927	0.00000005
-64.56666593	0.00000050
-64.53333260	0.00000052
-64.49999927	-0.00000034
-64.46666593	-0.00000024
-64.43333260	-0.00000079
-64.39999927	-0.00000312
-64.36666593	-0.00000416
-64.33333260	-0.00000552
-64.29999927	-0.00000732
-64.26666594	-0.00001085
-64.23333260	-0.00001112
-64.19999927	-0.00001336
-64.16666594	-0.00001348
-64.13333260	-0.00001906
-64.09999927	-0.00002420
-64.06666594	-0.00002408
-64.03333260	-0.00002264
-63.99999927	-0.00003294
-63.96666594	-0.00002634
-63.93333260	-0.00002799
-63.89999927	-0.00003140
-63.86666594	-0.00003826
-63.83333261	-0.00004209
-63.79999927	-0.00004520
-63.76666594	-0.00005046
-63.73333261	-0.00005429
-63.69999927	-0.00005464
-63.66666594	-0.00005922
-63.63333261	-0.00005749
-63.59999927	-0.00005938
-63.56666594	-0.00006488
-63.53333261	-0.00007561
-63.49999928	-0.00007610
-63.46666594	-0.00007883
-63.43333261	-0.00008064
-63.39999928	-0.00008528
-63.36666594	-0.00008946
-63.33333261	-0.00010064
-63.29999928	-0.00008883
-63.26666594	-0.00010485
-63.23333261	-0.00010495
-63.19999928	-0.00010939
-63.16666595	-0.00010043
-63.13333261	-0.00009685
-63.09999928	-0.00011763
-63.06666595	-0.00011710
-63.03333261	-0.00011803
-62.99999928	-0.00011143
-62.96666595	-0.00011780
-62.93333261	-0.00012739
-62.89999928	-0.00010522
-62.86666595	-0.00012668
-62.83333262	-0.00011445
-62.79999928	-0.00010317
-62.76666595	-0.00009117
-62.73333262	-0.00008926
-62.69999928	-0.00006716
-62.66666595	-0.00007146
-62.63333262	-0.00002002
-62.59999928	-0.00001349
-62.56666595	0.00000036
-62.53333262	-0.00001437
-62.49999928	0.00002719
-62.46666595	0.00005019
-62.43333262	0.00008507
-62.39999929	0.00007795
-62.36666595	0.00010451
-62.33333262	0.00012945
-62.29999929	0.00014026
-62.26666595	0.00016860
-62.23333262	0.00019488
-62.19999929	0.00018735
-62.16666595	0.00020760
-62.13333262	0.00025961
-62.09999929	0.00027066
-62.06666596	0.00031002
-62.03333262	0.00036703
-61.99999929	0.00036402
-61.96666596	0.00039994
-61.93333262	0.00041462
-61.89999929	0.00048662
-61.86666596	0.00048372
-61.83333262	0.00054121
-61.79999929	0.00055126
-61.76666596	0.00059572
-61.73333263	0.00059070
-61.69999929	0.00064078
-61.66666596	0.00069493
-61.63333263	0.00071759
-61.59999929	0.00076046
-61.56666596	0.00079230
-61.53333263	0.00081726
-61.49999929	0.00084440
-61.46666596	0.00083591
-61.43333263	0.00084111
-61.39999929	0.00088690
-61.36666596	0.00091873
-61.33333263	0.00094797
-61.29999930	0.00096883
-61.26666596	0.00096837
-61.23333263	0.00104425
-61.19999930	0.00108874
-61.16666596	0.00112233
-61.13333263	0.00115569
-61.09999930	0.00113747
-61.06666596	0.00118206
-61.03333263	0.00123501
-60.99999930	0.00118714
-60.96666597	0.00119263
-60.93333263	0.00121545
-60.89999930	0.00118645
-60.86666597	0.00124991
