# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T15:30:20
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-27.03480565
0.00732601	-27.25855458
0.01465201	-18.03857717
0.02197802	-15.39228475
0.02930403	-20.20457201
0.03663004	-22.41463388
0.04395604	-12.69739884
0.05128205	-8.45610305
0.05860806	-9.70892324
0.06593407	-8.60486418
0.07326007	-4.73741646
0.08058608	-8.03929137
0.08791209	-17.75267269
0.09523809	-5.98709980
0.10256410	-7.18738416
0.10989011	-18.43544674
0.11721612	-8.23521460
0.12454212	-6.25050304
0.13186813	-10.53422546
0.13919414	-8.82068560
0.14652015	-4.96908400
0.15384615	-6.67615221
0.16117216	-7.88535701
0.16849817	-4.05313229
0.17582417	-4.15948542
0.18315018	-8.82902616
0.19047619	-6.16662198
0.19780220	-2.97157500
0.20512820	-5.34951298
0.21245421	-7.93035315
0.21978022	-2.83458562
0.22710623	-2.71038240
0.23443223	-5.65468110
0.24175824	-2.54470676
0.24908425	-0.73923795
0.25641025	-2.35698559
0.26373626	-2.35724606
0.27106227	-0.42073427
0.27838828	-0.83784378
0.28571428	-2.00434121
0.29304029	-1.08713598
0.30036630	-0.25180596
0.30769230	-0.70934704
0.31501831	-0.93352012
0.32234432	0.00000000
0.32967033	-0.03642445
0.33699633	-1.02185710
0.34432234	-1.06274209
0.35164835	-1.02245492
0.35897436	-1.34813129
0.36630036	-1.47358539
0.37362637	-1.88898426
0.38095238	-2.04764841
0.38827838	-2.06283914
0.39560439	-2.77285868
0.40293040	-3.55373215
0.41025641	-3.96605849
0.41758241	-4.71072614
0.42490842	-5.58642659
0.43223443	-5.72956136
0.43956044	-6.13682598
0.44688644	-6.52195524
0.45421245	-5.85564142
0.46153846	-5.76236341
0.46886446	-5.89405908
0.47619047	-5.63061583
0.48351648	-5.76774198
0.49084249	-6.12284800
0.49816849	-6.54127392
0.50549450	-6.63674640
0.51282051	-6.73290475
0.52014652	-7.32386291
0.52747252	-7.52887519
0.53479853	-7.52155191
0.54212454	-7.26771997
0.54945054	-8.14486862
0.55677655	-11.13636397
0.56410256	-8.74950225
0.57142857	-6.37489423
0.57875457	-6.60716690
0.58608058	-6.49509409
0.59340659	-6.11553625
0.60073260	-6.60316271
0.60805860	-6.55895020
0.61538461	-6.54384648
0.62271062	-7.09554153
0.63003662	-7.01047998
0.63736263	-7.12624705
0.64468864	-7.74809601
0.65201465	-7.83330975
0.65934065	-8.13456210
0.66666666	-8.64305447
0.67399267	-8.86557872
0.68131868	-9.35299385
0.68864468	-9.72253194
0.69597069	-10.12511233
0.70329670	-10.81360096
0.71062270	-11.24368876
0.71794871	-11.77429914
0.72527472	-12.55013304
0.73260073	-12.91338311
0.73992673	-13.29338612
0.74725274	-15.26544375
0.75457875	-16.88936764
0.76190476	-15.19600777
0.76923076	-14.87424176
0.77655677	-15.30163530
0.78388278	-15.33501856
0.79120878	-15.79058580
0.79853479	-16.03053328
0.80586080	-16.42814021
0.81318681	-16.83133370
0.82051281	-16.97804504
0.82783882	-17.42550807
0.83516483	-17.59717152
0.84249084	-17.93288347
0.84981684	-18.24458509
0.85714285	-18.27745283
0.86446886	-18.66665336
0.87179486	-18.78798147
0.87912087	-18.91232131
0.88644688	-19.21336123
0.89377289	-19.23127150
0.90109889	-19.49724927
0.90842490	-19.86323739
0.91575091	-20.15713159
0.92307691	-20.54433769
0.93040292	-20.63941425
0.93772893	-20.88681735
0.94505494	-21.38896636
0.95238094	-21.54703468
0.95970695	-22.05642932
0.96703296	-22.66441727
0.97435897	-22.77434809
0.98168497	-24.02824624
0.98901098	-25.57073361
0.99633699	-24.88546409
1.00366299	-24.52460926
1.01098900	-24.91442953
1.01831501	-25.41223025
