# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T15:35:09
# Time [ps]	THz Signal [a.u.]
-65.06666726	0.00000000
-65.03333393	0.00000000
-65.00000059	-0.00000000
-64.96666726	0.00000005
-64.93333392	0.00000003
-64.90000059	-0.00000002
-64.86666726	0.00000014
-64.83333392	-0.00000012
-64.80000059	-0.00000030
-64.76666726	0.00000000
-64.73333392	-0.00000018
-64.70000059	0.00000025
-64.66666726	0.00000037
-64.63333392	0.00000002
-64.60000059	-0.00000061
-64.56666726	0.00000008
-64.53333392	-0.00000007
-64.50000059	-0.00000137
-64.46666725	-0.00000010
-64.43333392	0.00000022
-64.40000059	0.00000111
-64.36666725	-0.00000158
-64.33333392	-0.00000134
-64.30000059	-0.00000047
-64.26666725	-0.00000095
-64.23333392	-0.00000081
-64.20000059	-0.00000116
-64.16666725	0.00000003
-64.13333392	0.00000217
-64.10000059	0.00000328
-64.06666725	0.00000441
-64.03333392	0.00000099
-64.00000058	0.00000105
-63.96666725	-0.00000046
-63.93333392	0.00000380
-63.90000058	0.00000349
-63.86666725	0.00000678
-63.83333392	0.00000856
-63.80000058	0.00000625
-63.76666725	0.00000645
-63.73333392	0.00001088
-63.70000058	0.00000973
-63.66666725	0.00001105
-63.63333392	0.00001273
-63.60000058	0.00001201
-63.56666725	0.00001279
-63.53333391	0.00002424
-63.50000058	0.00002959
-63.46666725	0.00004195
-63.43333391	0.00003652
-63.40000058	0.00004648
-63.36666725	0.00005049
-63.33333391	0.00004545
-63.30000058	0.00004700
-63.26666725	0.00004520
-63.23333391	0.00004911
-63.20000058	0.00003790
-63.16666725	0.00006085
-63.13333391	0.00007533
-63.10000058	0.00008357
-63.06666724	0.00007607
-63.03333391	0.00008103
-63.00000058	0.00008472
-62.96666724	0.00009529
-62.93333391	0.00010021
-62.90000058	0.00011123
-62.86666724	0.00011161
-62.83333391	0.00014038
-62.80000058	0.00015926
-62.76666724	0.00018071
-62.73333391	0.00015996
-62.70000058	0.00016470
-62.66666724	0.00018715
-62.63333391	0.00019685
-62.60000057	0.00019710
-62.56666724	0.00023819
-62.53333391	0.00025996
-62.50000057	0.00027646
-62.46666724	0.00030211
-62.43333391	0.00031585
-62.40000057	0.00033712
-62.36666724	0.00036495
-62.33333391	0.00032980
-62.30000057	0.00037811
-62.26666724	0.00039996
-62.23333390	0.00039598
-62.20000057	0.00043459
-62.16666724	0.00046824
-62.13333390	0.00049193
-62.10000057	0.00048088
-62.06666724	0.00048597
-62.03333390	0.00051361
-62.00000057	0.00054021
-61.96666724	0.00054628
-61.93333390	0.00056614
-61.90000057	0.00057386
-61.86666724	0.00060031
-61.83333390	0.00063929
-61.80000057	0.00065406
-61.76666723	0.00068636
-61.73333390	0.00069385
-61.70000057	0.00072814
-61.66666723	0.00074538
-61.63333390	0.00081778
-61.60000057	0.00081104
-61.56666723	0.00076491
-61.53333390	0.00081373
-61.50000057	0.00084173
-61.46666723	0.00084841
-61.43333390	0.00086671
-61.40000057	0.00087605
-61.36666723	0.00092483
-61.33333390	0.00093376
-61.30000056	0.00093625
-61.26666723	0.00091476
-61.23333390	0.00095808
-61.20000056	0.00094997
-61.16666723	0.00094877
-61.13333390	0.00099686
-61.10000056	0.00099582
-61.06666723	0.00107760
-61.03333390	0.00103075
-61.00000056	0.00098022
-60.96666723	0.00103829
-60.93333390	0.00101910
-60.90000056	0.00109193
-60.86666723	0.00110222
-60.83333389	0.00105394
-60.80000056	0.00108608
-60.76666723	0.00100352
-60.73333389	0.00109179
-60.70000056	0.00112507
-60.66666723	0.00107830
-60.63333389	0.00106143
-60.60000056	0.00097094
-60.56666723	0.00099563
-60.53333389	0.00100358
-60.50000056	0.00096684
-60.46666723	0.00093061
-60.43333389	0.00095432
-60.40000056	0.00089760
-60.36666722	0.00096756
-60.33333389	0.00090814
