# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T18:27:03
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-39.24961411
0.00732601	-24.62758465
0.01465201	-19.17694439
0.02197802	-18.78386035
0.02930403	-25.16159885
0.03663004	-25.06032399
0.04395604	-17.19539123
0.05128205	-14.04481215
0.05860806	-15.48441244
0.06593407	-15.60900370
0.07326007	-10.82258567
0.08058608	-13.52103979
0.08791209	-19.89906020
0.09523809	-8.61173772
0.10256410	-8.15771834
0.10989011	-13.74566893
0.11721612	-10.16860401
0.12454212	-8.43589571
0.13186813	-13.90399246
0.13919414	-14.62023905
0.14652015	-11.34519682
0.15384615	-13.96729993
0.16117216	-12.48881861
0.16849817	-8.17712263
0.17582417	-7.50721491
0.18315018	-8.84723826
0.19047619	-5.56237312
0.19780220	-3.72855918
0.20512820	-6.11341213
0.21245421	-8.51861129
0.21978022	-5.23382919
0.22710623	-4.59715836
0.23443223	-5.11967130
0.24175824	-3.92918508
0.24908425	-2.96176100
0.25641025	-2.79999267
0.26373626	-2.23449329
0.27106227	-0.99129757
0.27838828	-0.26173985
0.28571428	-0.78924490
0.29304029	-0.92642047
0.30036630	0.00000000
0.30769231	-0.51813416
0.31501831	-1.63562410
0.32234432	-0.68253066
0.32967033	-0.69808138
0.33699633	-2.30518550
0.34432234	-2.44576517
0.35164835	-2.50812843
0.35897436	-3.78218640
0.36630036	-4.17145832
0.37362637	-4.44753433
0.38095238	-5.09613858
0.38827839	-5.07605565
0.39560439	-5.28327024
0.40293040	-5.68422711
0.41025641	-5.63622190
0.41758241	-5.86859143
0.42490842	-6.84923095
0.43223443	-7.90182515
0.43956044	-8.81687311
0.44688644	-9.33167297
0.45421245	-9.00151292
0.46153846	-9.26691434
0.46886447	-9.68084432
0.47619047	-9.33689745
0.48351648	-8.77742865
0.49084249	-8.32090341
0.49816849	-8.50941040
0.50549450	-8.68538094
0.51282051	-8.97009741
0.52014652	-10.00562394
0.52747252	-10.38345275
0.53479853	-10.26924028
0.54212454	-10.23397908
0.54945055	-11.56433433
0.55677655	-15.07956283
0.56410256	-11.97372378
0.57142857	-9.51807092
0.57875457	-9.65878269
0.58608058	-9.61797399
0.59340659	-9.54756858
0.60073260	-10.05268223
0.60805860	-10.01526841
0.61538461	-10.23734889
0.62271062	-11.11379075
0.63003663	-11.34041088
0.63736263	-11.56820097
0.64468864	-12.52395343
0.65201465	-12.84221040
0.65934065	-13.16283286
0.66666666	-14.23284369
0.67399267	-14.73950074
0.68131868	-15.12679894
0.68864468	-15.67428044
0.69597069	-16.13387172
0.70329670	-17.09631531
0.71062270	-18.00797718
0.71794871	-18.68615104
0.72527472	-19.65118832
0.73260073	-20.37181334
0.73992673	-21.09706213
0.74725274	-23.46945322
0.75457875	-25.28000372
0.76190476	-23.05423127
