# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-19T18:32:01
# Time [ps]	THz Signal [a.u.]
-65.06666743	0.00000000
-65.03333410	0.00000002
-65.00000076	0.00000007
-64.96666743	0.00000016
-64.93333409	0.00000018
-64.90000076	0.00000027
-64.86666743	0.00000052
-64.83333409	0.00000061
-64.80000076	0.00000086
-64.76666743	0.00000091
-64.73333409	0.00000079
-64.70000076	0.00000077
-64.66666743	0.00000010
-64.63333409	0.00000036
-64.60000076	-0.00000106
-64.56666742	0.00000031
-64.53333409	-0.00000084
-64.50000076	0.00000008
-64.46666742	-0.00000079
-64.43333409	-0.00000235
-64.40000076	-0.00000328
-64.36666742	-0.00000522
-64.33333409	-0.00000662
-64.30000076	-0.00000485
-64.26666742	-0.00000906
-64.23333409	-0.00001029
-64.20000075	-0.00001397
-64.16666742	-0.00001594
-64.13333409	-0.00001638
-64.10000075	-0.00002030
-64.06666742	-0.00002202
-64.03333409	-0.00002408
-64.00000075	-0.00002474
-63.96666742	-0.00002566
-63.93333409	-0.00003451
-63.90000075	-0.00004086
-63.86666742	-0.00003770
-63.83333408	-0.00003995
-63.80000075	-0.00004915
-63.76666742	-0.00005433
-63.73333408	-0.00006187
-63.70000075	-0.00006108
-63.66666742	-0.00007495
-63.63333408	-0.00007003
-63.60000075	-0.00007199
-63.56666742	-0.00007589
-63.53333408	-0.00009231
-63.50000075	-0.00009308
-63.46666741	-0.00009286
-63.43333408	-0.00010501
-63.40000075	-0.00011240
-63.36666741	-0.00011395
-63.33333408	-0.00011476
-63.30000075	-0.00011926
-63.26666741	-0.00011913
-63.23333408	-0.00013528
-63.20000074	-0.00015088
-63.16666741	-0.00015574
-63.13333408	-0.00015297
-63.10000074	-0.00016179
-63.06666741	-0.00013500
-63.03333408	-0.00014136
-63.00000074	-0.00012140
-62.96666741	-0.00012042
-62.93333408	-0.00012183
-62.90000074	-0.00010587
-62.86666741	-0.00009000
-62.83333407	-0.00009247
-62.80000074	-0.00008299
-62.76666741	-0.00006034
-62.73333407	-0.00005867
-62.70000074	-0.00003411
-62.66666741	-0.00003676
-62.63333407	-0.00000685
-62.60000074	-0.00000248
-62.56666741	0.00001093
-62.53333407	0.00005630
-62.50000074	0.00006013
-62.46666740	0.00009180
-62.43333407	0.00012545
-62.40000074	0.00010743
-62.36666740	0.00012226
-62.33333407	0.00017898
-62.30000074	0.00020023
-62.26666740	0.00021040
