# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:07:42
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-44.44150133
0.00732601	-29.05728735
0.01465201	-20.81202508
0.02197802	-18.84631421
0.02930403	-24.41055836
0.03663004	-23.43830699
0.04395604	-15.44920940
0.05128205	-11.74410788
0.05860806	-13.03004515
0.06593407	-12.52049117
0.07326007	-7.50825478
0.08058608	-9.44340080
0.08791209	-21.76323234
0.09523810	-8.59622538
0.10256410	-8.36160505
0.10989011	-17.38685951
0.11721612	-10.00836233
0.12454213	-6.43789213
0.13186813	-8.60422452
0.13919414	-9.98912056
0.14652015	-6.17072921
0.15384616	-7.19639215
0.16117216	-11.03674498
0.16849817	-6.57644235
0.17582418	-6.29167459
0.18315019	-12.09395021
0.19047619	-9.35730941
0.19780220	-6.31432475
0.20512821	-8.56289529
0.21245421	-9.88451987
0.21978022	-4.88579645
0.22710623	-4.12402582
0.23443224	-6.67716413
0.24175824	-3.36633533
0.24908425	-1.33249293
0.25641026	-3.13798379
0.26373627	-2.58839859
0.27106227	-0.39608141
0.27838828	-0.95966844
0.28571429	-1.89792745
0.29304030	-0.73996947
0.30036630	-0.02763102
0.30769231	-0.65596961
0.31501832	-0.90770455
0.32234433	0.00000000
0.32967033	-0.13469284
0.33699634	-1.15358429
0.34432235	-1.20681313
0.35164836	-1.21208379
0.35897436	-1.78389611
0.36630037	-2.02455702
0.37362638	-2.35742363
0.38095238	-3.11751731
0.38827839	-3.70985473
0.39560440	-4.54986046
0.40293041	-5.91224894
0.41025641	-6.62373815
0.41758242	-7.08096125
0.42490843	-7.74592180
0.43223444	-7.66287977
0.43956044	-7.96543697
0.44688645	-8.40266098
0.45421246	-7.72853978
0.46153847	-7.48755463
0.46886447	-7.45283923
0.47619048	-6.90515446
0.48351649	-6.93527391
0.49084250	-7.77447497
0.49816850	-8.60130786
0.50549451	-8.95793985
0.51282052	-9.51635937
0.52014653	-10.26574386
0.52747253	-10.56904257
0.53479854	-10.97855013
0.54212455	-10.92073719
0.54945056	-11.83560058
0.55677656	-15.28690209
0.56410257	-12.31469333
0.57142858	-9.60160671
0.57875458	-9.52562924
0.58608059	-8.96265728
0.59340660	-8.45682129
0.60073261	-8.81963471
0.60805861	-8.52021492
0.61538462	-8.49961097
0.62271063	-9.12536793
0.63003664	-8.94460897
0.63736264	-9.07493736
0.64468865	-9.79225474
0.65201466	-9.80227440
0.65934067	-10.14257353
0.66666667	-10.90945994
0.67399268	-11.20910078
0.68131869	-11.81464704
0.68864470	-12.55220730
0.69597070	-13.11001807
0.70329671	-13.98107255
0.71062272	-14.77476078
0.71794873	-15.39974725
0.72527473	-16.32873352
0.73260074	-17.09024800
0.73992675	-17.57997308
0.74725276	-19.77753438
0.75457876	-21.62772366
0.76190477	-19.38517666
0.76923078	-18.98394348
0.77655678	-19.08154614
0.78388279	-18.58618812
0.79120880	-18.66647474
0.79853481	-18.45929277
0.80586081	-18.53141662
0.81318682	-18.94113964
0.82051283	-19.07080501
0.82783884	-19.50915962
0.83516484	-19.96195344
0.84249085	-20.32806297
0.84981686	-20.72882670
0.85714287	-21.05879197
0.86446887	-21.49656610
0.87179488	-21.65636162
0.87912089	-21.86652885
0.88644690	-22.18142784
0.89377290	-22.16499513
0.90109891	-22.37590936
0.90842492	-22.63676521
0.91575093	-22.74645985
0.92307693	-23.08374331
0.93040294	-23.16137119
0.93772895	-23.31828847
0.94505496	-23.88630195
0.95238096	-23.98122476
0.95970697	-24.37978443
0.96703298	-25.13751450
0.97435898	-25.27166678
0.98168499	-26.62044902
0.98901100	-28.38023540
0.99633701	-27.55625465
1.00366301	-27.40937948
1.01098902	-27.94187420
1.01831503	-28.51182034
